game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,3:10,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,3,1,-0.6,-8,.568,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,123,142,Anderson Varejao
2,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,4:35,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,0,0,0.3,0,.000,.000,0.0,23.8,12.0,22.8,10.8,0.0,50.0,18.6,33,80,Anderson Varejao
3,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,5:17,0,1,.000,0,0,,2,2,1.000,2,2,4,1,0,0,0,0,2,4.0,0,.532,.000,50.5,34.9,41.3,19.8,0.0,0.0,0.0,15.7,170,100,Anderson Varejao
4,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,GSW,,LAL,W (+43),0,9:08,1,1,1.000,0,0,,4,4,1.000,2,1,3,2,0,1,1,2,6,7.7,+5,1.087,1.000,29.2,10.7,18.5,22.0,0.0,7.2,26.6,17.7,185,99,Anderson Varejao
5,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-11-26&is_playoff_game=N,2016-11-26,GSW,,MIN,W (+13),0,4:12,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-7,.500,.500,0.0,27.9,14.8,0.0,0.0,0.0,0.0,21.5,108,112,Anderson Varejao
6,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-12-03&is_playoff_game=N,2016-12-03,GSW,,PHO,W (+29),0,4:36,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,0,0,0.7,+1,,,37.3,22.7,28.2,21.3,0.0,0.0,100.0,9.5,101,112,Anderson Varejao
7,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,GSW,@,MEM,L (-21),1,18:21,0,2,.000,0,0,,0,0,,3,2,5,2,1,0,2,3,0,0.5,-19,.000,.000,17.1,12.2,14.7,15.4,2.7,0.0,50.0,9.6,58,114,Anderson Varejao
8,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,GSW,,UTA,W (+30),0,7:10,0,1,.000,0,0,,0,0,,3,2,5,0,0,1,1,0,0,1.7,-4,.000,.000,46.7,26.3,35.6,0.0,0.0,14.6,50.0,12.5,79,72,Anderson Varejao
9,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2016-12-22&is_playoff_game=N,2016-12-22,GSW,@,BRK,W (+16),0,5:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,,,0.0,19.0,9.2,0.0,0.0,0.0,,0.0,,102,Anderson Varejao
10,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2017-01-12&is_playoff_game=N,2017-01-12,GSW,,DET,W (+20),0,5:49,1,2,.500,0,0,,0,1,.000,0,1,1,1,0,0,1,1,2,0.2,-1,.410,.500,0.0,20.6,10.7,19.8,0.0,0.0,29.1,24.7,68,107,Anderson Varejao
11,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2017-01-18&is_playoff_game=N,2017-01-18,GSW,,OKC,W (+21),0,5:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+7,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,111,Anderson Varejao
12,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2017-01-28&is_playoff_game=N,2017-01-28,GSW,,LAC,W (+46),0,4:53,1,1,1.000,0,0,,1,2,.500,0,1,1,2,0,1,0,1,3,4.3,+3,.798,1.000,0.0,20.9,12.3,41.7,0.0,18.2,0.0,16.8,182,90,Anderson Varejao
13,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2017-02-01&is_playoff_game=N,2017-02-01,GSW,,CHO,W (+15),0,5:57,1,2,.500,0,0,,0,0,,1,0,1,0,1,0,1,2,2,0.9,-8,.500,.500,16.8,0.0,8.8,0.0,7.9,0.0,33.3,21.6,81,103,Anderson Varejao
14,/play-index/pgl_cum_stats.cgi?player=varejan01&year=2017&date_game=2017-02-02&is_playoff_game=N,2017-02-02,GSW,@,LAC,W (+13),0,8:17,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,3,0,-1.3,+2,.000,.000,0.0,29.0,14.0,0.0,0.0,0.0,0.0,4.9,0,121,Anderson Varejao
