game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,26:48,1,3,.333,0,2,.000,0,0,,1,1,2,3,1,0,1,3,2,2.2,-28,.333,.333,4.3,3.7,4.0,14.1,1.8,0.0,25.0,6.6,89,137,Andre Iguodala
2,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),0,30:05,4,7,.571,1,3,.333,0,0,,0,2,2,3,1,0,0,3,9,8.2,+16,.643,.643,0.0,6.1,3.3,12.7,1.5,0.0,0.0,9.5,135,108,Andre Iguodala
3,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),0,28:04,2,5,.400,0,3,.000,0,0,,1,2,3,4,2,0,0,1,4,7.0,+4,.400,.400,3.7,7.3,5.5,21.7,3.4,0.0,0.0,7.6,112,100,Andre Iguodala
4,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),0,24:14,4,7,.571,1,1,1.000,2,3,.667,0,5,5,5,0,0,1,1,11,10.9,+39,.661,.643,0.0,22.5,12.9,23.5,0.0,0.0,10.7,16.0,133,106,Andre Iguodala
5,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,24:40,1,5,.200,0,1,.000,1,2,.500,0,3,3,2,0,1,1,1,3,1.1,+34,.255,.200,0.0,13.3,6.7,8.8,0.0,3.2,14.5,11.9,69,105,Andre Iguodala
6,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),0,23:24,1,4,.250,1,3,.333,0,0,,0,3,3,0,2,0,3,1,3,0.1,-22,.375,.375,0.0,13.1,6.8,0.0,4.0,0.0,42.9,12.5,40,112,Andre Iguodala
7,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),0,31:06,0,4,.000,0,4,.000,2,2,1.000,0,4,4,8,3,0,1,1,2,7.6,+16,.205,.000,0.0,15.8,7.6,27.4,4.7,0.0,17.0,8.2,104,105,Andre Iguodala
8,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,12:34,1,2,.500,0,1,.000,0,0,,1,1,2,2,1,1,0,0,2,5.1,+11,.500,.500,11.2,8.1,9.4,19.5,4.2,6.6,0.0,7.7,153,98,Andre Iguodala
9,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,22:50,1,4,.250,0,1,.000,0,0,,0,3,3,4,2,0,0,2,2,4.5,+4,.250,.250,0.0,12.1,7.2,19.2,4.3,0.0,0.0,7.7,106,102,Andre Iguodala
10,/play-index/pgl_cum_stats.cgi?player=iguodan01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,24:02,1,4,.250,1,3,.333,1,2,.500,0,3,3,3,0,1,0,1,4,4.5,+1,.410,.375,0.0,13.9,7.4,13.9,0.0,3.0,0.0,8.4,114,117,Andre Iguodala
