game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-08&is_playoff_game=N,2017-02-08,GSW,,CHI,W (+31),0,6:46,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,0,2,2.3,+10,.500,.500,0.0,25.8,15.9,17.3,0.0,0.0,0.0,13.8,118,95,Briante Weber
2,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-10&is_playoff_game=N,2017-02-10,GSW,@,MEM,W (+15),0,2:05,1,1,1.000,0,0,,2,3,.667,0,0,0,0,1,0,1,0,4,3.3,-2,.862,1.000,0.0,0.0,0.0,0.0,23.5,0.0,30.1,72.4,109,72,Briante Weber
3,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-11&is_playoff_game=N,2017-02-11,GSW,@,OKC,W (+16),0,2:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,118,Briante Weber
4,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-13&is_playoff_game=N,2017-02-13,GSW,@,DEN,L (-22),0,24:12,1,3,.333,0,1,.000,0,0,,0,1,1,3,1,1,0,2,2,3.6,-3,.333,.333,0.0,5.4,2.5,13.8,2.0,4.2,0.0,5.6,100,134,Briante Weber
5,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-15&is_playoff_game=N,2017-02-15,GSW,,SAC,W (+23),0,5:30,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-2.4,-7,.000,.000,0.0,0.0,0.0,21.3,0.0,0.0,25.0,34.5,17,101,Briante Weber
6,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-23&is_playoff_game=N,2017-02-23,GSW,,LAC,W (+10),0,2:52,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-9,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.5,0,116,Briante Weber
7,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-02-25&is_playoff_game=N,2017-02-25,GSW,,BRK,W (+17),0,2:20,2,3,.667,0,1,.000,0,0,,0,1,1,0,1,0,0,0,4,4.0,+3,.667,.667,0.0,41.1,19.8,0.0,19.7,0.0,0.0,51.1,125,48,Briante Weber
8,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-03-02&is_playoff_game=N,2017-03-02,CHO,@,PHO,L (-17),0,1:38,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,0,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,250,125,Briante Weber
9,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-03-10&is_playoff_game=N,2017-03-10,CHO,,ORL,W (+40),0,6:43,1,4,.250,0,0,,0,0,,0,0,0,2,0,0,0,0,2,1.0,+3,.250,.250,0.0,0.0,0.0,35.9,0.0,0.0,0.0,30.2,83,103,Briante Weber
10,/play-index/pgl_cum_stats.cgi?player=weberbr01&year=2017&date_game=2017-03-13&is_playoff_game=N,2017-03-13,CHO,,CHI,L (-6),0,5:25,2,2,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,4,4.7,-4,1.000,1.000,0.0,19.7,9.4,0.0,9.3,0.0,0.0,16.5,200,101,Briante Weber
