game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),0,14:09,2,6,.333,2,5,.400,0,0,,2,2,4,0,1,1,1,4,6,3.7,+7,.500,.500,17.0,12.8,14.6,0.0,3.4,5.7,14.3,20.4,99,84,Channing Frye
2,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),0,14:38,4,12,.333,1,3,.333,2,2,1.000,1,3,4,0,0,0,0,2,11,5.0,+5,.427,.375,9.9,21.9,16.8,0.0,0.0,0.0,0.0,39.3,108,129,Channing Frye
3,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),0,14:37,4,7,.571,3,3,1.000,0,0,,0,1,1,0,1,1,1,2,11,7.9,+10,.786,.786,0.0,7.3,4.1,0.0,3.3,5.1,12.5,24.3,119,117,Channing Frye
4,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),0,18:25,4,9,.444,4,8,.500,0,0,,0,2,2,2,2,0,0,3,12,10.1,+1,.667,.667,0.0,12.1,5.5,19.6,5.1,0.0,0.0,20.4,135,93,Channing Frye
5,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),0,26:56,5,15,.333,3,8,.375,0,0,,2,5,7,1,0,0,0,0,13,8.1,+11,.433,.433,6.9,24.1,14.0,6.3,0.0,0.0,0.0,23.0,100,117,Channing Frye
6,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),0,14:20,3,8,.375,2,4,.500,0,0,,0,0,0,1,0,1,1,0,8,4.0,-1,.500,.500,0.0,0.0,0.0,12.9,0.0,4.7,11.1,26.8,97,102,Channing Frye
7,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),0,24:44,7,15,.467,6,12,.500,0,0,,0,3,3,0,0,3,1,3,20,13.1,+10,.667,.667,0.0,11.4,5.9,0.0,0.0,8.8,6.3,28.9,116,99,Channing Frye
8,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),0,19:37,7,10,.700,5,8,.625,2,2,1.000,1,2,3,1,0,1,0,2,21,18.7,-9,.965,.950,6.4,10.2,8.5,9.1,0.0,3.7,0.0,23.7,189,120,Channing Frye
9,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),0,27:27,3,9,.333,2,8,.250,0,0,,0,5,5,2,0,2,4,2,8,2.4,-10,.444,.444,0.0,19.4,9.6,11.8,0.0,6.0,30.8,20.2,67,103,Channing Frye
10,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),0,9:03,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-0.5,+9,.000,.000,0.0,18.3,11.0,0.0,0.0,0.0,0.0,5.2,0,88,Channing Frye
11,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),0,13:48,4,6,.667,4,6,.667,2,2,1.000,0,3,3,1,0,1,0,0,14,13.7,+1,1.017,1.000,0.0,25.5,13.2,10.2,0.0,5.7,0.0,21.4,197,125,Channing Frye
12,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,CLE,,LAC,L (-19),0,15:14,0,2,.000,0,1,.000,5,6,.833,0,5,5,0,0,0,1,4,5,2.1,-5,.539,.000,0.0,35.8,19.0,0.0,0.0,0.0,17.7,17.1,96,114,Channing Frye
13,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-02&is_playoff_game=N,2016-12-02,CLE,@,CHI,L (-6),0,21:06,5,6,.833,1,2,.500,0,0,,0,2,2,0,1,0,0,2,11,9.6,+5,.917,.917,0.0,10.6,5.5,0.0,2.3,0.0,0.0,12.9,171,113,Channing Frye
14,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,CLE,@,TOR,W (+4),0,19:04,3,7,.429,2,5,.400,2,2,1.000,1,4,5,2,0,0,1,1,10,8.2,-3,.635,.571,7.0,22.4,15.5,15.5,0.0,0.0,11.3,20.3,136,122,Channing Frye
15,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,CLE,@,NYK,W (+32),0,13:03,2,4,.500,2,3,.667,0,0,,0,0,0,0,1,0,0,2,6,4.2,+2,.750,.750,0.0,0.0,0.0,0.0,3.9,0.0,0.0,13.9,145,104,Channing Frye
16,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,CLE,,MEM,W (+17),0,14:38,2,6,.333,1,4,.250,3,3,1.000,0,1,1,1,0,0,1,2,8,3.8,-4,.546,.417,0.0,7.0,3.7,10.8,0.0,0.0,12.0,25.2,107,98,Channing Frye
17,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-14&is_playoff_game=N,2016-12-14,CLE,@,MEM,L (-8),1,22:37,0,4,.000,0,2,.000,0,0,,0,3,3,0,1,0,0,2,0,-1.7,-7,.000,.000,0.0,13.5,6.7,0.0,2.3,0.0,0.0,8.4,0,103,Channing Frye
18,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,CLE,,LAL,W (+11),0,14:05,3,3,1.000,2,2,1.000,0,0,,0,0,0,2,1,0,0,1,8,9.1,+7,1.333,1.333,0.0,0.0,0.0,19.1,3.7,0.0,0.0,9.7,257,119,Channing Frye
19,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,CLE,@,MIL,W (+6),0,24:40,5,11,.455,3,7,.429,2,2,1.000,1,2,3,2,0,0,0,4,15,10.4,+12,.631,.591,4.4,9.5,6.9,16.4,0.0,0.0,0.0,22.6,136,111,Channing Frye
20,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-21&is_playoff_game=N,2016-12-21,CLE,,MIL,W (+11),0,21:57,4,8,.500,2,5,.400,0,0,,0,1,1,0,0,0,0,3,10,5.1,+10,.625,.625,0.0,5.6,2.7,0.0,0.0,0.0,0.0,16.4,118,116,Channing Frye
21,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,CLE,,BRK,W (+20),0,22:10,5,9,.556,1,5,.200,1,1,1.000,0,6,6,2,0,0,1,1,12,9.5,-9,.636,.611,0.0,27.6,13.7,12.7,0.0,0.0,9.6,18.8,118,99,Channing Frye
22,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-25&is_playoff_game=N,2016-12-25,CLE,,GSW,W (+1),0,16:31,4,7,.571,2,5,.400,0,0,,0,2,2,0,0,0,3,2,10,3.5,-3,.714,.714,0.0,18.7,6.8,0.0,0.0,0.0,30.0,24.0,88,115,Channing Frye
23,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-26&is_playoff_game=N,2016-12-26,CLE,@,DET,L (-16),0,17:50,4,8,.500,3,5,.600,0,0,,0,4,4,1,0,0,3,5,11,3.9,-18,.688,.688,0.0,22.9,11.7,14.0,0.0,0.0,27.3,26.9,89,110,Channing Frye
24,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-29&is_playoff_game=N,2016-12-29,CLE,,BOS,W (+6),0,15:26,1,4,.250,1,2,.500,0,0,,1,2,3,0,0,0,0,0,3,1.9,-9,.375,.375,8.6,15.9,12.4,0.0,0.0,0.0,0.0,10.8,105,125,Channing Frye
25,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2016-12-31&is_playoff_game=N,2016-12-31,CLE,@,CHO,W (+12),0,17:12,1,3,.333,1,2,.500,2,2,1.000,0,3,3,0,0,0,0,1,5,3.8,+3,.644,.500,0.0,22.6,11.3,0.0,0.0,0.0,0.0,10.6,140,124,Channing Frye
26,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,CLE,,NOP,W (+8),0,24:59,5,9,.556,4,7,.571,0,2,.000,0,6,6,0,0,1,2,3,14,8.2,+17,.709,.778,0.0,21.8,11.4,0.0,0.0,3.1,16.8,20.6,107,87,Channing Frye
27,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-04&is_playoff_game=N,2017-01-04,CLE,,CHI,L (-12),1,29:56,6,11,.545,3,6,.500,0,0,,2,3,5,0,1,0,0,0,15,13.0,-9,.682,.682,6.8,12.0,9.2,0.0,1.8,0.0,0.0,16.2,152,119,Channing Frye
28,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,CLE,@,BRK,W (+8),0,24:43,2,6,.333,1,4,.250,0,0,,0,5,5,0,4,1,0,3,5,6.6,-5,.417,.417,0.0,19.0,9.9,0.0,7.1,3.2,0.0,9.8,81,86,Channing Frye
29,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,CLE,@,PHO,W (+4),0,18:18,4,8,.500,2,6,.333,0,0,,0,4,4,0,0,0,0,1,10,6.8,+13,.625,.625,0.0,27.6,14.2,0.0,0.0,0.0,0.0,19.0,142,124,Channing Frye
30,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,CLE,@,UTA,L (-8),0,18:30,1,6,.167,0,3,.000,3,3,1.000,1,2,3,0,0,1,1,2,5,1.4,-12,.342,.167,5.4,13.0,8.8,0.0,0.0,5.8,12.0,19.3,75,107,Channing Frye
31,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-11&is_playoff_game=N,2017-01-11,CLE,@,POR,L (-16),0,12:11,1,6,.167,1,1,1.000,1,2,.500,4,1,5,0,0,1,1,3,4,1.4,-11,.291,.250,30.9,8.2,19.9,0.0,0.0,6.3,12.7,28.4,77,111,Channing Frye
32,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-13&is_playoff_game=N,2017-01-13,CLE,@,SAC,W (+12),0,19:10,3,7,.429,2,5,.400,2,2,1.000,0,0,0,1,3,0,0,4,10,8.4,-4,.635,.571,0.0,0.0,0.0,6.9,7.7,0.0,0.0,18.2,137,103,Channing Frye
33,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,CLE,@,GSW,L (-35),0,16:09,0,3,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,0,0,-0.1,-17,.000,.000,0.0,15.2,6.4,19.2,0.0,0.0,0.0,7.8,31,125,Channing Frye
34,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-19&is_playoff_game=N,2017-01-19,CLE,,PHO,W (+15),0,29:37,6,11,.545,4,8,.500,2,2,1.000,2,8,10,2,1,0,0,5,18,16.9,+16,.758,.727,9.3,27.6,19.8,9.7,1.7,0.0,0.0,18.3,154,101,Channing Frye
35,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-21&is_playoff_game=N,2017-01-21,CLE,,SAS,L (-3),0,16:57,2,8,.250,0,2,.000,4,5,.800,1,3,4,0,0,0,1,0,8,3.4,-21,.392,.250,6.7,20.4,13.4,0.0,0.0,0.0,8.9,29.5,84,115,Channing Frye
36,/play-index/pgl_cum_stats.cgi?player=fryech01&year=2017&date_game=2017-01-23&is_playoff_game=N,2017-01-23,CLE,@,NOP,L (-2),0,5:15,1,4,.250,1,3,.333,0,0,,1,0,1,0,0,1,0,2,3,1.2,-7,.375,.375,19.9,0.0,10.5,0.0,0.0,19.0,0.0,31.8,95,115,Channing Frye
