game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-04-12&is_playoff_game=N,2017-04-12,CLE,,TOR,L (-15),0,12:00,3,8,.375,0,2,.000,3,4,.750,1,1,2,1,0,0,1,1,9,4.5,+2,.461,.375,8.7,9.1,8.9,25.0,0.0,0.0,9.3,42.4,93,117,Dahntay Jones
1,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-04-20&is_playoff_game=Y,2017-04-20,CLE,@,IND,W (+5),0,0:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,120,Dahntay Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-05-01&is_playoff_game=Y,2017-05-01,CLE,,TOR,W (+11),0,2:59,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-0.1,-6,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.3,65,113,Dahntay Jones
3,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-05-03&is_playoff_game=Y,2017-05-03,CLE,,TOR,W (+22),0,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112,Dahntay Jones
4,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-05-05&is_playoff_game=Y,2017-05-05,CLE,@,TOR,W (+21),0,1:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,103,Dahntay Jones
5,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-05-17&is_playoff_game=Y,2017-05-17,CLE,@,BOS,W (+13),0,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,123,Dahntay Jones
6,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-05-19&is_playoff_game=Y,2017-05-19,CLE,@,BOS,W (+44),0,5:48,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,+3,.000,.000,0.0,36.0,19.7,17.2,0.0,0.0,0.0,15.5,43,87,Dahntay Jones
7,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-05-25&is_playoff_game=Y,2017-05-25,CLE,@,BOS,W (+33),0,8:11,2,4,.500,0,0,,1,1,1.000,0,1,1,0,0,1,0,3,5,2.8,-4,.563,.500,0.0,13.3,7.6,0.0,0.0,10.5,0.0,24.4,116,104,Dahntay Jones
8,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-06-01&is_playoff_game=Y,2017-06-01,CLE,@,GSW,L (-22),0,4:06,1,2,.500,1,2,.500,4,4,1.000,0,0,0,0,0,0,0,0,7,6.0,-1,.931,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,201,121,Dahntay Jones
9,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-06-04&is_playoff_game=Y,2017-06-04,CLE,@,GSW,L (-19),0,4:05,1,1,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,2,3.0,0,1.000,1.000,22.2,57.3,37.5,0.0,0.0,0.0,0.0,10.0,206,122,Dahntay Jones
10,/play-index/pgl_cum_stats.cgi?player=jonesda02&year=2017&date_game=2017-06-09&is_playoff_game=Y,2017-06-09,CLE,,GSW,W (+21),0,2:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0,,,0.0,46.0,26.1,0.0,0.0,0.0,,0.0,,111,Dahntay Jones
