game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,GSW,@,MEM,L (-21),0,9:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,2,0,-2.8,0,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.8,0,124,Damian Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-01-22&is_playoff_game=N,2017-01-22,GSW,@,ORL,W (+20),0,7:24,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,2,0,-1.2,-5,.000,.000,0.0,12.7,7.0,0.0,6.5,0.0,50.0,11.2,0,87,Damian Jones
3,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-02-01&is_playoff_game=N,2017-02-01,GSW,,CHO,W (+15),0,4:07,1,1,1.000,0,0,,2,2,1.000,1,1,2,0,0,1,1,1,4,4.0,-5,1.064,1.000,24.3,26.5,25.3,0.0,0.0,20.5,34.7,29.9,143,98,Damian Jones
4,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-02-08&is_playoff_game=N,2017-02-08,GSW,,CHI,W (+31),0,3:48,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2,2.3,+7,1.000,1.000,37.2,23.0,28.4,0.0,0.0,0.0,0.0,12.3,215,95,Damian Jones
5,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-02-10&is_playoff_game=N,2017-02-10,GSW,@,MEM,W (+15),0,1:44,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,0,,,81.4,0.0,34.2,0.0,0.0,0.0,,0.0,229,124,Damian Jones
6,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-02-11&is_playoff_game=N,2017-02-11,GSW,@,OKC,W (+16),0,1:52,0,1,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,1,0,-0.9,-6,.000,.000,62.7,61.2,62.0,0.0,0.0,0.0,0.0,42.6,46,102,Damian Jones
7,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-02-13&is_playoff_game=N,2017-02-13,GSW,@,DEN,L (-22),0,12:00,2,3,.667,0,0,,0,0,,0,1,1,0,0,1,1,1,4,2.3,+3,.667,.667,0.0,10.8,5.1,0.0,0.0,8.5,25.0,15.0,88,135,Damian Jones
8,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-02-15&is_playoff_game=N,2017-02-15,GSW,,SAC,W (+23),0,5:30,0,0,,0,0,,1,2,.500,2,0,2,0,0,0,0,1,1,1.6,-7,.568,,39.7,0.0,18.2,0.0,0.0,0.0,0.0,7.6,176,101,Damian Jones
9,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-03-11&is_playoff_game=N,2017-03-11,GSW,@,SAS,L (-22),0,20:30,2,6,.333,0,0,,0,2,.000,3,2,5,0,0,0,0,3,4,1.3,-3,.291,.333,11.9,13.0,12.3,0.0,0.0,0.0,0.0,13.8,79,120,Damian Jones
10,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-04-12&is_playoff_game=N,2017-04-12,GSW,,LAL,W (+15),0,19:08,2,3,.667,0,0,,0,2,.000,0,7,7,0,0,2,1,3,4,3.2,-12,.515,.667,0.0,34.4,18.7,0.0,0.0,6.6,20.5,10.2,73,87,Damian Jones
1,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-04-19&is_playoff_game=Y,2017-04-19,GSW,,POR,W (+29),0,6:09,0,0,,0,0,,1,2,.500,2,0,2,0,0,0,0,1,1,1.6,-3,.568,,33.2,0.0,15.5,0.0,0.0,0.0,0.0,5.8,167,91,Damian Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-04-24&is_playoff_game=Y,2017-04-24,GSW,@,POR,W (+25),0,6:12,1,3,.333,0,0,,0,0,,1,0,1,0,0,1,0,2,2,0.9,-6,.333,.333,20.4,0.0,9.2,0.0,0.0,16.8,0.0,21.5,92,102,Damian Jones
3,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-05-16&is_playoff_game=Y,2017-05-16,GSW,,SAS,W (+36),0,6:32,1,3,.333,0,0,,0,0,,1,0,1,0,1,0,0,0,2,2.0,+2,.333,.333,22.3,0.0,8.3,0.0,7.2,0.0,0.0,19.4,92,98,Damian Jones
4,/play-index/pgl_cum_stats.cgi?player=jonesda03&year=2017&date_game=2017-05-22&is_playoff_game=Y,2017-05-22,GSW,@,SAS,W (+14),0,1:54,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,2,3.3,-1,1.000,1.000,0.0,84.2,53.2,0.0,23.6,0.0,0.0,22.2,200,38,Damian Jones
