game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,10:39,1,2,.500,0,0,,0,0,,1,1,2,0,1,1,4,2,2,-1.1,-13,.500,.500,10.7,9.4,10.0,0.0,4.6,6.1,66.7,24.8,38,125,David West
2,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),0,8:43,1,3,.333,0,0,,1,2,.500,1,0,1,0,0,0,1,2,3,-0.2,+2,.387,.333,12.0,0.0,5.6,0.0,0.0,0.0,20.5,22.9,75,112,David West
3,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),0,7:36,2,6,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,1,4,1.5,+2,.333,.333,13.7,26.9,20.4,0.0,0.0,0.0,0.0,33.7,75,101,David West
4,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),0,10:56,2,3,.667,0,0,,0,0,,0,4,4,3,1,1,0,0,4,7.7,+27,.667,.667,0.0,39.9,22.8,32.0,4.2,9.3,0.0,11.4,157,86,David West
5,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,6:02,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,2,1,2,-0.8,+17,.500,.500,0.0,36.2,18.3,0.0,0.0,0.0,50.0,28.2,45,97,David West
6,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),0,5:47,2,4,.500,0,0,,0,0,,1,0,1,1,0,0,0,1,4,3.0,-12,.500,.500,18.9,0.0,9.1,37.1,0.0,0.0,0.0,28.9,115,126,David West
7,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),0,14:04,3,5,.600,0,0,,2,2,1.000,3,1,4,2,3,0,1,1,8,11.1,+8,.680,.600,24.4,8.7,16.9,19.6,10.5,0.0,14.5,21.3,141,94,David West
8,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,13:09,2,3,.667,0,0,,1,1,1.000,2,1,3,3,0,1,1,0,5,7.2,+14,.727,.667,21.5,7.8,13.5,30.7,0.0,6.3,22.5,16.4,150,107,David West
9,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,13:19,2,3,.667,0,0,,1,2,.500,0,0,0,1,2,0,2,3,5,2.8,+3,.644,.667,0.0,0.0,0.0,9.3,7.3,0.0,34.0,19.5,85,100,David West
10,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,5:33,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1.0,-3,.500,.500,0.0,20.1,10.7,23.8,0.0,0.0,33.3,22.2,79,119,David West
11,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,GSW,@,TOR,W (+6),0,16:09,3,4,.750,0,0,,0,0,,0,2,2,1,1,1,0,1,6,7.0,+8,.750,.750,0.0,14.5,7.3,8.5,3.0,5.2,0.0,10.7,149,118,David West
12,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,GSW,@,BOS,W (+16),0,13:29,2,5,.400,0,0,,0,0,,0,2,2,0,0,1,1,2,4,0.8,+1,.400,.400,0.0,14.8,7.7,0.0,0.0,7.0,16.7,20.1,63,94,David West
13,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,GSW,@,MIL,W (+3),0,11:39,3,4,.750,0,0,,1,2,.500,4,3,7,3,0,1,1,3,7,9.3,+7,.717,.750,33.6,33.4,33.5,41.7,0.0,6.0,17.0,20.0,148,118,David West
14,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-21&is_playoff_game=N,2016-11-21,GSW,@,IND,W (+37),0,14:36,2,5,.400,0,0,,3,3,1.000,0,4,4,2,1,1,4,2,7,3.8,-5,.554,.400,0.0,20.9,12.1,19.7,3.3,4.1,38.8,29.2,76,75,David West
15,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,GSW,,LAL,W (+43),0,14:40,1,3,.333,0,0,,1,2,.500,1,4,5,4,1,1,1,2,3,5.5,+6,.387,.333,9.1,26.7,19.3,26.3,3.1,4.5,20.5,14.3,116,93,David West
16,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,GSW,@,LAL,W (+24),0,11:07,1,1,1.000,0,0,,0,0,,1,1,2,3,1,0,2,4,2,2.2,+7,1.000,1.000,12.3,8.0,9.7,33.5,4.3,0.0,66.7,12.1,107,83,David West
17,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-26&is_playoff_game=N,2016-11-26,GSW,,MIN,W (+13),0,9:14,1,2,.500,0,0,,0,2,.000,1,1,2,2,1,0,2,1,2,1.2,-3,.347,.500,14.4,12.7,13.5,26.1,5.5,0.0,41.0,23.8,71,103,David West
18,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-11-28&is_playoff_game=N,2016-11-28,GSW,,ATL,W (+5),0,8:50,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,0,1,0,0.3,-3,.000,.000,0.0,0.0,0.0,14.7,0.0,9.5,0.0,5.0,53,104,David West
19,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,GSW,,HOU,L (-5),0,3:18,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-2.6,-4,.000,.000,0.0,62.8,32.0,0.0,0.0,0.0,33.3,38.4,0,98,David West
20,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-03&is_playoff_game=N,2016-12-03,GSW,,PHO,W (+29),0,13:23,5,6,.833,0,0,,0,0,,0,2,2,2,0,0,0,1,10,9.4,+10,.833,.833,0.0,15.6,9.7,23.1,0.0,0.0,0.0,19.6,170,115,David West
21,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,GSW,,IND,W (+36),0,9:21,1,3,.333,0,0,,2,2,1.000,1,4,5,1,0,2,1,1,4,4.9,0,.515,.333,10.9,43.7,27.3,10.5,0.0,14.7,20.5,19.8,108,90,David West
22,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,GSW,@,LAC,W (+17),0,11:12,0,1,.000,0,0,,2,2,1.000,0,5,5,3,0,0,0,3,2,3.7,+2,.532,.000,0.0,42.0,23.0,30.6,0.0,0.0,0.0,7.2,158,94,David West
23,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-08&is_playoff_game=N,2016-12-08,GSW,@,UTA,W (+7),0,11:59,2,3,.667,0,0,,0,0,,0,2,2,3,0,1,1,3,4,3.9,-12,.667,.667,0.0,16.0,8.6,38.8,0.0,7.9,25.0,15.1,120,101,David West
24,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,GSW,@,MEM,L (-21),0,15:08,3,3,1.000,2,2,1.000,1,2,.500,0,3,3,4,1,2,3,3,9,9.6,+6,1.160,1.333,0.0,22.1,10.7,51.8,3.3,10.4,43.6,20.1,133,102,David West
25,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-11&is_playoff_game=N,2016-12-11,GSW,@,MIN,W (+8),0,13:39,1,4,.250,0,0,,1,2,.500,0,2,2,3,1,1,0,2,3,3.8,+13,.307,.250,0.0,15.0,8.0,30.6,3.7,6.2,0.0,16.5,92,107,David West
26,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,GSW,@,NOP,W (+4),0,12:23,1,4,.250,0,0,,0,0,,0,3,3,3,0,0,1,0,2,1.6,-2,.250,.250,0.0,27.7,12.9,30.5,0.0,0.0,20.0,16.8,70,110,David West
27,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-15&is_playoff_game=N,2016-12-15,GSW,,NYK,W (+13),0,10:14,1,1,1.000,0,0,,0,0,,1,3,4,4,2,1,2,1,2,6.4,-2,1.000,1.000,9.4,25.1,17.7,46.5,9.5,6.5,66.7,12.1,101,67,David West
28,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,GSW,,POR,W (+45),0,7:28,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,0,0,4,4.7,+16,.667,.667,19.5,23.8,22.2,16.9,0.0,0.0,0.0,17.0,156,94,David West
29,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,GSW,,UTA,W (+30),0,10:39,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,0,4,3.7,+6,.667,.667,10.5,17.7,14.4,14.5,0.0,0.0,25.0,16.8,110,83,David West
30,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-22&is_playoff_game=N,2016-12-22,GSW,@,BRK,W (+16),0,16:06,4,5,.800,0,0,,2,2,1.000,1,5,6,2,1,2,3,2,10,10.3,-2,.850,.800,6.0,31.7,18.4,17.0,2.7,11.7,33.8,21.7,114,85,David West
31,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,GSW,@,DET,W (+6),0,14:11,3,4,.750,0,0,,0,0,,0,1,1,5,1,0,0,3,6,8.0,+5,.750,.750,0.0,8.1,4.4,51.5,3.2,0.0,0.0,12.4,171,106,David West
32,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-25&is_playoff_game=N,2016-12-25,GSW,@,CLE,L (-1),0,14:08,1,3,.333,0,0,,3,3,1.000,1,1,2,5,1,0,1,1,5,7.4,-2,.579,.333,11.0,6.2,7.9,50.5,3.4,0.0,18.8,16.6,132,110,David West
33,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-28&is_playoff_game=N,2016-12-28,GSW,,TOR,W (+10),0,10:19,2,2,1.000,0,0,,0,0,,0,2,2,1,0,0,1,0,4,3.7,-11,1.000,1.000,0.0,15.3,9.7,12.7,0.0,0.0,33.3,12.8,122,116,David West
34,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2016-12-30&is_playoff_game=N,2016-12-30,GSW,,DAL,W (+9),0,14:35,2,2,1.000,0,0,,4,4,1.000,0,2,2,4,1,0,1,2,8,10.0,+4,1.064,1.000,0.0,13.2,7.9,37.2,3.4,0.0,21.0,15.1,181,99,David West
35,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,GSW,,DEN,W (+8),0,12:42,1,4,.250,0,0,,0,0,,1,1,2,3,0,0,0,1,2,2.3,-2,.250,.250,8.6,8.0,8.3,24.5,0.0,0.0,0.0,12.9,104,121,David West
36,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2017-01-04&is_playoff_game=N,2017-01-04,GSW,,POR,W (+8),0,13:34,2,2,1.000,0,0,,0,0,,1,3,4,1,1,0,1,2,4,4.9,0,1.000,1.000,8.6,25.3,17.1,9.6,3.4,0.0,33.3,9.2,136,111,David West
37,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,GSW,,MEM,L (-9),0,11:20,0,1,.000,0,0,,1,2,.500,0,4,4,3,2,1,0,2,1,5.1,+2,.266,.000,0.0,36.7,20.6,34.2,8.8,6.7,0.0,7.6,113,92,David West
38,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,GSW,@,SAC,W (+11),0,15:12,1,3,.333,0,0,,0,0,,1,4,5,2,1,0,1,1,2,3.2,-8,.333,.333,7.3,37.2,20.5,15.1,3.1,0.0,25.0,11.0,87,105,David West
39,/play-index/pgl_cum_stats.cgi?player=westda01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,GSW,,MIA,W (+12),0,11:59,1,4,.250,0,0,,0,0,,1,4,5,3,1,0,0,0,2,4.6,+1,.250,.250,8.9,32.7,21.3,34.3,4.0,0.0,0.0,15.0,94,88,David West
