game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-10-26&is_playoff_game=N,2016-10-26,DAL,@,IND,L (-9),1,40:00,10,18,.556,5,8,.625,0,0,,1,2,3,7,0,1,6,4,25,15.7,-9,.694,.694,2.5,5.6,3.9,29.2,0.0,1.8,25.0,25.1,108,119,Deron Williams
2,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,DAL,,HOU,L (-8),1,34:02,5,11,.455,1,4,.250,3,4,.750,0,0,0,4,1,0,3,3,14,7.5,-9,.549,.500,0.0,0.0,0.0,20.2,1.5,0.0,19.0,22.3,98,119,Deron Williams
3,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,DAL,@,HOU,L (-1),1,31:23,4,11,.364,3,5,.600,1,2,.500,0,1,1,3,1,1,2,1,12,7.2,+2,.505,.500,0.0,3.9,1.7,17.7,1.7,3.1,14.4,20.5,95,104,Deron Williams
4,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-11-02&is_playoff_game=N,2016-11-02,DAL,@,UTA,L (-16),1,34:11,5,11,.455,2,5,.400,0,0,,0,2,2,9,0,0,1,3,12,11.0,-11,.545,.545,0.0,7.6,3.6,48.6,0.0,0.0,8.3,18.0,120,114,Deron Williams
5,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,DAL,,POR,L (-10),1,36:55,3,14,.214,1,7,.143,5,6,.833,0,5,5,6,1,0,2,1,12,7.3,-11,.361,.250,0.0,14.8,7.6,25.9,1.4,0.0,10.7,23.3,82,110,Deron Williams
6,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,DAL,@,BOS,L (-7),1,9:34,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-10,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0,111,Deron Williams
7,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,DAL,@,CLE,L (-38),1,14:55,2,6,.333,0,1,.000,0,0,,0,2,2,5,0,0,1,2,4,2.9,-16,.333,.333,0.0,17.4,7.5,52.6,0.0,0.0,14.3,20.6,85,136,Deron Williams
8,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-11-27&is_playoff_game=N,2016-11-27,DAL,,NOP,W (+10),1,20:03,3,10,.300,0,4,.000,3,3,1.000,0,2,2,4,0,0,5,4,9,0.0,-8,.398,.300,0.0,10.6,5.4,38.6,0.0,0.0,30.6,39.9,69,101,Deron Williams
9,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-11-30&is_playoff_game=N,2016-11-30,DAL,,SAS,L (-7),1,25:42,4,12,.333,1,3,.333,0,0,,1,7,8,5,0,0,2,4,9,4.9,+9,.375,.375,4.3,36.3,18.9,36.6,0.0,0.0,14.3,27.8,85,111,Deron Williams
10,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,DAL,@,CHO,L (-10),1,29:39,6,14,.429,1,7,.143,1,1,1.000,0,3,3,9,0,0,2,2,14,11.0,-1,.485,.464,0.0,13.5,6.1,65.4,0.0,0.0,12.2,25.4,105,110,Deron Williams
11,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-03&is_playoff_game=N,2016-12-03,DAL,,CHI,W (+25),1,31:11,3,11,.273,0,3,.000,3,3,1.000,0,2,2,15,1,0,1,2,9,12.8,+27,.365,.273,0.0,7.7,3.6,65.3,1.7,0.0,7.5,19.5,122,96,Deron Williams
12,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,DAL,,CHO,L (-8),1,37:19,6,18,.333,2,8,.250,1,1,1.000,0,1,1,13,0,0,2,2,15,11.4,-2,.407,.389,0.0,3.7,1.5,57.1,0.0,0.0,9.8,25.3,100,123,Deron Williams
13,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,DAL,,SAC,L (-31),1,31:47,6,8,.750,3,5,.600,5,5,1.000,0,2,2,6,0,0,5,2,20,15.8,-9,.980,.938,0.0,8.2,3.8,39.5,0.0,0.0,32.9,21.5,133,128,Deron Williams
14,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-09&is_playoff_game=N,2016-12-09,DAL,,IND,W (+8),1,33:23,5,13,.385,3,6,.500,3,3,1.000,0,1,1,6,1,0,1,4,16,11.8,+15,.559,.500,0.0,4.5,2.0,27.1,1.6,0.0,6.5,22.3,119,118,Deron Williams
15,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,DAL,@,HOU,L (-22),1,31:46,3,10,.300,1,4,.250,2,2,1.000,0,3,3,6,0,0,0,2,9,7.5,-13,.414,.350,0.0,12.6,5.7,33.0,0.0,0.0,0.0,17.5,105,131,Deron Williams
16,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-12&is_playoff_game=N,2016-12-12,DAL,,DEN,W (+20),1,31:58,7,16,.438,1,6,.167,2,2,1.000,0,2,2,8,2,0,1,2,17,15.0,+19,.504,.469,0.0,6.5,3.9,34.8,3.6,0.0,5.6,29.4,123,111,Deron Williams
17,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-14&is_playoff_game=N,2016-12-14,DAL,,DET,L (-10),1,35:43,3,13,.231,1,4,.250,9,9,1.000,1,2,3,5,1,0,2,3,16,10.7,-5,.472,.269,2.9,7.9,5.0,24.0,1.5,0.0,10.5,26.5,100,113,Deron Williams
18,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-16&is_playoff_game=N,2016-12-16,DAL,@,UTA,L (-3),1,34:43,6,11,.545,1,4,.250,5,5,1.000,0,0,0,7,2,0,1,1,18,18.2,+1,.682,.591,0.0,0.0,0.0,36.2,3.3,0.0,7.0,21.3,144,124,Deron Williams
19,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-18&is_playoff_game=N,2016-12-18,DAL,,SAC,W (+20),1,32:54,5,10,.500,1,4,.250,4,4,1.000,0,2,2,7,0,0,2,2,15,12.7,+9,.638,.550,0.0,6.6,3.4,38.2,0.0,0.0,14.5,20.6,126,96,Deron Williams
20,/play-index/pgl_cum_stats.cgi?player=willide01&year=2017&date_game=2016-12-19&is_playoff_game=N,2016-12-19,DAL,@,DEN,L (-10),1,30:32,9,17,.529,3,3,1.000,2,3,.667,0,1,1,8,1,0,3,3,23,17.0,-11,.628,.618,0.0,4.9,2.2,43.6,1.7,0.0,14.1,34.9,120,130,Deron Williams
