game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,MIA,@,OKC,L (-12),0,3:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+5,,,0.0,38.7,17.1,0.0,0.0,0.0,,0.0,,104,Derrick Williams
2,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-12&is_playoff_game=N,2016-11-12,MIA,,UTA,L (-11),0,20:17,5,8,.625,1,2,.500,0,2,.000,1,3,4,1,0,1,0,0,11,9.6,-4,.619,.688,5.5,17.3,11.3,9.0,0.0,3.9,0.0,21.6,121,111,Derrick Williams
3,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-14&is_playoff_game=N,2016-11-14,MIA,@,SAS,L (-4),1,15:42,2,6,.333,0,2,.000,1,2,.500,0,1,1,0,1,0,1,1,5,1.1,-2,.363,.333,0.0,6.8,3.3,0.0,3.2,0.0,12.7,22.7,65,104,Derrick Williams
4,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,MIA,,ATL,L (-3),1,18:22,3,8,.375,0,2,.000,0,0,,0,1,1,1,1,0,0,3,6,2.4,-15,.375,.375,0.0,7.1,3.1,9.3,2.7,0.0,0.0,17.7,97,97,Derrick Williams
5,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-17&is_playoff_game=N,2016-11-17,MIA,,MIL,W (+23),1,14:51,1,5,.200,0,1,.000,0,0,,2,0,2,1,0,0,0,1,2,0.6,-2,.200,.200,12.2,0.0,6.0,9.0,0.0,0.0,0.0,14.3,76,93,Derrick Williams
6,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,MIA,@,WAS,W (+3),1,16:53,5,9,.556,2,4,.500,0,0,,2,3,5,0,0,0,1,1,12,8.6,+11,.667,.667,12.9,20.3,16.5,0.0,0.0,0.0,10.0,25.3,132,122,Derrick Williams
7,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-21&is_playoff_game=N,2016-11-21,MIA,@,PHI,L (-7),1,18:36,2,6,.333,1,2,.500,2,4,.500,1,0,1,0,0,0,0,0,7,3.5,+4,.451,.417,4.8,0.0,2.9,0.0,0.0,0.0,0.0,17.7,111,120,Derrick Williams
8,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,MIA,@,DET,L (-23),1,12:26,2,5,.400,0,2,.000,1,2,.500,1,1,2,0,0,0,0,1,5,2.5,-12,.425,.400,8.4,9.7,9.0,0.0,0.0,0.0,0.0,22.2,91,120,Derrick Williams
9,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,MIA,@,MEM,W (+9),1,13:37,0,5,.000,0,2,.000,0,0,,0,2,2,1,1,0,0,0,0,-1.2,+12,.000,.000,0.0,14.1,7.4,10.7,4.0,0.0,0.0,17.5,13,88,Derrick Williams
10,/play-index/pgl_cum_stats.cgi?player=willide02&year=2017&date_game=2016-11-26&is_playoff_game=N,2016-11-26,MIA,,MEM,L (-3),1,15:52,5,9,.556,1,5,.200,2,2,1.000,1,1,2,0,0,1,0,1,13,10.0,0,.658,.611,7.6,9.2,8.3,0.0,0.0,6.3,0.0,29.7,137,120,Derrick Williams
