game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,13:22,2,8,.250,0,4,.000,1,2,.500,0,0,0,2,0,1,0,0,5,1.9,-30,.282,.250,0.0,0.0,0.0,21.9,0.0,4.9,0.0,29.3,71,141,Ian Clark
2,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),0,5:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0,113,Ian Clark
3,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),0,15:53,1,5,.200,1,3,.333,0,0,,0,2,2,0,0,0,1,3,3,-1.7,-9,.300,.300,0.0,12.9,6.5,0.0,0.0,0.0,16.7,16.1,48,105,Ian Clark
4,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),0,25:20,8,8,1.000,3,3,1.000,3,3,1.000,0,2,2,1,3,0,1,2,22,22.1,+18,1.180,1.188,0.0,8.6,4.9,5.4,5.4,0.0,9.7,17.0,200,95,Ian Clark
5,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,19:03,3,5,.600,1,2,.500,1,1,1.000,0,3,3,0,0,0,0,0,8,6.6,+9,.735,.700,0.0,17.2,8.7,0.0,0.0,0.0,0.0,12.2,156,106,Ian Clark
6,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),0,12:41,1,5,.200,0,2,.000,0,0,,0,2,2,0,1,0,3,2,2,-3.3,-6,.200,.200,0.0,16.1,8.3,0.0,3.7,0.0,37.5,26.4,25,111,Ian Clark
7,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),0,12:44,1,3,.333,0,2,.000,0,0,,0,2,2,2,0,1,1,0,2,2.0,+7,.333,.333,0.0,19.3,9.3,18.3,0.0,6.4,25.0,13.7,77,110,Ian Clark
8,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,11:33,2,5,.400,0,2,.000,0,0,,0,1,1,1,1,0,0,0,4,3.3,+2,.400,.400,0.0,8.8,5.1,12.0,4.6,0.0,0.0,21.1,90,101,Ian Clark
9,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,11:22,1,4,.250,1,3,.333,0,0,,0,0,0,4,0,0,0,2,3,2.6,-5,.375,.375,0.0,0.0,0.0,40.4,0.0,0.0,0.0,15.5,125,117,Ian Clark
10,/play-index/pgl_cum_stats.cgi?player=clarkia01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,5:13,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,4,4.0,-1,1.000,1.000,0.0,0.0,0.0,0.0,8.7,0.0,0.0,15.8,200,103,Ian Clark
