game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),0,13:51,1,3,.333,0,1,.000,0,0,,1,1,2,3,0,1,2,2,2,1.3,-5,.333,.333,8.7,6.5,7.5,25.0,0.0,5.8,40.0,14.9,78,95,Iman Shumpert
2,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),0,20:12,1,4,.250,1,1,1.000,3,4,.750,0,4,4,2,3,0,2,2,6,6.0,-6,.521,.375,0.0,19.4,10.4,15.5,7.6,0.0,25.8,17.4,90,82,Iman Shumpert
3,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),0,18:49,2,3,.667,1,1,1.000,0,0,,0,0,0,1,3,0,1,5,5,4.4,-3,.833,.833,0.0,0.0,0.0,8.3,7.9,0.0,25.0,9.3,122,94,Iman Shumpert
4,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),0,25:44,3,4,.750,2,3,.667,0,0,,0,2,2,1,2,0,2,3,8,6.5,+6,1.000,1.000,0.0,8.3,4.8,5.0,4.0,0.0,33.3,10.4,123,124,Iman Shumpert
5,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),0,25:48,3,7,.429,2,5,.400,7,8,.875,0,2,2,2,0,0,0,4,15,11.3,+7,.713,.571,0.0,8.3,4.6,10.5,0.0,0.0,0.0,18.1,156,129,Iman Shumpert
6,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),0,25:32,3,4,.750,1,2,.500,0,0,,1,2,3,3,1,0,1,1,7,8.4,-3,.875,.875,3.7,8.7,6.0,18.0,1.8,0.0,20.0,8.2,147,102,Iman Shumpert
7,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),0,21:45,2,4,.500,1,2,.500,0,0,,2,3,5,4,2,0,2,2,5,7.3,-2,.625,.625,8.5,17.9,12.4,27.1,4.5,0.0,33.3,11.4,110,108,Iman Shumpert
8,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),0,26:55,2,4,.500,0,2,.000,2,2,1.000,2,2,4,0,4,0,2,2,6,7.2,+1,.615,.500,7.3,8.1,7.7,0.0,7.3,0.0,29.1,10.9,100,89,Iman Shumpert
9,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),0,32:23,6,9,.667,3,5,.600,0,0,,1,2,3,2,0,1,3,0,15,11.5,+7,.833,.833,3.2,5.8,4.5,9.8,0.0,2.2,25.0,16.5,117,107,Iman Shumpert
10,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),0,27:27,1,5,.200,1,5,.200,1,2,.500,0,2,2,3,0,2,1,1,4,3.2,-6,.340,.300,0.0,7.3,4.1,12.4,0.0,5.2,14.5,10.7,87,120,Iman Shumpert
11,/play-index/pgl_cum_stats.cgi?player=shumpim01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),1,28:20,1,6,.167,0,1,.000,0,0,,1,2,3,2,0,0,3,2,2,-2.9,-10,.167,.167,3.7,7.5,5.6,10.2,0.0,0.0,33.3,13.5,41,111,Iman Shumpert
