game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),1,25:14,3,13,.231,2,8,.250,0,0,,0,3,3,2,1,0,0,1,8,3.0,+13,.308,.308,0.0,10.8,6.1,9.7,1.9,0.0,0.0,21.3,78,93,J.R. Smith
2,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),1,33:48,3,8,.375,2,7,.286,0,0,,0,0,0,0,3,0,1,0,8,5.6,+9,.500,.500,0.0,0.0,0.0,0.0,4.5,0.0,11.1,12.1,87,99,J.R. Smith
3,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),1,28:22,5,11,.455,4,10,.400,2,2,1.000,3,2,5,1,1,1,0,4,16,13.8,+5,.673,.636,10.2,8.5,9.4,6.1,1.8,3.0,0.0,18.2,150,103,J.R. Smith
4,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),1,34:28,5,12,.417,5,11,.455,0,0,,0,3,3,2,0,0,0,3,15,9.7,+2,.625,.625,0.0,9.3,5.4,7.7,0.0,0.0,0.0,15.5,148,133,J.R. Smith
5,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),1,35:17,1,5,.200,1,4,.250,0,0,,0,2,2,2,3,2,0,5,3,4.3,+11,.300,.300,0.0,6.0,3.4,6.9,4.1,4.3,0.0,6.3,85,117,J.R. Smith
6,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),1,32:06,3,7,.429,3,7,.429,2,2,1.000,0,1,1,1,3,1,1,2,11,10.2,-1,.698,.643,0.0,3.5,1.6,4.6,4.4,3.1,11.3,11.6,124,94,J.R. Smith
7,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),1,31:32,2,13,.154,2,10,.200,0,0,,1,1,2,3,2,0,1,1,6,1.4,-2,.231,.231,2.9,4.1,3.4,13.4,3.1,0.0,7.1,18.4,62,114,J.R. Smith
8,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),1,34:37,5,11,.455,5,9,.556,2,2,1.000,0,4,4,0,1,0,0,4,17,11.9,+21,.715,.682,0.0,12.6,6.0,0.0,1.4,0.0,0.0,14.7,150,100,J.R. Smith
9,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),1,25:01,3,7,.429,3,6,.500,0,0,,0,1,1,2,2,1,1,0,9,8.7,+26,.643,.643,0.0,3.3,2.0,11.2,4.0,2.6,12.5,15.0,110,84,J.R. Smith
10,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),1,27:27,3,3,1.000,2,2,1.000,0,0,,1,1,2,0,0,0,1,3,8,5.9,+18,1.333,1.333,4.6,4.3,4.4,0.0,0.0,0.0,25.0,6.3,170,134,J.R. Smith
11,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,CLE,,DAL,W (+38),1,25:53,1,11,.091,1,10,.100,0,0,,0,2,2,2,3,0,2,3,3,-2.5,+27,.136,.136,0.0,7.6,4.3,9.0,5.8,0.0,15.4,22.0,39,88,J.R. Smith
12,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-27&is_playoff_game=N,2016-11-27,CLE,@,PHI,W (+4),1,38:31,0,11,.000,0,7,.000,0,0,,1,4,5,1,0,1,0,2,0,-5.2,-2,.000,.000,2.4,11.1,6.5,3.3,0.0,2.1,0.0,12.1,15,115,J.R. Smith
13,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-11-29&is_playoff_game=N,2016-11-29,CLE,@,MIL,L (-17),1,29:48,2,7,.286,2,7,.286,0,0,,0,0,0,1,2,1,2,4,6,1.7,-10,.429,.429,0.0,0.0,0.0,5.6,3.2,2.4,22.2,13.5,70,117,J.R. Smith
14,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,CLE,,LAC,L (-19),1,23:39,1,3,.333,1,3,.333,0,0,,0,2,2,1,1,1,1,5,3,1.3,-13,.500,.500,0.0,9.2,4.9,7.8,2.1,3.5,25.0,7.8,82,117,J.R. Smith
15,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-02&is_playoff_game=N,2016-12-02,CLE,@,CHI,L (-6),1,32:52,3,8,.375,3,8,.375,0,0,,0,2,2,2,1,0,1,3,9,5.4,-11,.563,.563,0.0,6.8,3.6,7.2,1.5,0.0,11.1,12.5,101,116,J.R. Smith
16,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,CLE,@,TOR,W (+4),1,10:16,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,1,0,2,1.0,+5,.500,.500,0.0,0.0,0.0,0.0,5.0,0.0,33.3,12.8,66,117,J.R. Smith
17,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,CLE,,CHO,W (+11),1,32:06,2,6,.333,2,6,.333,0,0,,0,2,2,2,0,0,0,4,6,3.0,-3,.500,.500,0.0,6.6,3.8,7.7,0.0,0.0,0.0,8.8,117,117,J.R. Smith
18,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,CLE,,MEM,W (+17),1,33:52,8,17,.471,6,10,.600,1,2,.500,2,3,5,2,0,1,1,0,23,17.3,+21,.643,.647,6.7,9.0,8.0,11.0,0.0,2.2,5.3,24.7,127,96,J.R. Smith
19,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-14&is_playoff_game=N,2016-12-14,CLE,@,MEM,L (-8),1,24:30,4,15,.267,0,3,.000,0,1,.000,0,2,2,2,1,0,1,0,8,0.7,-9,.259,.267,0.0,8.3,4.1,19.4,2.2,0.0,6.1,32.0,56,106,J.R. Smith
20,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,CLE,,LAL,W (+11),1,30:30,5,8,.625,4,5,.800,0,0,,0,1,1,0,1,0,1,1,14,10.3,+4,.875,.875,0.0,3.7,1.9,0.0,1.7,0.0,11.1,13.5,138,122,J.R. Smith
21,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,CLE,@,MIL,W (+6),1,17:25,2,6,.333,2,4,.500,0,0,,0,1,1,0,0,0,0,2,6,2.1,0,.500,.500,0.0,6.8,3.2,0.0,0.0,0.0,0.0,16.2,99,112,J.R. Smith
22,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-09&is_playoff_game=N,2017-03-09,CLE,@,DET,L (-5),0,19:09,1,9,.111,1,8,.125,0,0,,0,1,1,0,0,0,0,1,3,-3.0,-28,.167,.167,0.0,5.6,2.9,0.0,0.0,0.0,0.0,22.3,37,122,J.R. Smith
23,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-11&is_playoff_game=N,2017-03-11,CLE,@,ORL,W (+12),0,20:39,4,8,.500,3,7,.429,0,0,,0,1,1,1,0,0,0,0,11,8.0,+2,.688,.688,0.0,4.1,2.2,6.9,0.0,0.0,0.0,17.5,131,114,J.R. Smith
24,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-12&is_playoff_game=N,2017-03-12,CLE,@,HOU,L (-5),0,21:38,1,6,.167,0,4,.000,0,0,,0,2,2,2,0,0,0,3,2,-1.0,-10,.167,.167,0.0,8.2,4.9,11.2,0.0,0.0,0.0,13.2,57,131,J.R. Smith
25,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-14&is_playoff_game=N,2017-03-14,CLE,,DET,W (+32),0,22:47,4,5,.800,3,4,.750,1,2,.500,0,5,5,1,1,0,1,2,12,11.1,+13,1.020,1.100,0.0,19.5,12.2,5.6,2.3,0.0,14.5,15.1,154,98,J.R. Smith
26,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-16&is_playoff_game=N,2017-03-16,CLE,,UTA,W (+8),0,29:42,4,10,.400,4,8,.500,0,0,,2,4,6,0,1,0,0,1,12,9.8,+11,.600,.600,6.7,12.7,9.8,0.0,1.7,0.0,0.0,15.5,130,90,J.R. Smith
27,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-18&is_playoff_game=N,2017-03-18,CLE,@,LAC,L (-30),1,27:52,4,17,.235,0,7,.000,2,4,.500,0,6,6,1,0,0,0,0,10,1.4,-17,.267,.235,0.0,24.0,11.0,6.9,0.0,0.0,0.0,32.1,56,113,J.R. Smith
28,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-19&is_playoff_game=N,2017-03-19,CLE,@,LAL,W (+5),0,26:31,1,7,.143,0,5,.000,0,0,,0,4,4,3,1,0,1,2,2,0.0,+3,.143,.143,0.0,16.5,8.6,12.6,1.9,0.0,12.5,13.5,54,126,J.R. Smith
29,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-22&is_playoff_game=N,2017-03-22,CLE,@,DEN,L (-13),1,21:13,1,7,.143,1,6,.167,0,0,,0,2,2,3,2,0,0,0,3,3.2,-9,.214,.214,0.0,11.0,5.5,16.7,4.8,0.0,0.0,15.7,71,127,J.R. Smith
30,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-24&is_playoff_game=N,2017-03-24,CLE,@,CHO,W (+7),1,30:46,3,5,.600,3,5,.600,0,0,,0,2,2,0,0,0,0,3,9,6.1,-4,.900,.900,0.0,6.4,3.9,0.0,0.0,0.0,0.0,8.1,157,121,J.R. Smith
31,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-25&is_playoff_game=N,2017-03-25,CLE,,WAS,L (-12),1,31:25,2,6,.333,2,6,.333,0,0,,0,1,1,2,0,0,0,2,6,3.5,-14,.500,.500,0.0,4.8,2.1,8.1,0.0,0.0,0.0,8.5,120,143,J.R. Smith
32,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-27&is_playoff_game=N,2017-03-27,CLE,@,SAS,L (-29),1,27:28,2,7,.286,1,6,.167,0,0,,1,3,4,1,1,0,3,3,5,0.0,-27,.357,.357,3.4,12.8,7.6,6.4,1.9,0.0,30.0,16.7,55,111,J.R. Smith
33,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-30&is_playoff_game=N,2017-03-30,CLE,@,CHI,L (-6),1,38:29,4,9,.444,4,7,.571,0,0,,0,3,3,4,1,0,2,0,12,10.0,-4,.667,.667,0.0,7.5,3.9,15.6,1.3,0.0,18.2,13.1,112,111,J.R. Smith
34,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-03-31&is_playoff_game=N,2017-03-31,CLE,,PHI,W (+17),1,26:13,5,9,.556,4,7,.571,0,0,,1,3,4,1,1,1,0,1,14,13.3,+17,.778,.778,3.8,12.8,8.0,4.5,1.9,3.7,0.0,15.0,158,106,J.R. Smith
35,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-04-02&is_playoff_game=N,2017-04-02,CLE,,IND,W (+5),1,42:20,6,12,.500,6,11,.545,0,0,,1,4,5,2,2,0,0,1,18,16.9,-3,.750,.750,2.8,10.3,6.7,7.1,2.6,0.0,0.0,13.4,159,121,J.R. Smith
36,/play-index/pgl_cum_stats.cgi?player=smithjr01&year=2017&date_game=2017-04-04&is_playoff_game=N,2017-04-04,CLE,,ORL,W (+20),1,31:27,7,11,.636,5,8,.625,0,0,,0,5,5,3,0,0,1,1,19,16.3,+33,.864,.864,0.0,15.9,9.0,13.7,0.0,0.0,8.3,17.7,147,110,J.R. Smith
