game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,3:41,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,0.6,-6,.410,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,76,143,JaVale McGee
2,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),0,5:32,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,2,0,4,1.4,-9,.667,.667,0.0,0.0,0.0,26.6,0.0,0.0,40.0,37.7,76,110,JaVale McGee
3,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,4:43,2,3,.667,0,0,,0,0,,0,0,0,0,0,1,1,1,4,2.0,-3,.667,.667,0.0,0.0,0.0,0.0,0.0,17.0,25.0,36.1,87,100,JaVale McGee
4,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),0,4:12,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-2,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,29.9,0,126,JaVale McGee
5,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,4:03,2,2,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,3,4,2.1,-2,.694,1.000,34.9,0.0,14.6,0.0,0.0,0.0,0.0,34.6,134,112,JaVale McGee
6,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,14:59,4,6,.667,0,0,,2,2,1.000,1,2,3,1,0,2,1,0,10,9.8,+6,.727,.667,8.9,12.3,10.9,9.7,0.0,11.0,12.7,23.2,134,106,JaVale McGee
7,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,3:26,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+3,1.136,,0.0,32.5,17.3,0.0,0.0,0.0,0.0,10.5,250,117,JaVale McGee
7,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,3:26,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+3,.333,.333,17.6,41.2,29.8,0.0,0.0,7.2,0.0,11.7,104,89,JaVale McGee
7,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-05-06&is_playoff_game=Y,2017-05-06,GSW,@,UTA,W (+11),0,12:08,1,3,.333,0,0,,0,0,,2,5,7,0,0,1,0,4,2,2.3,+17,1.136,,0.0,32.5,17.3,0.0,0.0,0.0,0.0,10.5,250,117,JaVale McGee
7,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-05-06&is_playoff_game=Y,2017-05-06,GSW,@,UTA,W (+11),0,12:08,1,3,.333,0,0,,0,0,,2,5,7,0,0,1,0,4,2,2.3,+17,.333,.333,17.6,41.2,29.8,0.0,0.0,7.2,0.0,11.7,104,89,JaVale McGee
8,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,GSW,@,TOR,W (+6),0,4:22,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,4,4,1.1,-5,.500,.500,27.5,0.0,13.6,0.0,0.0,0.0,0.0,39.5,110,132,JaVale McGee
9,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,GSW,@,MIL,W (+3),0,5:14,2,2,1.000,0,0,,1,2,.500,1,2,3,0,0,1,0,0,5,6.0,+4,.868,1.000,18.7,49.6,32.0,0.0,0.0,13.3,0.0,21.8,174,109,JaVale McGee
10,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-21&is_playoff_game=N,2016-11-21,GSW,@,IND,W (+37),0,13:44,3,4,.750,0,0,,1,4,.250,1,4,5,0,0,3,2,3,7,5.0,+8,.608,.750,7.6,22.2,16.0,0.0,0.0,13.1,25.8,23.4,82,75,JaVale McGee
11,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,GSW,,LAL,W (+43),0,9:31,3,4,.750,0,0,,2,4,.500,0,4,4,0,0,1,2,2,8,4.7,+19,.694,.750,0.0,41.2,23.7,0.0,0.0,6.9,25.8,35.1,89,94,JaVale McGee
12,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,GSW,@,LAL,W (+24),0,5:31,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,1,0,-0.1,+5,,,0.0,32.2,19.6,0.0,0.0,12.8,100.0,8.1,0,74,JaVale McGee
13,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-26&is_playoff_game=N,2016-11-26,GSW,,MIN,W (+13),0,10:59,4,5,.800,0,0,,0,0,,2,3,5,1,0,1,2,1,8,7.4,+11,.800,.800,24.3,32.0,28.4,15.9,0.0,8.1,28.6,28.7,118,104,JaVale McGee
14,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-11-28&is_playoff_game=N,2016-11-28,GSW,,ATL,W (+5),0,5:18,0,1,.000,0,0,,0,0,,2,0,2,1,0,0,0,1,0,1.0,+3,.000,.000,41.2,0.0,19.7,24.5,0.0,0.0,0.0,8.3,120,109,JaVale McGee
15,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,GSW,,HOU,L (-5),0,4:04,0,0,,0,0,,1,2,.500,0,1,1,0,2,0,1,1,1,1.5,-2,.568,,0.0,25.5,13.0,0.0,23.6,0.0,53.2,19.5,53,59,JaVale McGee
16,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-03&is_playoff_game=N,2016-12-03,GSW,,PHO,W (+29),0,12:42,4,6,.667,0,0,,3,6,.500,2,0,2,0,0,0,1,3,11,6.4,+2,.637,.667,27.0,0.0,10.2,0.0,0.0,0.0,10.4,33.1,121,120,JaVale McGee
17,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,GSW,,IND,W (+36),0,14:59,4,8,.500,0,1,.000,1,2,.500,5,3,8,1,0,2,0,1,9,10.7,+3,.507,.500,34.1,20.4,27.3,7.8,0.0,9.2,0.0,22.5,135,101,JaVale McGee
18,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,GSW,@,LAC,W (+17),0,4:17,1,2,.500,0,0,,2,2,1.000,1,0,1,1,0,1,0,0,4,5.1,-6,.694,.500,26.7,0.0,12.0,36.4,0.0,17.0,0.0,28.9,167,107,JaVale McGee
19,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-08&is_playoff_game=N,2016-12-08,GSW,@,UTA,W (+7),0,8:03,3,4,.750,0,0,,0,0,,1,2,3,0,1,0,1,4,6,4.1,+8,.750,.750,13.9,23.9,19.2,0.0,6.1,0.0,20.0,28.1,111,89,JaVale McGee
20,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,GSW,@,MEM,L (-21),0,8:37,3,7,.429,0,0,,0,2,.000,1,3,4,0,0,1,1,1,6,2.4,-2,.381,.429,12.1,38.9,25.0,0.0,0.0,9.1,11.3,45.5,70,105,JaVale McGee
21,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-11&is_playoff_game=N,2016-12-11,GSW,@,MIN,W (+8),0,6:08,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,0,3,2,0.8,+3,.500,.500,0.0,0.0,0.0,0.0,8.3,0.0,0.0,15.0,92,105,JaVale McGee
22,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,GSW,@,NOP,W (+4),1,16:05,4,5,.800,0,0,,1,2,.500,1,4,5,0,0,0,0,0,9,8.6,+8,.765,.800,6.2,28.4,16.6,0.0,0.0,0.0,0.0,15.2,151,110,JaVale McGee
23,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-15&is_playoff_game=N,2016-12-15,GSW,,NYK,W (+13),1,15:35,8,10,.800,0,0,,1,3,.333,2,0,2,1,0,1,1,0,17,14.2,+13,.751,.800,12.3,0.0,5.8,15.1,0.0,4.3,8.1,32.6,131,100,JaVale McGee
24,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,GSW,,POR,W (+45),0,11:22,5,5,1.000,0,0,,1,3,.333,0,5,5,0,1,1,1,2,11,10.1,+4,.870,1.000,0.0,39.1,24.3,0.0,4.2,7.3,13.7,27.2,127,74,JaVale McGee
25,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,GSW,,UTA,W (+30),0,15:01,4,14,.286,0,1,.000,0,0,,2,5,7,1,1,0,0,0,8,4.4,-2,.286,.286,14.9,31.3,23.8,11.7,3.3,0.0,0.0,41.6,73,71,JaVale McGee
26,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-22&is_playoff_game=N,2016-12-22,GSW,@,BRK,W (+16),0,4:18,0,0,,0,0,,1,2,.500,0,0,0,0,0,1,0,0,1,1.3,+3,.568,,0.0,0.0,0.0,0.0,0.0,21.9,0.0,8.0,123,89,JaVale McGee
27,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,GSW,@,DET,W (+6),0,8:43,6,7,.857,0,0,,3,3,1.000,0,3,3,0,0,1,1,3,15,11.9,-2,.901,.857,0.0,39.3,21.5,0.0,0.0,9.8,10.7,46.8,150,100,JaVale McGee
28,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-25&is_playoff_game=N,2016-12-25,GSW,@,CLE,L (-1),0,8:37,1,3,.333,0,0,,0,2,.000,2,1,3,0,0,0,1,2,2,-0.6,0,.258,.333,35.9,10.1,19.4,0.0,0.0,0.0,20.5,25.0,66,115,JaVale McGee
29,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-28&is_playoff_game=N,2016-12-28,GSW,,TOR,W (+10),0,6:52,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.2,0,.500,.500,0.0,22.9,14.6,0.0,0.0,0.0,0.0,12.8,101,111,JaVale McGee
30,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2016-12-30&is_playoff_game=N,2016-12-30,GSW,,DAL,W (+9),0,10:36,4,4,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,8,6.7,+1,1.000,1.000,0.0,9.1,5.5,0.0,0.0,0.0,0.0,17.5,200,108,JaVale McGee
31,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,GSW,,DEN,W (+8),0,8:59,4,4,1.000,0,0,,1,3,.333,1,3,4,0,1,0,0,0,9,9.6,0,.846,1.000,12.1,34.1,23.5,0.0,5.2,0.0,0.0,24.2,162,101,JaVale McGee
32,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-04&is_playoff_game=N,2017-01-04,GSW,,POR,W (+8),0,2:17,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-6,.000,.000,0.0,0.0,0.0,0.0,20.2,0.0,0.0,18.3,0,79,JaVale McGee
33,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,GSW,,MEM,L (-9),0,5:29,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,4,2.0,-3,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,25.0,99,128,JaVale McGee
34,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,GSW,@,SAC,W (+11),0,3:55,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-2,1.000,1.000,28.5,0.0,15.9,0.0,0.0,0.0,0.0,10.7,209,112,JaVale McGee
35,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,GSW,,MIA,W (+12),0,9:26,1,1,1.000,0,0,,0,0,,0,3,3,0,0,2,1,1,2,2.6,+11,1.000,1.000,0.0,31.2,16.2,0.0,0.0,17.0,50.0,9.5,72,81,JaVale McGee
36,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-12&is_playoff_game=N,2017-01-12,GSW,,DET,W (+20),0,8:16,4,5,.800,0,0,,0,0,,3,3,6,0,0,1,0,2,8,9.0,+14,.800,.800,47.1,43.5,45.2,0.0,0.0,9.7,0.0,25.3,169,96,JaVale McGee
37,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,GSW,,CLE,W (+35),0,8:59,2,3,.667,0,0,,0,0,,0,3,3,0,0,1,2,3,4,1.1,+4,.667,.667,0.0,29.7,17.2,0.0,0.0,9.9,40.0,22.7,64,83,JaVale McGee
38,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-18&is_playoff_game=N,2017-01-18,GSW,,OKC,W (+21),0,6:07,1,2,.500,0,1,.000,0,2,.000,0,2,2,0,0,1,1,1,2,0.1,-5,.347,.500,0.0,32.7,19.1,0.0,0.0,12.7,25.8,26.5,45,92,JaVale McGee
39,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-22&is_playoff_game=N,2017-01-22,GSW,@,ORL,W (+20),0,12:50,6,7,.857,0,0,,1,2,.500,3,1,4,1,0,0,0,1,13,12.8,+26,.825,.857,26.7,7.3,16.1,19.1,0.0,0.0,0.0,25.5,175,105,JaVale McGee
40,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-23&is_playoff_game=N,2017-01-23,GSW,@,MIA,L (-3),0,14:11,5,6,.833,0,0,,0,1,.000,1,4,5,1,1,0,0,2,10,10.2,-3,.776,.833,8.3,28.8,19.2,14.1,3.4,0.0,0.0,19.7,151,99,JaVale McGee
41,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-25&is_playoff_game=N,2017-01-25,GSW,@,CHO,W (+10),0,4:29,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+2,1.000,1.000,0.0,22.3,12.7,0.0,0.0,0.0,0.0,10.1,200,108,JaVale McGee
42,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-28&is_playoff_game=N,2017-01-28,GSW,,LAC,W (+46),0,10:10,4,5,.800,0,0,,1,1,1.000,2,1,3,0,0,2,1,2,9,8.4,+19,.827,.800,28.6,10.0,17.7,0.0,0.0,17.5,15.5,27.6,145,93,JaVale McGee
43,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-01-29&is_playoff_game=N,2017-01-29,GSW,@,POR,W (+2),0,8:33,3,3,1.000,0,0,,1,3,.333,1,2,3,0,1,2,0,1,7,8.6,+9,.810,1.000,13.7,28.1,20.8,0.0,5.4,17.0,0.0,21.2,156,86,JaVale McGee
44,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-02-01&is_playoff_game=N,2017-02-01,GSW,,CHO,W (+15),1,17:08,4,7,.571,0,0,,1,1,1.000,1,3,4,0,0,4,1,1,9,8.7,+25,.605,.571,5.8,19.1,12.2,0.0,0.0,19.7,11.8,21.1,106,100,JaVale McGee
45,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-02-02&is_playoff_game=N,2017-02-02,GSW,@,LAC,W (+13),1,15:07,5,6,.833,0,0,,1,2,.500,4,4,8,0,1,1,1,4,11,11.5,+8,.799,.833,29.5,31.8,30.6,0.0,3.2,5.8,12.7,21.2,146,110,JaVale McGee
46,/play-index/pgl_cum_stats.cgi?player=mcgeeja01&year=2017&date_game=2017-02-04&is_playoff_game=N,2017-02-04,GSW,@,SAC,L (-3),1,12:38,1,3,.333,0,0,,1,1,1.000,1,1,2,0,0,0,0,4,3,0.7,+3,.436,.333,7.9,10.2,8.9,0.0,0.0,0.0,0.0,12.6,104,113,JaVale McGee
