game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),0,5:30,1,2,.500,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,1,5,3.6,+1,.868,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,181,101,James Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),0,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.8,0,131,James Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),0,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.2,0,112,James Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2017-05-03&is_playoff_game=Y,2017-05-03,CLE,,TOR,W (+22),0,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85.8,0,131,James Jones
2,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2017-05-03&is_playoff_game=Y,2017-05-03,CLE,,TOR,W (+22),0,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.2,0,112,James Jones
3,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),0,0:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0,.000,.000,0.0,100.0,61.9,0.0,0.0,0.0,0.0,51.2,0,72,James Jones
4,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),0,1:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,300,112,James Jones
5,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),0,2:25,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,91,97,James Jones
6,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),0,4:01,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-8,,,0.0,29.1,15.1,0.0,0.0,0.0,,0.0,,129,James Jones
7,/play-index/pgl_cum_stats.cgi?player=jonesja02&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,CLE,,DAL,W (+38),0,6:01,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,0,0,0,0,9,8.1,-1,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,300,104,James Jones
