game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),0,8:51,2,3,.667,0,0,,1,2,.500,0,1,1,0,0,0,0,0,5,3.6,-11,.644,.667,0.0,12.3,7.0,0.0,0.0,0.0,0.0,18.3,126,108,James Michael McAdoo
2,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,7:03,0,2,.000,0,0,,0,0,,0,0,0,1,0,1,0,0,0,0.0,-1,.000,.000,0.0,0.0,0.0,14.8,0.0,11.3,0.0,12.1,42,106,James Michael McAdoo
3,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),0,4:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,126,James Michael McAdoo
4,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,4:03,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2,.000,.000,0.0,25.2,14.6,0.0,0.0,0.0,0.0,12.0,0,104,James Michael McAdoo
5,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,GSW,@,BOS,W (+16),0,7:34,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-8,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,200,104,James Michael McAdoo
6,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-21&is_playoff_game=N,2016-11-21,GSW,@,IND,W (+37),0,8:18,0,4,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-2.1,+4,.000,.000,12.6,0.0,5.3,0.0,0.0,0.0,0.0,19.9,23,97,James Michael McAdoo
7,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,GSW,@,LAL,W (+24),0,1:56,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,+4,1.000,1.000,0.0,0.0,0.0,0.0,0.0,36.5,0.0,23.1,200,74,James Michael McAdoo
8,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,GSW,,HOU,L (-5),0,8:19,2,2,1.000,0,0,,0,0,,0,2,2,1,1,0,0,1,4,5.3,+1,1.000,1.000,0.0,24.9,12.7,24.0,5.8,0.0,0.0,10.2,205,99,James Michael McAdoo
9,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,GSW,,IND,W (+36),0,7:52,1,2,.500,0,1,.000,0,1,.000,0,3,3,0,0,1,2,1,2,-0.2,+6,.410,.500,0.0,38.9,19.5,0.0,0.0,8.7,45.0,21.4,37,97,James Michael McAdoo
10,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,GSW,@,LAC,W (+17),0,2:54,0,1,.000,0,0,,0,2,.000,0,2,2,0,0,0,1,1,0,-2.3,0,.000,.000,0.0,64.9,35.6,0.0,0.0,0.0,34.7,42.7,0,82,James Michael McAdoo
11,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,GSW,@,MEM,L (-21),0,8:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-4,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,200,124,James Michael McAdoo
12,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-15&is_playoff_game=N,2016-12-15,GSW,,NYK,W (+13),0,2:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1,,,0.0,33.2,17.5,0.0,0.0,0.0,,0.0,,90,James Michael McAdoo
13,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,GSW,,POR,W (+45),0,8:33,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-0.7,+8,.000,.000,0.0,10.4,6.5,11.0,0.0,0.0,50.0,9.9,36,97,James Michael McAdoo
14,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2016-12-22&is_playoff_game=N,2016-12-22,GSW,@,BRK,W (+16),0,2:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0,104,James Michael McAdoo
15,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,GSW,,MIA,W (+12),0,0:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,102,James Michael McAdoo
16,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,GSW,,CLE,W (+35),0,4:41,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-3,.000,.000,0.0,19.0,11.0,0.0,0.0,0.0,50.0,17.4,0,94,James Michael McAdoo
17,/play-index/pgl_cum_stats.cgi?player=mcadoja01&year=2017&date_game=2017-01-20&is_playoff_game=N,2017-01-20,GSW,@,HOU,W (+17),0,12:23,3,3,1.000,0,0,,2,2,1.000,0,2,2,1,0,0,3,0,8,5.4,-5,1.031,1.000,0.0,16.9,9.5,11.0,0.0,0.0,43.6,23.8,105,111,James Michael McAdoo
