game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),0,5:50,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.8,+1,.250,.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,57,101,Jordan McRae
2,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,131,Jordan McRae
3,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),0,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,106,Jordan McRae
4,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),0,13:37,1,4,.250,0,2,.000,0,0,,0,2,2,3,0,0,0,1,2,1.9,+8,.250,.250,0.0,13.8,7.2,29.8,0.0,0.0,0.0,13.1,91,106,Jordan McRae
5,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),0,10:21,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,1,2,0,-1.2,-4,.000,.000,0.0,9.7,5.4,0.0,4.7,0.0,50.0,8.3,0,112,Jordan McRae
6,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),0,23:46,3,12,.250,2,3,.667,1,2,.500,0,0,0,0,0,1,1,0,9,1.1,-9,.349,.333,0.0,0.0,0.0,0.0,0.0,3.5,7.2,24.9,70,108,Jordan McRae
7,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),0,15:12,2,7,.286,1,1,1.000,2,2,1.000,0,2,2,3,0,0,1,1,7,4.2,-12,.444,.357,0.0,10.9,6.6,28.1,0.0,0.0,11.3,27.4,94,92,Jordan McRae
8,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),0,14:33,1,9,.111,0,2,.000,0,0,,1,2,3,0,1,0,0,2,2,-2.4,-11,.111,.111,8.7,16.1,12.5,0.0,3.4,0.0,0.0,26.5,38,124,Jordan McRae
9,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,CLE,,DAL,W (+38),0,13:48,3,7,.429,0,2,.000,1,1,1.000,0,2,2,0,0,0,0,2,7,3.1,-4,.470,.429,0.0,14.2,8.1,0.0,0.0,0.0,0.0,23.6,98,99,Jordan McRae
10,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-11-29&is_playoff_game=N,2016-11-29,CLE,@,MIL,L (-17),0,10:56,4,7,.571,1,2,.500,0,0,,2,1,3,0,0,0,0,1,9,7.0,+2,.643,.643,22.0,11.6,16.9,0.0,0.0,0.0,0.0,28.6,130,123,Jordan McRae
11,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,CLE,,LAC,L (-19),0,5:57,1,3,.333,1,1,1.000,0,0,,0,1,1,1,1,0,0,0,3,3.3,+4,.500,.500,0.0,18.3,9.7,40.5,8.5,0.0,0.0,23.2,115,102,Jordan McRae
12,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-09&is_playoff_game=N,2016-12-09,CLE,,MIA,W (+30),0,6:12,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,1,0,0,2,2.4,+6,.333,.333,0.0,0.0,0.0,40.5,0.0,12.3,0.0,22.7,110,105,Jordan McRae
13,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,CLE,,CHO,W (+11),0,1:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0,119,Jordan McRae
14,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,CLE,,MEM,W (+17),0,3:22,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,1,1,2,1.6,-1,1.000,1.000,0.0,30.3,16.0,0.0,15.0,0.0,50.0,26.4,68,58,Jordan McRae
15,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-14&is_playoff_game=N,2016-12-14,CLE,@,MEM,L (-8),0,16:25,3,9,.333,0,3,.000,3,3,1.000,0,1,1,0,0,0,0,1,9,3.8,-1,.436,.333,0.0,6.2,3.1,0.0,0.0,0.0,0.0,30.0,91,112,Jordan McRae
16,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,CLE,,LAL,W (+11),0,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,128,Jordan McRae
17,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-21&is_playoff_game=N,2016-12-21,CLE,,MIL,W (+11),0,17:31,3,6,.500,1,1,1.000,1,3,.333,0,3,3,0,1,0,2,2,8,3.3,-5,.546,.583,0.0,21.1,10.1,0.0,3.0,0.0,21.5,24.0,77,107,Jordan McRae
18,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,CLE,,BRK,W (+20),0,16:09,1,5,.200,0,1,.000,3,4,.750,0,0,0,2,0,1,0,1,5,3.2,-22,.370,.200,0.0,0.0,0.0,14.1,0.0,5.4,0.0,16.7,95,99,Jordan McRae
19,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-26&is_playoff_game=N,2016-12-26,CLE,@,DET,L (-16),0,5:39,1,2,.500,1,1,1.000,4,4,1.000,0,2,2,1,0,0,1,1,7,5.9,+3,.931,.750,0.0,36.2,18.5,39.5,0.0,0.0,21.0,36.7,154,107,Jordan McRae
20,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2016-12-31&is_playoff_game=N,2016-12-31,CLE,@,CHO,W (+12),1,31:15,8,12,.667,3,4,.750,1,1,1.000,0,4,4,1,0,0,0,2,20,15.9,+17,.804,.792,0.0,16.6,8.3,5.0,0.0,0.0,0.0,18.7,164,126,Jordan McRae
21,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,CLE,,NOP,W (+8),1,15:50,1,5,.200,0,3,.000,2,2,1.000,0,3,3,0,2,0,1,1,4,2.4,-9,.340,.200,0.0,17.2,9.0,0.0,6.3,0.0,14.5,18.8,64,77,Jordan McRae
22,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-04&is_playoff_game=N,2017-01-04,CLE,,CHI,L (-12),1,33:19,7,15,.467,1,5,.200,6,7,.857,1,2,3,2,0,2,2,4,21,13.4,-8,.581,.500,3.1,7.2,5.0,12.0,0.0,5.2,10.0,26.6,120,121,Jordan McRae
23,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,CLE,@,BRK,W (+8),0,10:18,0,5,.000,0,3,.000,1,2,.500,0,1,1,1,0,0,0,1,1,-2.3,+8,.085,.000,0.0,9.1,4.8,12.3,0.0,0.0,0.0,23.0,28,107,Jordan McRae
24,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,CLE,@,UTA,L (-8),0,0:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,115,Jordan McRae
25,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-11&is_playoff_game=N,2017-01-11,CLE,@,POR,L (-16),0,6:46,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,5,3.7,+3,1.250,1.250,0.0,14.8,7.2,0.0,0.0,0.0,33.3,19.5,108,113,Jordan McRae
26,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-13&is_playoff_game=N,2017-01-13,CLE,@,SAC,W (+12),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,120,Jordan McRae
27,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,CLE,@,GSW,L (-35),0,6:39,3,4,.750,0,1,.000,0,0,,0,0,0,0,0,0,0,1,6,4.0,-1,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,137,129,Jordan McRae
28,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-19&is_playoff_game=N,2017-01-19,CLE,,PHO,W (+15),0,1:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,116,Jordan McRae
29,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-27&is_playoff_game=N,2017-01-27,CLE,,BRK,W (+8),0,9:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-9,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.4,0,121,Jordan McRae
30,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-29&is_playoff_game=N,2017-01-29,CLE,,OKC,W (+16),0,2:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-3,,,0.0,41.8,21.9,0.0,0.0,0.0,,0.0,,83,Jordan McRae
31,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-01-30&is_playoff_game=N,2017-01-30,CLE,@,DAL,L (-7),0,29:33,5,9,.556,1,3,.333,0,0,,0,2,2,0,0,0,1,3,11,5.1,-11,.611,.611,0.0,7.1,3.9,0.0,0.0,0.0,10.0,16.0,104,119,Jordan McRae
32,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-02-01&is_playoff_game=N,2017-02-01,CLE,,MIN,W (+28),0,4:15,1,1,1.000,1,1,1.000,1,2,.500,0,2,2,0,1,0,0,0,4,4.9,+7,1.064,1.500,0.0,47.1,26.3,0.0,11.8,0.0,0.0,19.5,165,73,Jordan McRae
33,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-02-08&is_playoff_game=N,2017-02-08,CLE,@,IND,W (+15),0,14:29,2,5,.400,2,4,.500,0,0,,0,0,0,2,0,1,0,0,6,5.4,0,.600,.600,0.0,0.0,0.0,16.8,0.0,5.8,0.0,15.9,132,123,Jordan McRae
34,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-02-09&is_playoff_game=N,2017-02-09,CLE,@,OKC,L (-9),1,27:17,2,9,.222,1,4,.250,1,1,1.000,2,0,2,0,0,0,1,1,6,0.5,+4,.318,.278,9.0,0.0,4.1,0.0,0.0,0.0,9.6,17.0,72,126,Jordan McRae
35,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-02-11&is_playoff_game=N,2017-02-11,CLE,,DEN,W (+16),0,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,123,Jordan McRae
36,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-02-15&is_playoff_game=N,2017-02-15,CLE,,IND,W (+9),0,2:38,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-7,.000,.000,0.0,0.0,0.0,46.7,0.0,0.0,0.0,18.5,66,127,Jordan McRae
37,/play-index/pgl_cum_stats.cgi?player=mcraejo01&year=2017&date_game=2017-02-23&is_playoff_game=N,2017-02-23,CLE,,NYK,W (+15),0,2:36,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,0,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,300,114,Jordan McRae
