game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),1,36:36,11,18,.611,1,3,.333,4,5,.800,0,10,10,4,2,2,0,2,27,26.8,-13,.668,.639,0.0,27.3,14.6,20.5,2.7,3.5,0.0,24.3,139,121,Kevin Durant
2,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),1,39:06,9,19,.474,0,3,.000,12,12,1.000,0,17,17,6,2,2,2,2,30,30.2,+4,.618,.474,0.0,40.1,21.3,22.4,2.3,3.1,7.6,27.5,125,96,Kevin Durant
3,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),1,37:56,10,16,.625,2,4,.500,15,16,.938,0,4,4,4,4,1,4,2,37,33.3,+18,.803,.688,0.0,10.8,5.4,22.7,5.0,1.9,14.8,30.4,137,93,Kevin Durant
4,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),1,30:43,9,15,.600,0,3,.000,2,3,.667,1,4,5,2,4,1,2,3,20,17.5,+12,.613,.600,4.7,14.2,10.1,8.7,5.9,3.3,10.9,24.9,112,91,Kevin Durant
5,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),1,31:08,15,24,.625,7,11,.636,2,3,.667,1,6,7,1,0,1,2,3,39,28.5,+21,.770,.771,3.6,21.0,12.4,6.7,0.0,2.6,7.3,37.3,142,102,Kevin Durant
6,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),1,35:17,10,16,.625,2,4,.500,5,8,.625,1,4,5,3,2,1,2,1,27,22.9,-17,.692,.688,3.1,11.6,7.5,16.1,2.7,2.1,9.3,25.5,125,114,Kevin Durant
7,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),1,36:54,8,17,.471,1,4,.250,5,6,.833,1,2,3,5,1,1,4,0,22,15.4,+4,.560,.500,3.1,6.7,4.8,18.8,1.3,2.2,16.9,27.9,104,113,Kevin Durant
8,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),1,35:15,10,16,.625,4,7,.571,4,5,.800,0,10,10,4,0,1,3,3,28,22.7,+19,.769,.750,0.0,29.0,16.8,18.5,0.0,2.3,14.2,29.3,128,101,Kevin Durant
9,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),1,29:32,8,16,.500,0,3,.000,2,2,1.000,2,7,9,5,1,2,1,2,18,17.6,+29,.533,.500,9.0,21.9,16.6,24.6,1.7,5.6,5.6,26.7,122,100,Kevin Durant
10,/play-index/pgl_cum_stats.cgi?player=duranke01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),1,37:37,10,21,.476,2,5,.400,7,7,1.000,0,9,9,5,1,2,4,2,29,22.1,+13,.602,.524,0.0,26.7,14.2,19.8,1.2,3.9,14.2,30.7,111,112,Kevin Durant
