game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),1,24:58,6,15,.400,2,6,.333,9,12,.750,2,10,12,2,3,0,2,3,23,19.3,+24,.567,.467,9.6,36.3,24.8,11.5,5.8,0.0,9.0,36.8,117,73,Kevin Love
2,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),1,35:39,6,15,.400,2,5,.400,4,4,1.000,2,8,10,2,1,2,0,2,18,16.7,+5,.537,.467,6.4,22.0,14.8,10.8,1.4,3.6,0.0,21.4,121,92,Kevin Love
3,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),1,32:48,6,17,.353,0,5,.000,7,7,1.000,3,2,5,0,0,1,4,6,19,6.5,-4,.473,.353,8.8,7.3,8.1,0.0,0.0,2.6,16.6,32.0,90,107,Kevin Love
4,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),1,30:32,9,16,.563,1,2,.500,5,5,1.000,1,4,5,0,2,1,2,1,24,18.6,+2,.659,.594,4.8,14.0,10.1,0.0,3.4,3.4,9.9,29.5,129,122,Kevin Love
5,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),1,33:03,5,15,.333,4,8,.500,12,13,.923,2,6,8,0,0,0,1,0,26,19.3,-8,.627,.467,8.1,19.4,14.3,0.0,0.0,0.0,4.6,29.1,131,126,Kevin Love
6,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),1,37:39,8,16,.500,2,5,.400,2,3,.667,1,10,11,1,0,1,2,1,20,14.3,-4,.577,.563,2.5,29.6,14.9,4.8,0.0,2.6,10.4,21.4,105,101,Kevin Love
7,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),1,38:10,7,17,.412,0,4,.000,10,11,.909,6,6,12,3,3,0,2,4,24,22.0,-9,.549,.412,14.5,20.4,17.0,13.4,3.9,0.0,8.4,25.8,121,108,Kevin Love
8,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),1,33:36,4,12,.333,0,1,.000,6,9,.667,7,9,16,1,1,0,3,4,14,10.7,+15,.439,.333,20.4,29.2,24.6,4.7,1.5,0.0,15.8,24.1,98,95,Kevin Love
9,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),1,26:03,6,10,.600,2,3,.667,3,4,.750,4,7,11,4,1,0,1,3,17,18.5,+2,.723,.700,15.7,25.3,20.7,26.4,2.0,0.0,7.8,21.9,149,97,Kevin Love
10,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),1,34:35,5,16,.313,1,7,.143,8,9,.889,4,9,13,1,0,3,3,1,19,14.3,+18,.476,.344,14.6,26.0,21.0,3.7,0.0,6.2,13.1,28.4,102,114,Kevin Love
11,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),1,33:25,11,23,.478,4,10,.400,1,4,.250,3,13,16,1,0,0,2,0,27,18.8,-10,.545,.565,9.4,41.5,25.3,7.5,0.0,0.0,7.5,34.1,104,107,Kevin Love
12,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),1,27:00,5,10,.500,0,1,.000,2,2,1.000,1,12,13,1,0,0,4,1,12,7.6,+31,.551,.500,4.7,36.8,24.1,5.7,0.0,0.0,26.9,25.9,82,80,Kevin Love
13,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),1,31:51,12,20,.600,8,12,.667,8,8,1.000,4,4,8,3,1,1,1,2,40,36.8,+20,.850,.800,15.9,14.7,15.3,15.1,1.5,2.5,4.1,33.0,170,126,Kevin Love
14,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,CLE,,DAL,W (+38),1,28:29,8,14,.571,7,9,.778,4,4,1.000,1,9,10,4,3,0,1,1,27,28.2,+38,.857,.821,4.6,31.0,19.6,22.8,5.2,0.0,6.0,25.8,164,82,Kevin Love
15,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-27&is_playoff_game=N,2016-11-27,CLE,@,PHI,W (+4),1,27:54,6,13,.462,4,8,.500,9,9,1.000,3,8,11,1,0,0,1,0,25,22.5,+10,.737,.615,10.1,30.6,19.7,6.2,0.0,0.0,5.6,27.3,153,110,Kevin Love
16,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-11-29&is_playoff_game=N,2016-11-29,CLE,@,MIL,L (-17),1,30:58,3,10,.300,2,7,.286,5,7,.714,1,12,13,2,1,0,1,2,13,11.3,-9,.497,.400,3.9,48.9,25.8,11.3,1.6,0.0,7.1,20.3,106,113,Kevin Love
17,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,CLE,,LAC,L (-19),1,24:30,7,11,.636,2,5,.400,0,0,,0,4,4,0,0,0,3,3,16,8.1,-6,.727,.727,0.0,17.8,9.4,0.0,0.0,0.0,21.4,26.3,102,121,Kevin Love
18,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-02&is_playoff_game=N,2016-12-02,CLE,@,CHI,L (-6),1,41:48,5,14,.357,3,7,.429,2,3,.667,0,9,9,3,1,1,3,3,15,9.1,-9,.490,.464,0.0,24.0,12.6,8.8,1.2,1.5,16.4,20.0,86,110,Kevin Love
19,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,CLE,@,TOR,W (+4),1,37:32,8,18,.444,6,11,.545,6,6,1.000,2,12,14,0,0,0,2,2,28,20.8,+2,.678,.611,7.1,34.1,22.1,0.0,0.0,0.0,8.8,26.4,138,118,Kevin Love
20,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,CLE,@,NYK,W (+32),1,27:03,6,16,.375,4,12,.333,5,5,1.000,1,2,3,2,2,0,2,0,21,14.9,+27,.577,.500,4.4,7.2,6.0,12.5,3.8,0.0,9.9,33.9,116,101,Kevin Love
21,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-09&is_playoff_game=N,2016-12-09,CLE,,MIA,W (+30),1,30:54,11,18,.611,3,8,.375,3,4,.750,5,10,15,3,1,1,3,1,28,26.3,+20,.709,.694,22.8,26.3,25.1,16.1,1.8,2.5,13.2,34.5,136,84,Kevin Love
22,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,CLE,,CHO,W (+11),1,35:34,7,12,.583,0,4,.000,8,10,.800,1,5,6,1,3,0,2,4,22,17.9,+13,.671,.583,4.0,15.0,10.3,4.1,4.2,0.0,10.9,24.3,126,105,Kevin Love
23,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-13&is_playoff_game=N,2016-12-13,CLE,,MEM,W (+17),1,34:39,9,17,.529,3,6,.500,8,8,1.000,3,10,13,3,2,0,2,0,29,27.9,+23,.707,.618,9.9,29.5,20.2,16.9,2.9,0.0,8.9,28.9,140,85,Kevin Love
24,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,CLE,,LAL,W (+11),1,33:09,11,20,.550,3,7,.429,2,3,.667,3,14,17,4,1,0,2,1,27,24.7,+7,.633,.625,10.3,47.1,29.0,19.3,1.6,0.0,8.6,32.2,127,111,Kevin Love
25,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,CLE,,BRK,W (+20),1,25:02,4,14,.286,2,7,.286,4,4,1.000,1,14,15,0,0,1,1,0,14,10.4,+28,.444,.357,4.0,57.1,30.3,0.0,0.0,3.5,6.0,26.7,92,91,Kevin Love
26,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-25&is_playoff_game=N,2016-12-25,CLE,,GSW,W (+1),1,31:52,5,13,.385,3,7,.429,7,8,.875,1,5,6,3,1,0,0,5,20,15.8,+12,.605,.500,2.7,24.3,10.5,15.3,1.5,0.0,0.0,20.6,144,111,Kevin Love
27,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-26&is_playoff_game=N,2016-12-26,CLE,@,DET,L (-16),1,25:53,6,14,.429,3,6,.500,2,2,1.000,4,10,14,1,2,1,5,2,17,13.0,-1,.571,.536,16.5,39.5,28.2,9.8,3.8,2.9,25.2,33.5,90,95,Kevin Love
28,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-29&is_playoff_game=N,2016-12-29,CLE,,BOS,W (+6),1,34:28,10,22,.455,6,16,.375,4,4,1.000,3,12,15,2,2,0,4,4,30,22.1,+18,.631,.591,11.6,42.9,27.9,9.6,2.8,0.0,14.4,33.5,119,115,Kevin Love
29,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2016-12-31&is_playoff_game=N,2016-12-31,CLE,@,CHO,W (+12),1,39:03,8,20,.400,4,8,.500,8,8,1.000,2,8,10,0,0,0,2,0,28,19.0,+10,.595,.500,6.6,26.6,16.6,0.0,0.0,0.0,7.8,30.8,120,123,Kevin Love
30,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-02&is_playoff_game=N,2017-01-02,CLE,,NOP,W (+8),1,24:08,5,19,.263,0,7,.000,2,3,.667,3,8,11,3,1,0,1,1,12,6.5,+2,.295,.263,12.4,30.0,21.7,24.8,2.1,0.0,4.7,38.3,74,83,Kevin Love
31,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,CLE,@,BRK,W (+8),1,36:18,5,16,.313,4,9,.444,3,3,1.000,3,10,13,2,0,0,4,2,17,9.5,+5,.491,.438,8.4,25.9,17.5,8.4,0.0,0.0,18.8,23.7,89,103,Kevin Love
32,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,CLE,@,PHO,W (+4),1,35:51,8,17,.471,3,10,.300,6,6,1.000,5,5,10,1,0,1,1,1,25,21.3,+1,.636,.559,18.6,17.6,18.1,4.0,0.0,2.2,4.8,25.0,148,126,Kevin Love
33,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,CLE,@,UTA,L (-8),1,37:09,4,14,.286,2,6,.333,2,2,1.000,0,9,9,3,0,0,2,4,12,5.0,-2,.403,.357,0.0,29.1,13.2,15.0,0.0,0.0,11.8,19.5,85,106,Kevin Love
34,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-11&is_playoff_game=N,2017-01-11,CLE,@,POR,L (-16),1,28:21,5,15,.333,3,9,.333,4,4,1.000,0,8,8,1,0,0,1,0,17,10.6,-10,.507,.433,0.0,28.2,13.7,8.7,0.0,0.0,5.6,27.5,105,108,Kevin Love
35,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-13&is_playoff_game=N,2017-01-13,CLE,@,SAC,W (+12),1,31:03,6,16,.375,1,6,.167,2,2,1.000,5,12,17,1,0,0,2,1,15,11.6,+14,.444,.406,18.9,46.4,32.4,4.5,0.0,0.0,10.6,26.9,100,109,Kevin Love
36,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-16&is_playoff_game=N,2017-01-16,CLE,@,GSW,L (-35),1,16:10,1,6,.167,0,2,.000,1,1,1.000,2,1,3,1,0,0,0,2,3,0.8,-23,.233,.167,11.0,7.6,9.6,10.6,0.0,0.0,0.0,16.6,71,127,Kevin Love
37,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-21&is_playoff_game=N,2017-01-21,CLE,,SAS,L (-3),1,35:51,4,15,.267,3,11,.273,2,3,.667,1,10,11,3,0,0,3,3,13,5.3,+26,.398,.367,3.1,32.1,17.5,11.3,0.0,0.0,15.5,24.1,81,113,Kevin Love
38,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-23&is_playoff_game=N,2017-01-23,CLE,@,NOP,L (-2),1,37:33,7,15,.467,1,5,.200,7,8,.875,6,10,16,6,0,0,3,1,22,21.9,+7,.594,.500,16.7,31.2,23.5,22.5,0.0,0.0,13.9,23.9,128,126,Kevin Love
39,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-25&is_playoff_game=N,2017-01-25,CLE,,SAC,L (-4),1,39:24,7,16,.438,4,9,.444,3,6,.500,4,12,16,5,1,0,4,3,21,17.1,+9,.563,.563,11.0,35.9,22.9,22.0,1.3,0.0,17.7,26.5,107,112,Kevin Love
40,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-27&is_playoff_game=N,2017-01-27,CLE,,BRK,W (+8),1,27:52,5,13,.385,3,6,.500,0,0,,2,12,14,2,1,1,2,1,13,11.6,+13,.500,.500,8.2,49.2,28.7,8.5,1.7,3.2,13.3,22.5,100,109,Kevin Love
41,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-01-29&is_playoff_game=N,2017-01-29,CLE,,OKC,W (+16),1,12:19,0,4,.000,0,3,.000,1,2,.500,0,8,8,1,0,0,0,1,1,0.5,-3,.102,.000,0.0,55.7,29.1,9.5,0.0,0.0,0.0,17.0,34,77,Kevin Love
42,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-02-04&is_playoff_game=N,2017-02-04,CLE,@,NYK,W (+7),1,35:29,7,16,.438,4,7,.571,5,6,.833,5,11,16,1,1,0,5,1,23,17.3,+7,.617,.563,16.5,29.8,23.8,4.3,1.4,0.0,21.2,29.9,111,105,Kevin Love
43,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-02-06&is_playoff_game=N,2017-02-06,CLE,@,WAS,W (+5),1,41:43,11,17,.647,6,10,.600,11,11,1.000,4,8,12,3,3,0,4,3,39,36.6,+6,.893,.824,11.5,22.6,17.1,10.9,3.5,0.0,15.5,26.4,156,117,Kevin Love
44,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-02-08&is_playoff_game=N,2017-02-08,CLE,@,IND,W (+15),1,34:42,3,11,.273,1,7,.143,7,7,1.000,0,10,10,2,1,1,1,2,14,11.8,+19,.497,.318,0.0,33.7,18.0,6.6,1.4,2.4,6.6,20.0,104,117,Kevin Love
45,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-02-09&is_playoff_game=N,2017-02-09,CLE,@,OKC,L (-9),1,30:39,5,12,.417,0,1,.000,5,5,1.000,1,11,12,0,3,0,2,0,15,13.6,-9,.528,.417,4.0,36.7,21.9,0.0,4.6,0.0,12.3,23.4,98,102,Kevin Love
46,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-02-11&is_playoff_game=N,2017-02-11,CLE,,DEN,W (+16),1,33:48,5,11,.455,3,5,.600,3,4,.750,3,6,9,5,0,0,2,0,16,15.3,+10,.627,.591,11.8,15.8,14.2,18.3,0.0,0.0,13.6,19.3,130,115,Kevin Love
47,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-16&is_playoff_game=N,2017-03-16,CLE,,UTA,W (+8),1,19:45,5,9,.556,0,3,.000,0,0,,2,7,9,0,0,0,1,0,10,8.2,-5,.556,.556,10.1,33.4,22.1,0.0,0.0,0.0,10.0,23.3,107,88,Kevin Love
48,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-19&is_playoff_game=N,2017-03-19,CLE,@,LAL,W (+5),1,25:54,6,15,.400,3,7,.429,6,7,.857,4,11,15,0,0,0,1,2,21,16.8,+3,.581,.500,18.5,46.3,33.1,0.0,0.0,0.0,5.2,33.1,128,123,Kevin Love
49,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-22&is_playoff_game=N,2017-03-22,CLE,@,DEN,L (-13),1,22:07,3,9,.333,3,7,.429,0,0,,1,6,7,1,2,1,0,1,9,9.4,-6,.500,.500,5.3,31.8,18.5,5.9,4.6,3.1,0.0,19.3,111,120,Kevin Love
50,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-24&is_playoff_game=N,2017-03-24,CLE,@,CHO,W (+7),1,28:58,6,12,.500,0,3,.000,3,4,.750,1,11,12,4,0,0,2,4,15,11.8,-8,.545,.500,5.3,37.2,24.9,21.3,0.0,0.0,12.7,27.0,107,108,Kevin Love
51,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-25&is_playoff_game=N,2017-03-25,CLE,,WAS,L (-12),1,32:47,5,11,.455,3,6,.500,4,4,1.000,2,5,7,0,1,1,2,3,17,12.7,-10,.666,.591,7.3,22.9,14.2,0.0,1.6,2.3,13.6,20.0,123,134,Kevin Love
52,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-27&is_playoff_game=N,2017-03-27,CLE,@,SAS,L (-29),1,27:05,4,12,.333,1,6,.167,0,0,,2,5,7,4,2,0,2,2,9,7.1,-19,.375,.375,7.0,21.6,13.5,29.6,3.8,0.0,14.3,23.7,78,105,Kevin Love
53,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-30&is_playoff_game=N,2017-03-30,CLE,@,CHI,L (-6),1,20:33,3,10,.300,0,1,.000,2,2,1.000,3,7,10,4,0,2,1,6,8,7.2,-12,.368,.300,15.6,32.7,24.6,31.2,0.0,7.2,8.4,26.4,96,96,Kevin Love
54,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-03-31&is_playoff_game=N,2017-03-31,CLE,,PHI,W (+17),1,29:44,6,14,.429,2,5,.400,4,5,.800,1,9,10,3,3,0,3,2,18,14.9,+15,.556,.500,3.4,33.8,17.7,12.0,5.0,0.0,15.6,28.2,105,98,Kevin Love
55,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-04-02&is_playoff_game=N,2017-04-02,CLE,,IND,W (+5),1,37:28,8,12,.667,3,6,.500,1,2,.500,3,9,12,1,0,0,4,2,20,15.1,+4,.776,.792,9.5,26.3,18.2,4.5,0.0,0.0,23.7,21.3,117,122,Kevin Love
56,/play-index/pgl_cum_stats.cgi?player=loveke01&year=2017&date_game=2017-04-04&is_playoff_game=N,2017-04-04,CLE,,ORL,W (+20),1,28:26,9,18,.500,5,9,.556,5,6,.833,2,9,11,2,2,1,1,2,28,25.0,+25,.678,.639,9.1,31.7,21.8,11.7,3.5,3.2,4.6,35.4,131,94,Kevin Love
