game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,143,Kevon Looney
2,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),0,7:01,1,1,1.000,0,0,,2,2,1.000,1,2,3,2,0,0,0,2,4,5.6,+13,1.064,1.000,14.9,26.3,20.9,36.8,0.0,0.0,0.0,11.0,224,105,Kevon Looney
3,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),0,2:40,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,1,2,2,-1.2,-4,.410,.500,0.0,0.0,0.0,0.0,0.0,0.0,29.1,55.0,48,107,Kevon Looney
4,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),0,7:42,1,3,.333,0,0,,0,0,,2,2,4,1,0,0,1,2,2,1.2,-10,.333,.333,37.8,28.3,32.4,14.2,0.0,0.0,25.0,21.7,91,104,Kevon Looney
5,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),0,10:37,2,2,1.000,0,0,,0,0,,2,4,6,1,1,1,0,0,4,8.4,0,1.000,1.000,21.0,41.1,31.2,12.2,4.7,7.5,0.0,8.0,212,83,Kevon Looney
6,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),0,12:55,5,5,1.000,0,0,,1,2,.500,2,3,5,0,0,0,1,1,11,10.0,-2,.935,1.000,16.9,23.7,20.4,0.0,0.0,0.0,14.5,22.3,148,117,Kevon Looney
7,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),0,8:33,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,4,2,-0.6,+2,.500,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,99,118,Kevon Looney
8,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,11:29,1,1,1.000,0,0,,3,5,.600,0,0,0,1,0,1,0,1,5,4.9,+5,.781,1.000,0.0,0.0,0.0,10.8,0.0,7.2,0.0,13.6,170,110,Kevon Looney
9,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,5:51,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,0,2,4.1,-2,1.000,1.000,22.8,15.8,18.6,21.7,0.0,14.1,0.0,7.5,216,103,Kevon Looney
10,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,7:28,1,1,1.000,0,0,,0,1,.000,1,1,2,1,0,0,0,3,2,1.8,+6,.694,1.000,16.9,15.0,15.9,16.7,0.0,0.0,0.0,7.9,166,119,Kevon Looney
11,/play-index/pgl_cum_stats.cgi?player=looneke01&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,GSW,@,MIL,W (+3),0,4:25,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-16,.000,.000,22.2,29.4,25.3,0.0,0.0,0.0,0.0,26.9,29,123,Kevon Looney
