game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),1,33:21,5,13,.385,1,6,.167,0,0,,0,1,1,2,0,0,1,4,11,3.0,-6,.423,.423,0.0,3.0,1.6,8.8,0.0,0.0,7.1,18.5,84,142,Klay Thompson
2,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),1,38:57,11,21,.524,2,9,.222,4,4,1.000,0,2,2,4,1,0,1,0,28,21.1,+4,.615,.571,0.0,4.7,2.5,16.2,1.1,0.0,4.2,25.0,121,110,Klay Thompson
3,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),1,40:03,5,15,.333,0,6,.000,4,5,.800,0,6,6,2,0,1,2,3,14,5.8,+14,.407,.333,0.0,15.3,7.7,8.3,0.0,1.8,10.4,20.5,78,103,Klay Thompson
4,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),1,30:13,6,17,.353,0,7,.000,2,2,1.000,2,3,5,4,0,0,2,4,14,6.0,+4,.391,.353,9.6,10.8,10.3,15.7,0.0,0.0,10.1,27.4,90,107,Klay Thompson
5,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),1,32:58,7,14,.500,4,8,.500,0,0,,1,0,1,3,2,1,2,3,18,13.3,+7,.643,.643,3.4,0.0,1.7,12.2,3.0,2.4,12.5,20.7,125,104,Klay Thompson
6,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),1,37:32,4,18,.222,2,10,.200,0,0,,0,3,3,1,2,1,4,1,10,-1.1,-16,.278,.278,0.0,8.2,4.2,3.8,2.5,2.0,18.2,24.5,48,116,Klay Thompson
7,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),1,38:00,11,20,.550,2,7,.286,0,0,,0,4,4,1,3,0,1,2,24,17.5,+3,.600,.600,0.0,13.0,6.2,4.1,3.9,0.0,4.8,24.1,110,108,Klay Thompson
8,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),1,28:49,8,13,.615,4,7,.571,0,0,,0,2,2,4,0,0,3,5,20,12.5,+20,.769,.769,0.0,7.1,4.1,22.5,0.0,0.0,18.8,27.0,118,111,Klay Thompson
9,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),1,31:37,7,14,.500,3,4,.750,2,2,1.000,0,2,2,3,1,0,3,1,19,12.3,+23,.638,.607,0.0,5.8,3.5,12.9,1.5,0.0,16.8,24.9,109,111,Klay Thompson
10,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),1,33:26,11,18,.611,5,8,.625,3,3,1.000,0,2,2,1,0,0,5,3,30,16.9,+2,.776,.750,0.0,6.7,3.5,4.9,0.0,0.0,20.6,29.9,110,121,Klay Thompson
11,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,GSW,@,TOR,W (+6),1,31:30,4,15,.267,3,11,.273,4,4,1.000,1,3,4,1,0,1,0,1,15,8.7,-9,.447,.367,3.8,11.1,7.5,4.0,0.0,2.7,0.0,22.9,99,127,Klay Thompson
12,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,GSW,@,BOS,W (+16),1,30:42,12,21,.571,3,6,.500,1,1,1.000,1,3,4,3,0,0,2,2,28,19.0,+28,.653,.643,3.5,9.8,6.7,18.6,0.0,0.0,8.5,34.5,116,101,Klay Thompson
13,/play-index/pgl_cum_stats.cgi?player=thompkl01&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,GSW,@,MIL,W (+3),1,37:57,9,17,.529,5,10,.500,6,6,1.000,0,3,3,2,0,0,3,1,29,19.6,+21,.738,.676,0.0,10.3,4.4,8.3,0.0,0.0,13.3,23.7,132,128,Klay Thompson
