game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-10-27&is_playoff_game=N,2016-10-27,ATL,,WAS,W (+15),1,21:41,2,4,.500,1,3,.333,0,0,,0,3,3,4,1,0,2,3,5,4.5,-4,.625,.625,0.0,13.3,7.2,22.4,2.1,0.0,33.3,11.4,106,98,Kyle Korver
2,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,ATL,@,PHI,W (+32),1,24:23,6,8,.750,3,4,.750,0,0,,0,2,2,3,2,0,2,0,15,14.5,+14,.938,.938,0.0,8.7,4.6,19.6,3.9,0.0,20.0,18.4,130,72,Kyle Korver
3,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-10-31&is_playoff_game=N,2016-10-31,ATL,,SAC,W (+11),1,32:14,6,11,.545,5,8,.625,0,0,,0,0,0,0,1,0,2,1,17,10.3,0,.773,.773,0.0,0.0,0.0,0.0,1.6,0.0,15.4,17.2,116,108,Kyle Korver
4,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-02&is_playoff_game=N,2016-11-02,ATL,,LAL,L (-7),1,27:13,1,6,.167,1,6,.167,0,0,,0,4,4,2,0,0,1,3,3,-0.4,-12,.250,.250,0.0,18.6,8.9,9.0,0.0,0.0,14.3,10.7,62,125,Kyle Korver
5,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,ATL,@,WAS,L (-3),1,20:31,1,9,.111,1,6,.167,0,0,,0,3,3,2,1,0,4,1,3,-4.0,0,.167,.167,0.0,14.6,7.5,15.8,2.3,0.0,30.8,26.0,31,94,Kyle Korver
6,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,ATL,,HOU,W (+15),1,29:32,4,6,.667,2,3,.667,0,0,,0,2,2,2,2,1,2,0,10,10.1,+23,.833,.833,0.0,7.6,3.7,8.4,3.2,3.3,25.0,11.3,118,98,Kyle Korver
7,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,ATL,,CHI,W (+8),1,26:27,4,5,.800,2,2,1.000,1,1,1.000,0,2,2,2,0,0,3,5,11,6.1,+6,1.011,1.000,0.0,8.4,4.6,10.4,0.0,0.0,35.5,13.2,121,113,Kyle Korver
8,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-12&is_playoff_game=N,2016-11-12,ATL,,PHI,W (+21),1,28:19,5,11,.455,3,8,.375,1,1,1.000,0,2,2,2,2,2,3,2,14,9.9,+4,.612,.591,0.0,7.2,3.7,8.6,3.4,6.3,20.8,20.9,102,93,Kyle Korver
9,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,ATL,@,MIA,W (+3),1,28:50,2,4,.500,0,2,.000,0,0,,0,2,2,0,0,1,3,0,4,0.3,+5,.500,.500,0.0,7.2,4.0,0.0,0.0,2.5,42.9,10.9,52,101,Kyle Korver
10,/play-index/pgl_cum_stats.cgi?player=korveky01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,ATL,,MIL,W (+7),1,26:51,3,9,.333,2,7,.286,3,3,1.000,0,6,6,5,1,2,0,2,11,12.8,+2,.533,.444,0.0,21.0,12.5,30.2,1.8,5.4,0.0,18.2,120,96,Kyle Korver
