game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),1,29:48,12,22,.545,4,7,.571,1,1,1.000,1,1,2,4,2,0,0,1,29,23.8,+13,.646,.636,4.0,3.0,3.5,25.1,3.2,0.0,0.0,31.1,137,93,Kyrie Irving
2,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),1,38:26,10,23,.435,5,9,.556,1,1,1.000,1,5,6,6,0,0,7,4,26,11.7,+8,.555,.543,3.0,12.7,8.2,36.5,0.0,0.0,23.0,36.0,92,102,Kyrie Irving
3,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),1,36:52,7,18,.389,2,6,.333,4,4,1.000,0,4,4,2,0,2,1,2,20,12.4,+7,.506,.444,0.0,13.0,5.8,9.7,0.0,4.7,4.8,24.5,107,105,Kyrie Irving
4,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),1,34:47,10,19,.526,4,6,.667,8,8,1.000,1,1,2,4,0,0,3,1,32,23.1,-1,.710,.632,4.2,3.1,3.5,18.9,0.0,0.0,11.8,32.7,143,135,Kyrie Irving
5,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),1,34:01,9,18,.500,3,8,.375,2,3,.667,0,4,4,6,0,0,3,3,23,14.8,+2,.595,.583,0.0,12.5,7.0,29.9,0.0,0.0,13.4,29.1,112,128,Kyrie Irving
6,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),1,33:52,3,17,.176,0,5,.000,2,3,.667,1,6,7,2,2,0,4,2,8,-2.0,-9,.218,.176,2.8,19.8,10.6,8.7,2.8,0.0,17.9,27.5,47,98,Kyrie Irving
7,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),1,39:28,11,27,.407,1,7,.143,6,7,.857,0,1,1,4,0,1,0,3,29,16.7,-5,.482,.426,0.0,3.3,1.4,20.6,0.0,2.3,0.0,31.5,109,120,Kyrie Irving
8,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),1,36:26,11,23,.478,4,9,.444,3,4,.750,0,2,2,6,0,0,2,3,29,18.5,+17,.586,.565,0.0,6.0,2.8,36.8,0.0,0.0,7.5,31.4,123,104,Kyrie Irving
9,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),1,26:36,8,17,.471,1,5,.200,2,2,1.000,2,1,3,4,1,0,0,2,19,15.0,-5,.531,.500,7.7,3.5,5.5,29.4,2.0,0.0,0.0,30.0,124,105,Kyrie Irving
10,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),1,35:19,10,20,.500,2,4,.500,2,4,.500,2,3,5,4,2,0,5,3,24,14.1,+2,.551,.550,7.2,8.5,7.9,17.9,2.7,0.0,18.7,32.4,100,118,Kyrie Irving
11,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),1,31:39,10,20,.500,1,5,.200,3,4,.750,1,1,2,7,1,0,2,3,24,17.3,-5,.551,.525,3.3,3.4,3.3,53.5,1.6,0.0,8.4,31.9,116,108,Kyrie Irving
12,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),1,28:31,11,15,.733,3,4,.750,0,0,,0,2,2,11,1,0,0,1,25,27.8,+24,.833,.833,0.0,5.8,3.5,86.2,1.8,0.0,0.0,24.7,175,90,Kyrie Irving
13,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),1,33:27,8,15,.533,3,6,.500,1,2,.500,0,2,2,6,1,0,3,2,20,14.3,+23,.630,.633,0.0,7.0,3.6,23.6,1.5,0.0,15.9,24.2,118,130,Kyrie Irving
14,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,CLE,,DAL,W (+38),1,28:29,10,13,.769,4,5,.800,1,1,1.000,0,1,1,1,0,1,2,0,25,19.6,+38,.930,.923,0.0,3.4,2.0,6.4,0.0,3.0,13.0,23.7,144,101,Kyrie Irving
15,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-27&is_playoff_game=N,2016-11-27,CLE,@,PHI,W (+4),1,40:45,14,27,.519,5,11,.455,6,6,1.000,1,3,4,2,0,0,1,0,39,27.7,-1,.658,.611,2.3,7.9,4.9,11.0,0.0,0.0,3.3,31.8,136,117,Kyrie Irving
16,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-11-29&is_playoff_game=N,2016-11-29,CLE,@,MIL,L (-17),1,31:20,5,12,.417,2,5,.400,8,8,1.000,0,2,2,3,1,0,3,3,20,13.1,-12,.644,.500,0.0,8.1,3.9,18.9,1.5,0.0,16.2,26.4,117,121,Kyrie Irving
17,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,CLE,,LAC,L (-19),1,33:55,8,19,.421,1,4,.250,11,12,.917,0,2,2,2,0,0,4,2,28,14.7,-18,.577,.447,0.0,6.4,3.4,17.0,0.0,0.0,14.1,38.4,104,126,Kyrie Irving
18,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-02&is_playoff_game=N,2016-12-02,CLE,@,CHI,L (-6),1,38:02,9,21,.429,0,3,.000,2,3,.667,4,2,6,8,1,0,2,1,20,16.1,-6,.448,.429,12.9,5.9,9.2,30.0,1.3,0.0,8.2,29.1,105,117,Kyrie Irving
19,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-05&is_playoff_game=N,2016-12-05,CLE,@,TOR,W (+4),1,36:53,9,18,.500,2,6,.333,4,4,1.000,1,1,2,7,0,0,6,4,24,13.3,+1,.607,.556,3.6,2.9,3.2,32.2,0.0,0.0,23.3,30.5,112,127,Kyrie Irving
20,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-07&is_playoff_game=N,2016-12-07,CLE,@,NYK,W (+32),1,30:27,9,17,.529,4,6,.667,6,6,1.000,0,3,3,6,0,0,2,1,28,22.4,+27,.713,.647,0.0,9.7,5.3,38.1,0.0,0.0,9.2,32.3,144,109,Kyrie Irving
21,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-09&is_playoff_game=N,2016-12-09,CLE,,MIA,W (+30),1,33:01,9,15,.600,2,4,.500,3,5,.600,0,1,1,3,0,0,2,0,23,15.7,+13,.669,.667,0.0,2.5,1.6,13.3,0.0,0.0,10.4,27.3,128,108,Kyrie Irving
22,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-10&is_playoff_game=N,2016-12-10,CLE,,CHO,W (+11),1,36:09,4,13,.308,2,3,.667,1,1,1.000,1,3,4,5,0,0,3,3,11,4.4,-1,.409,.385,3.9,8.9,6.7,18.1,0.0,0.0,18.2,21.3,90,116,Kyrie Irving
23,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-17&is_playoff_game=N,2016-12-17,CLE,,LAL,W (+11),1,38:28,8,17,.471,2,6,.333,3,3,1.000,1,5,6,12,3,0,2,0,21,23.9,+12,.573,.529,3.0,14.5,8.8,41.6,4.1,0.0,9.8,24.2,132,114,Kyrie Irving
24,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-20&is_playoff_game=N,2016-12-20,CLE,@,MIL,W (+6),1,45:13,8,23,.348,3,7,.429,9,9,1.000,0,5,5,5,0,0,2,1,28,17.7,+1,.519,.413,0.0,13.0,6.2,21.2,0.0,0.0,6.9,30.1,109,111,Kyrie Irving
25,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-21&is_playoff_game=N,2016-12-21,CLE,,MIL,W (+11),1,34:58,11,17,.647,1,2,.500,8,9,.889,0,6,6,13,1,0,4,2,31,30.2,+21,.740,.676,0.0,21.1,10.2,64.0,1.5,0.0,16.0,32.2,141,111,Kyrie Irving
26,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-23&is_playoff_game=N,2016-12-23,CLE,,BRK,W (+20),1,26:27,5,11,.455,1,3,.333,2,2,1.000,1,4,5,10,6,0,1,1,13,20.8,+38,.547,.500,3.8,15.4,9.6,50.5,10.4,0.0,7.8,19.4,129,78,Kyrie Irving
27,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-25&is_playoff_game=N,2016-12-25,CLE,,GSW,W (+1),1,43:53,11,27,.407,2,5,.400,1,1,1.000,3,3,6,10,7,0,2,0,25,25.5,+5,.456,.444,6.0,10.6,7.6,43.8,7.6,0.0,6.8,26.6,112,99,Kyrie Irving
28,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-26&is_playoff_game=N,2016-12-26,CLE,@,DET,L (-16),1,28:50,8,20,.400,2,6,.333,0,1,.000,1,4,5,8,0,0,3,3,18,10.1,-15,.440,.450,3.7,14.2,9.0,79.8,0.0,0.0,12.8,35.4,94,113,Kyrie Irving
29,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2016-12-29&is_playoff_game=N,2016-12-29,CLE,,BOS,W (+6),1,41:36,12,17,.706,2,5,.400,6,7,.857,2,3,5,12,3,0,4,0,32,34.2,+10,.797,.765,6.4,8.9,7.7,47.5,3.5,0.0,16.6,24.1,152,118,Kyrie Irving
30,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2017-01-06&is_playoff_game=N,2017-01-06,CLE,@,BRK,W (+8),1,35:40,10,26,.385,3,9,.333,9,9,1.000,0,3,3,4,2,0,0,1,32,23.1,-3,.534,.442,0.0,7.9,4.1,21.9,2.5,0.0,0.0,33.9,112,102,Kyrie Irving
31,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2017-01-08&is_playoff_game=N,2017-01-08,CLE,@,PHO,W (+4),1,39:58,10,20,.500,4,7,.571,3,3,1.000,1,1,2,7,1,0,7,0,27,16.9,+2,.633,.600,3.3,3.2,3.2,26.3,1.3,0.0,24.7,30.8,115,128,Kyrie Irving
32,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2017-01-10&is_playoff_game=N,2017-01-10,CLE,@,UTA,L (-8),1,39:00,5,18,.278,2,8,.250,8,8,1.000,2,2,4,4,1,0,3,3,20,11.0,-1,.465,.333,5.1,6.2,5.6,19.8,1.3,0.0,12.2,26.9,99,110,Kyrie Irving
33,/play-index/pgl_cum_stats.cgi?player=irvinky01&year=2017&date_game=2017-01-11&is_playoff_game=N,2017-01-11,CLE,@,POR,L (-16),1,31:56,4,16,.250,1,2,.500,2,2,1.000,3,0,3,1,2,0,3,2,11,2.4,-16,.326,.281,8.8,0.0,4.6,6.8,3.2,0.0,15.1,27.3,69,112,Kyrie Irving
