game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),1,32:23,9,14,.643,0,3,.000,1,2,.500,3,8,11,14,0,1,4,3,19,22.2,+27,.638,.643,11.1,22.4,17.5,65.5,0.0,2.5,21.2,24.1,129,90,LeBron James
2,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),1,38:40,7,16,.438,2,6,.333,5,7,.714,2,6,8,7,0,0,5,2,21,14.1,0,.550,.500,5.9,15.2,10.9,35.7,0.0,0.0,20.8,28.3,103,100,LeBron James
3,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),1,39:00,7,16,.438,2,6,.333,7,11,.636,1,5,6,9,1,1,2,2,23,20.4,+1,.552,.500,2.5,15.4,8.2,40.4,1.3,2.2,8.8,25.5,122,103,LeBron James
4,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),1,35:51,6,12,.500,1,3,.333,6,10,.600,3,10,13,8,0,0,4,4,19,16.5,+15,.579,.542,12.2,29.8,22.3,30.6,0.0,0.0,19.6,25.4,123,127,LeBron James
5,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),1,36:22,12,22,.545,1,4,.250,5,5,1.000,1,6,7,12,1,0,2,2,30,28.5,+18,.620,.568,3.7,17.6,11.4,62.9,1.3,0.0,7.6,31.9,136,124,LeBron James
6,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),1,35:52,9,23,.391,1,5,.200,6,7,.857,1,7,8,14,2,1,5,1,25,22.0,+11,.479,.413,2.6,21.8,11.4,75.1,2.6,2.7,16.1,36.2,104,96,LeBron James
7,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),1,36:52,8,17,.471,2,5,.400,5,5,1.000,2,7,9,5,3,0,1,3,23,22.1,+7,.599,.529,5.0,24.6,13.2,24.5,4.0,0.0,5.0,22.7,129,107,LeBron James
8,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),1,38:06,9,18,.500,3,4,.750,6,9,.667,0,10,10,5,2,2,6,1,27,20.3,+7,.615,.583,0.0,28.6,13.5,25.5,2.6,3.5,21.5,31.3,105,90,LeBron James
9,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),1,38:42,8,21,.381,2,5,.400,1,2,.500,0,8,8,8,1,1,3,0,19,13.8,+12,.434,.429,0.0,19.5,10.1,34.1,1.3,1.9,12.1,28.7,94,99,LeBron James
10,/play-index/pgl_cum_stats.cgi?player=jamesle01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),1,38:04,10,15,.667,2,5,.400,6,10,.600,0,9,9,15,1,0,5,2,28,28.3,+1,.722,.733,0.0,23.6,13.2,60.3,1.3,0.0,20.5,27.4,135,117,LeBron James
