game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-10-26&is_playoff_game=N,2016-10-26,SAC,@,PHO,W (+19),0,27:37,6,9,.667,2,5,.400,0,0,,1,6,7,3,0,0,1,4,14,12.1,+12,.778,.778,4.2,25.4,14.8,15.5,0.0,0.0,10.0,15.7,144,98,Matt Barnes
2,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-10-27&is_playoff_game=N,2016-10-27,SAC,,SAS,L (-8),0,26:55,1,4,.250,1,3,.333,0,0,,0,0,0,1,1,0,2,3,3,-0.9,-14,.375,.375,0.0,0.0,0.0,6.8,2.0,0.0,33.3,10.5,52,115,Matt Barnes
3,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,SAC,,MIN,W (+3),0,27:11,4,10,.400,3,6,.500,1,2,.500,0,5,5,9,1,1,2,4,12,12.1,+8,.551,.550,0.0,32.7,13.2,49.8,2.0,3.7,15.5,20.9,118,111,Matt Barnes
4,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-10-31&is_playoff_game=N,2016-10-31,SAC,@,ATL,L (-11),0,27:45,4,9,.444,4,8,.500,2,2,1.000,0,5,5,3,1,0,4,4,14,8.3,-23,.709,.667,0.0,17.7,10.7,17.8,1.8,0.0,28.8,23.5,99,112,Matt Barnes
5,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,SAC,@,MIA,L (-12),1,22:58,0,7,.000,0,5,.000,0,0,,3,5,8,2,1,0,3,2,0,-2.7,-12,.000,.000,14.4,23.1,18.8,13.6,2.2,0.0,30.0,19.9,28,100,Matt Barnes
6,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,SAC,@,ORL,L (-8),0,9:16,1,2,.500,0,1,.000,0,0,,1,2,3,1,0,0,2,0,2,1.0,-10,.500,.500,12.3,25.3,18.7,15.8,0.0,0.0,50.0,20.4,69,113,Matt Barnes
7,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,SAC,@,MIL,L (-26),0,14:12,2,7,.286,0,1,.000,2,2,1.000,0,2,2,2,0,0,0,0,6,3.9,-16,.381,.286,0.0,16.9,7.6,25.8,0.0,0.0,0.0,25.0,96,133,Matt Barnes
8,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-11-06&is_playoff_game=N,2016-11-06,SAC,@,TOR,W (+5),0,29:57,2,7,.286,0,3,.000,4,5,.800,3,7,10,1,1,0,2,5,8,5.4,+6,.435,.286,11.2,23.9,17.8,5.2,1.9,0.0,17.9,17.8,94,101,Matt Barnes
9,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,SAC,,NOP,W (+8),0,27:07,2,5,.400,1,4,.250,0,0,,0,8,8,3,0,0,1,2,5,5.0,+5,.500,.500,0.0,34.5,17.9,15.0,0.0,0.0,16.7,10.6,96,103,Matt Barnes
10,/play-index/pgl_cum_stats.cgi?player=barnema02&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,SAC,,LAL,L (-10),0,28:31,3,8,.375,1,4,.250,0,0,,2,3,5,1,2,2,2,3,7,5.8,-13,.438,.438,6.9,14.0,9.9,5.8,3.4,7.2,20.0,15.5,82,97,Matt Barnes
