game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),0,9:00,1,3,.333,0,2,.000,0,0,,0,0,0,2,1,1,0,0,2,3.4,-3,.333,.333,0.0,0.0,0.0,30.8,5.4,7.2,0.0,14.7,95,127,Patrick McCaw
2,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),0,9:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,3.3,-2,1.500,1.500,0.0,0.0,0.0,0.0,4.5,0.0,0.0,4.1,300,104,Patrick McCaw
3,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),0,19:46,2,4,.500,1,1,1.000,0,0,,0,2,2,3,0,0,0,3,5,4.5,+6,.625,.625,0.0,10.3,6.0,19.1,0.0,0.0,0.0,9.8,146,110,Patrick McCaw
4,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),0,14:42,3,6,.500,0,2,.000,2,2,1.000,0,1,1,2,0,1,1,0,8,6.4,+5,.581,.500,0.0,6.3,3.7,18.0,0.0,5.6,12.7,23.6,115,112,Patrick McCaw
5,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),0,17:56,2,4,.500,2,3,.667,0,0,,1,1,2,0,1,2,0,1,6,7.0,+4,.750,.750,7.0,6.2,6.6,0.0,2.5,8.1,0.0,9.2,149,108,Patrick McCaw
6,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,GSW,@,TOR,W (+6),0,20:30,2,3,.667,1,2,.500,0,0,,0,2,2,2,1,1,0,3,5,6.2,-3,.833,.833,0.0,11.4,5.8,11.9,2.3,4.1,0.0,6.3,169,121,Patrick McCaw
7,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,GSW,@,BOS,W (+16),0,16:05,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,1,2,2,-1.2,-14,.333,.333,0.0,6.2,3.2,0.0,0.0,0.0,25.0,11.2,48,102,Patrick McCaw
8,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-19&is_playoff_game=N,2016-11-19,GSW,@,MIL,W (+3),0,17:25,1,4,.250,1,3,.333,0,0,,1,0,1,1,0,0,1,2,3,0.2,-18,.375,.375,5.6,0.0,3.2,7.0,0.0,0.0,20.0,11.4,86,130,Patrick McCaw
9,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-21&is_playoff_game=N,2016-11-21,GSW,@,IND,W (+37),0,12:00,2,8,.250,1,4,.250,0,0,,0,0,0,0,0,0,0,1,5,-0.2,+8,.313,.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,67,97,Patrick McCaw
10,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,GSW,,LAL,W (+43),0,14:51,0,1,.000,0,0,,0,2,.000,0,1,1,4,0,0,1,0,0,0.6,+22,.000,.000,0.0,6.6,3.8,24.4,0.0,0.0,34.7,8.4,82,108,Patrick McCaw
11,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-25&is_playoff_game=N,2016-11-25,GSW,@,LAL,W (+24),0,11:51,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,2,3,1.2,-11,.750,.750,0.0,7.5,4.6,10.4,0.0,0.0,33.3,11.3,96,93,Patrick McCaw
12,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-26&is_playoff_game=N,2016-11-26,GSW,,MIN,W (+13),0,13:25,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,0,0,2,3.7,-4,1.000,1.000,9.9,8.7,9.3,0.0,3.8,0.0,0.0,3.4,208,107,Patrick McCaw
13,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-11-28&is_playoff_game=N,2016-11-28,GSW,,ATL,W (+5),0,3:48,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,0,1,1,-0.5,-2,.266,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,59,108,Patrick McCaw
14,/play-index/pgl_cum_stats.cgi?player=mccawpa01&year=2017&date_game=2016-12-01&is_playoff_game=N,2016-12-01,GSW,,HOU,L (-5),0,9:26,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,-11,,,0.0,11.0,5.6,14.3,0.0,0.0,100.0,4.5,41,116,Patrick McCaw
