game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),0,25:47,5,7,.714,2,3,.667,1,2,.500,0,4,4,1,2,0,2,1,13,11.2,+17,.825,.857,0.0,14.1,8.0,5.2,3.7,0.0,20.2,15.8,119,87,Richard Jefferson
2,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),0,20:02,0,4,.000,0,3,.000,2,4,.500,1,1,2,2,1,0,0,2,2,1.0,-2,.174,.000,5.7,4.9,5.3,14.5,2.6,0.0,0.0,13.1,68,100,Richard Jefferson
3,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),0,23:07,3,6,.500,0,2,.000,0,0,,0,3,3,0,1,0,1,4,6,2.3,+4,.500,.500,0.0,15.6,6.9,0.0,2.2,0.0,14.3,13.2,86,102,Richard Jefferson
4,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),0,19:35,1,2,.500,0,1,.000,2,2,1.000,0,3,3,2,0,0,0,1,4,4.9,+5,.694,.500,0.0,16.3,9.4,12.1,0.0,0.0,0.0,6.6,177,131,Richard Jefferson
5,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),0,14:20,1,2,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,0,2,1.9,-3,.500,.500,0.0,22.3,12.4,0.0,0.0,0.0,0.0,6.2,100,125,Richard Jefferson
6,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),0,13:34,2,4,.500,1,2,.500,1,1,1.000,0,3,3,0,0,0,1,1,6,3.5,+3,.676,.625,0.0,24.7,11.3,0.0,0.0,0.0,18.4,16.7,104,104,Richard Jefferson
7,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),0,6:51,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,1.2,+2,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,145,121,Richard Jefferson
8,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),0,10:55,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-1,,,0.0,10.0,4.7,12.2,0.0,0.0,,0.0,239,103,Richard Jefferson
9,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),0,26:00,1,5,.200,0,3,.000,0,1,.000,2,6,8,2,0,0,1,0,2,2.1,+12,.184,.200,7.9,21.7,15.1,9.9,0.0,0.0,15.5,11.0,66,103,Richard Jefferson
10,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),1,26:03,2,5,.400,1,2,.500,0,0,,0,0,0,1,0,0,1,5,5,0.0,+10,.500,.500,0.0,0.0,0.0,4.6,0.0,0.0,16.7,9.8,92,126,Richard Jefferson
11,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,CLE,@,IND,L (-10),1,19:52,2,6,.333,1,2,.500,0,0,,0,3,3,1,0,1,1,1,5,2.5,+3,.417,.417,0.0,16.1,8.0,8.0,0.0,4.2,14.3,15.0,79,105,Richard Jefferson
12,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-18&is_playoff_game=N,2016-11-18,CLE,,DET,W (+23),0,18:08,0,3,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-1.5,+8,.000,.000,0.0,9.1,5.5,0.0,0.0,0.0,0.0,7.8,0,93,Richard Jefferson
13,/play-index/pgl_cum_stats.cgi?player=jefferi01&year=2017&date_game=2016-11-23&is_playoff_game=N,2016-11-23,CLE,,POR,W (+12),0,25:28,3,4,.750,0,1,.000,0,0,,0,2,2,4,0,0,0,0,6,7.8,-1,.750,.750,0.0,9.2,4.8,17.8,0.0,0.0,0.0,6.7,178,133,Richard Jefferson
