game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),1,34:06,9,18,.500,3,10,.300,5,6,.833,0,3,3,4,0,0,4,1,26,15.9,-9,.630,.583,0.0,8.8,4.7,20.6,0.0,0.0,16.2,31.8,108,139,Stephen Curry
2,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),1,34:04,8,19,.421,4,10,.400,3,4,.750,1,0,1,8,1,0,4,3,23,14.6,+4,.554,.526,3.1,0.0,1.4,34.4,1.3,0.0,16.2,29.7,103,110,Stephen Curry
3,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),1,34:13,9,17,.529,5,8,.625,5,5,1.000,0,1,1,3,0,0,1,5,28,19.1,+2,.729,.676,0.0,3.0,1.5,18.8,0.0,0.0,5.0,25.2,133,108,Stephen Curry
4,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),1,29:30,10,21,.476,5,10,.500,3,4,.750,1,3,4,3,1,0,4,3,28,16.4,+24,.615,.595,4.9,11.1,8.5,14.5,1.5,0.0,14.9,37.8,105,104,Stephen Curry
5,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),1,30:03,6,14,.429,2,6,.333,7,8,.875,0,1,1,7,2,1,1,1,21,19.7,+17,.599,.500,0.0,3.6,1.8,30.7,3.3,2.7,5.4,26.2,141,102,Stephen Curry
5,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),1,30:03,6,14,.429,2,6,.333,7,8,.875,0,1,1,7,2,1,1,1,21,19.7,+17,.781,.682,3.9,24.0,13.8,27.8,1.8,0.0,22.1,29.5,124,104,Stephen Curry
5,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2017-05-02&is_playoff_game=Y,2017-05-02,GSW,,UTA,W (+12),1,29:59,7,11,.636,1,4,.250,7,7,1.000,1,6,7,5,1,0,4,1,22,19.7,+5,.599,.500,0.0,3.6,1.8,30.7,3.3,2.7,5.4,26.2,141,102,Stephen Curry
5,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2017-05-02&is_playoff_game=Y,2017-05-02,GSW,,UTA,W (+12),1,29:59,7,11,.636,1,4,.250,7,7,1.000,1,6,7,5,1,0,4,1,22,19.7,+5,.781,.682,3.9,24.0,13.8,27.8,1.8,0.0,22.1,29.5,124,104,Stephen Curry
6,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),1,31:06,5,17,.294,0,10,.000,3,3,1.000,0,8,8,10,2,1,2,3,13,12.0,-5,.355,.294,0.0,26.3,13.6,49.3,3.0,2.4,9.8,27.3,88,108,Stephen Curry
7,/play-index/pgl_cum_stats.cgi?player=curryst01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),1,35:39,16,26,.615,13,17,.765,1,2,.500,3,2,5,5,2,0,4,2,46,37.2,+9,.856,.865,9.6,6.9,8.3,28.7,2.8,0.0,13.0,37.7,136,112,Stephen Curry
