game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,CLE,,NYK,W (+29),1,22:25,0,1,.000,0,0,,0,0,,2,4,6,0,0,0,2,4,0,-1.7,+17,.000,.000,10.7,16.2,13.8,0.0,0.0,0.0,66.7,5.5,42,94,Tristan Thompson
2,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,CLE,@,TOR,W (+3),1,36:28,5,5,1.000,0,0,,1,2,.500,3,7,10,1,0,1,0,1,11,14.3,+4,.935,1.000,9.4,18.8,14.5,5.0,0.0,1.8,0.0,7.3,195,97,Tristan Thompson
3,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-10-29&is_playoff_game=N,2016-10-29,CLE,,ORL,W (+6),1,27:14,1,4,.250,0,0,,0,2,.000,4,8,12,1,1,1,0,1,2,6.0,+11,.205,.250,14.1,35.3,23.5,5.1,1.8,3.1,0.0,7.8,93,95,Tristan Thompson
4,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,CLE,,HOU,W (+8),1,26:34,2,2,1.000,0,0,,0,0,,6,4,10,3,0,1,0,4,4,10.0,-3,1.000,1.000,32.9,16.1,23.2,13.8,0.0,3.9,0.0,3.4,223,128,Tristan Thompson
5,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,CLE,,BOS,W (+6),1,31:04,6,7,.857,0,0,,3,4,.750,4,10,14,1,1,3,0,1,15,21.3,+10,.856,.857,17.2,34.3,26.7,4.9,1.6,7.2,0.0,12.5,186,113,Tristan Thompson
6,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-05&is_playoff_game=N,2016-11-05,CLE,@,PHI,W (+1),1,29:35,3,6,.500,0,0,,1,2,.500,6,7,13,0,0,2,0,2,7,10.5,0,.509,.500,19.1,26.4,22.4,0.0,0.0,6.6,0.0,9.7,133,98,Tristan Thompson
7,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-08&is_playoff_game=N,2016-11-08,CLE,,ATL,L (-4),1,24:57,0,0,,0,0,,0,2,.000,0,2,2,0,1,0,0,3,0,-0.4,-15,.000,,0.0,10.4,4.3,0.0,2.0,0.0,0.0,1.5,0,115,Tristan Thompson
8,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-11&is_playoff_game=N,2016-11-11,CLE,@,WAS,W (+11),1,23:00,1,4,.250,0,0,,0,0,,4,3,7,1,1,3,1,3,2,4.9,+10,.250,.250,17.0,14.2,15.7,6.2,2.1,8.7,20.0,9.3,90,91,Tristan Thompson
9,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,CLE,,CHO,W (+7),1,29:41,1,2,.500,0,0,,2,6,.333,3,9,12,0,0,2,0,1,4,7.2,-10,.431,.500,10.3,28.5,19.8,0.0,0.0,4.9,0.0,7.0,114,96,Tristan Thompson
10,/play-index/pgl_cum_stats.cgi?player=thomptr01&year=2017&date_game=2016-11-15&is_playoff_game=N,2016-11-15,CLE,,TOR,W (+4),1,29:47,7,8,.875,0,0,,1,1,1.000,3,8,11,0,0,1,1,2,15,15.6,+8,.889,.875,12.7,26.9,20.6,0.0,0.0,2.4,10.6,13.5,161,117,Tristan Thompson
