game,playoff,date,team,loc,opp,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,plus_minus,ts_pct,eFG_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,Name
1,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-10-25&is_playoff_game=N,2016-10-25,GSW,,SAS,L (-29),1,20:05,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,3,2,2,-0.1,-3,1.000,1.000,5.7,10.0,8.0,6.4,0.0,0.0,75.0,8.8,60,138,Zaza Pachulia
2,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-10-28&is_playoff_game=N,2016-10-28,GSW,@,NOP,W (+8),1,17:23,4,6,.667,0,0,,2,2,1.000,2,9,11,1,0,0,2,2,10,9.4,-2,.727,.667,12.0,47.8,31.0,8.4,0.0,0.0,22.5,20.9,118,101,Zaza Pachulia
3,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-10-30&is_playoff_game=N,2016-10-30,GSW,@,PHO,W (+6),1,22:13,1,5,.200,0,0,,3,3,1.000,4,6,10,4,0,0,3,1,5,5.9,-7,.396,.200,18.8,27.6,23.2,26.3,0.0,0.0,32.2,17.9,91,101,Zaza Pachulia
4,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-01&is_playoff_game=N,2016-11-01,GSW,@,POR,W (+23),1,18:51,2,3,.667,0,0,,1,2,.500,1,5,6,2,0,0,0,0,5,6.9,+2,.644,.667,7.7,28.9,19.8,11.3,0.0,0.0,0.0,8.6,151,105,Zaza Pachulia
5,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-03&is_playoff_game=N,2016-11-03,GSW,,OKC,W (+26),1,22:37,4,4,1.000,0,0,,0,0,,6,4,10,5,2,3,1,3,8,17.6,+5,1.000,1.000,29.6,19.3,24.4,28.3,4.4,10.6,20.0,9.4,185,88,Zaza Pachulia
6,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-04&is_playoff_game=N,2016-11-04,GSW,@,LAL,L (-20),1,19:02,0,0,,0,0,,0,0,,2,1,3,3,0,0,2,1,0,1.4,+4,,,11.5,5.4,8.3,19.4,0.0,0.0,100.0,4.4,82,124,Zaza Pachulia
7,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-07&is_playoff_game=N,2016-11-07,GSW,,NOP,W (+10),1,11:13,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,2,2,0.2,-13,.500,.500,0.0,11.0,5.3,10.5,0.0,0.0,33.3,11.6,78,116,Zaza Pachulia
8,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-09&is_playoff_game=N,2016-11-09,GSW,,DAL,W (+21),1,13:23,1,2,.500,0,0,,0,0,,0,4,4,4,0,0,1,1,2,3.6,+2,.500,.500,0.0,30.5,17.7,36.4,0.0,0.0,33.3,10.9,122,101,Zaza Pachulia
9,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-10&is_playoff_game=N,2016-11-10,GSW,@,DEN,W (+24),1,13:46,2,2,1.000,0,0,,0,0,,2,2,4,0,4,0,1,2,4,7.6,+14,1.000,1.000,19.4,13.4,15.8,0.0,14.2,0.0,33.3,9.6,138,78,Zaza Pachulia
10,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-13&is_playoff_game=N,2016-11-13,GSW,,PHO,W (+13),1,11:56,1,3,.333,0,0,,2,2,1.000,1,5,6,1,0,0,0,2,4,4.4,-6,.515,.333,10.6,46.8,29.8,9.8,0.0,0.0,0.0,13.4,135,114,Zaza Pachulia
11,/play-index/pgl_cum_stats.cgi?player=pachuza01&year=2017&date_game=2016-11-16&is_playoff_game=N,2016-11-16,GSW,@,TOR,W (+6),1,15:53,2,3,.667,0,0,,4,4,1.000,0,1,1,2,0,0,1,4,8,5.8,+7,.840,.667,0.0,7.4,3.7,15.9,0.0,0.0,17.4,15.6,149,130,Zaza Pachulia
