opp,team_name,opp_def_rtg
SAS,San Antonio Spurs,100.9
GSW,Golden State Warriors,101.1
UTA,Utah Jazz,102.7
ATL,Atlanta Hawks,103.1
MIA,Miami Heat,104.1
CHI,Chicago Bulls,104.5
MEM,Memphis Grizzlies,104.5
TOR,Toronto Raptors,104.9
NOP,New Orleans Pelicans,104.9
OKC,Oklahoma City Thunder,105.1
DET,Detroit Pistons,105.3
BOS,Boston Celtics,105.5
LAC,LA Clippers,105.8
CHO,Charlotte Hornets,106.1
DAL,Dallas Mavericks,106.3
IND,Indiana Pacers,106.3
PHI,Philadelphia 76ers,106.4
HOU,Houston Rockets,106.4
MIL,Milwaukee Bucks,106.4
WAS,Washington Wizards,106.9
POR,Portland Trail Blazers,107.8
CLE,Cleveland Cavaliers,108.0
BRK,Brooklyn Nets,108.0
ORL,Orlando Magic,108.0
NYK,New York Knicks,108.7
MIN,Minnesota Timberwolves,109.1
SAC,Sacramento Kings,109.1
PHO,Phoenix Suns,109.3
DEN,Denver Nuggets,110.5
LAL,Los Angeles Lakers,110.6
