short_name,location,team_name
BOS,Boston,Boston Celtics
BRK,Brooklyn,Brooklyn Nets
NYK,New York,New York Knicks
PHI,Philadelphia,Philadelphia 76ers
TOR,Toronto,Toronto Raptors
CHI,Chicago,Chicago Bulls
CLE,Cleveland,Cleveland Cavaliers
DET,Detroit,Detroit Pistons
IND,Indiana,Indiana Pacers
MIL,Milwaukee,Milwaukee Bucks
ATL,Atlanta,Atlanta Hawks
CHO,Charlotte,Charlotte Hornets
MIA,Miami,Miami Heat
ORL,Orlando,Orlando Magic
WAS,Washington,Washington Wizards
GSW,Golden State,Golden State Warriors
LAC,Los Angeles Clippers,Los Angeles Clippers
LAL,Los Angeles Lakers,Los Angeles Lakers
PHO,Phoenix,Phoenix Suns
SAC,Sacramento,Sacramento Kings
DAL,Dallas,Dallas Mavericks
HOU,Houston,Houston Rockets
MEM,Memphis,Memphis Grizzlies
NOP,New Orleans,New Orleans Pelicans
SAS,San Antonio,San Antonio Spurs
DEN,Denver,Denver Nuggets
MIN,Minnesota,Minnesota Timberwolves
OKC,Oklahoma City,Oklahoma City Thunder
POR,Portland,Portland Trail Blazers
UTA,Utah,Utah Jazz
