date,team,opp,mpg,orig_ppg,orig_scaled,opp_orig_scaled,diff_orig,pred_scaled,opp_pred_scaled,diff_pred
2016-11-02,BRK,DET,194.23,76.3333333333,94.3211656284,107.446525456,13.1253598277,94.3237639217,107.446525456,13.1227615343
2016-11-02,DET,BRK,216.1075,96.75,107.446525456,94.3211656284,-13.1253598277,107.446525456,94.3237639217,-13.1227615343
2016-11-02,MEM,NOP,127.0525,48.75,92.0879164125,113.130209045,21.0422926324,92.0835200079,112.599213418,20.5156934105
2016-11-02,NOP,MEM,195.173333333,92.0,113.130209045,92.0879164125,-21.0422926324,112.599213418,92.0835200079,-20.5156934105
2016-11-02,PHO,POR,186.585,78.25,100.651177747,105.30098832,4.64981057245,100.651177747,107.688214863,7.03703711511
2016-11-02,POR,PHO,222.6,97.6666666667,105.30098832,100.651177747,-4.64981057245,107.688214863,100.651177747,-7.03703711511
2016-11-03,BOS,CLE,176.096666667,80.6666666667,109.939616499,109.737144402,-0.202472096865,109.580750211,109.737144402,0.156394190366
2016-11-03,CLE,BOS,221.985,101.5,109.737144402,109.939616499,0.202472096865,109.737144402,109.580750211,-0.156394190366
2016-11-03,GSW,OKC,257.665,133.75,124.580365979,106.085675294,-18.4946906853,124.580365979,106.085675294,-18.4946906853
2016-11-03,IND,MIL,196.446666667,85.3333333333,104.252214341,109.951565387,5.69935104526,104.951939767,109.951565387,4.99962561927
2016-11-03,MIL,IND,200.27,91.75,109.951565387,104.252214341,-5.69935104526,109.951565387,104.951939767,-4.99962561927
2016-11-03,OKC,GSW,207.0025,91.5,106.085675294,124.580365979,18.4946906853,106.085675294,124.580365979,18.4946906853
2016-11-03,ORL,SAC,212.1025,92.25,104.38349383,103.072607476,-1.31088635361,104.38349383,103.835527033,-0.547966796895
2016-11-03,SAC,ORL,229.935,98.75,103.072607476,104.38349383,1.31088635361,103.835527033,104.38349383,0.547966796895
2016-11-04,BRK,CHO,192.325833333,84.5,105.446052922,100.897264963,-4.54878795892,105.40096983,100.897264963,-4.50370486641
2016-11-04,CHI,NYK,195.1825,91.25,112.202682105,101.370176711,-10.8325053944,112.202682105,101.370176711,-10.8325053944
2016-11-04,CHO,BRK,208.1325,87.5,100.897264963,105.446052922,4.54878795892,100.897264963,105.40096983,4.50370486641
2016-11-04,DAL,POR,192.703333333,78.6666666667,97.9744339313,105.087202852,7.11276892077,96.7937872201,105.271133668,8.47734644833
2016-11-04,GSW,LAL,229.4555,114.45,119.709486153,113.096711029,-6.61277512422,119.015389885,113.807299411,-5.20809047394
2016-11-04,LAC,MEM,222.7225,96.75,104.255295267,93.9937229758,-10.2615722907,104.255295267,95.7762935468,-8.47900171977
2016-11-04,LAL,GSW,232.3675,109.5,113.096711029,119.709486153,6.61277512422,113.807299411,119.015389885,5.20809047394
2016-11-04,MEM,LAC,247.463333333,96.9166666667,93.9937229758,104.255295267,10.2615722907,95.7762935468,104.255295267,8.47900171977
2016-11-04,MIA,TOR,223.8625,97.75,104.796471048,109.058767536,4.26229648813,104.796471048,109.058767536,4.26229648813
2016-11-04,NOP,PHO,222.668,94.5,101.855677511,103.298278689,1.44260117842,101.855677511,103.429539846,1.57386233483
2016-11-04,NYK,CHI,196.5075,83.0,101.370176711,112.202682105,10.8325053944,101.370176711,112.202682105,10.8325053944
2016-11-04,PHO,NOP,254.6025,109.583333333,103.298278689,101.855677511,-1.44260117842,103.429539846,101.855677511,-1.57386233483
2016-11-04,POR,DAL,225.336666667,98.6666666667,105.087202852,97.9744339313,-7.11276892077,105.271133668,96.7937872201,-8.47734644833
2016-11-04,SAS,UTA,211.913,101.45,114.896207406,98.6636497037,-16.2325577022,114.896207406,97.9451474129,-16.951059993
2016-11-04,TOR,MIA,220.615,100.25,109.058767536,104.796471048,-4.26229648813,109.058767536,104.796471048,-4.26229648813
2016-11-04,UTA,SAS,223.1825,91.75,98.6636497037,114.896207406,16.2325577022,97.9451474129,114.896207406,16.951059993
2016-11-05,ATL,HOU,227.8375,102.5,107.971690349,108.804642331,0.832951981925,108.564131954,109.40396731,0.839835356312
2016-11-05,CHI,IND,228.075,108.666666667,114.348350323,112.733495976,-1.61485434695,115.356627273,112.37910667,-2.97752060318
2016-11-05,CLE,PHI,228.405,106.25,111.643790635,78.6207671141,-33.023023521,111.39620603,78.6252048348,-32.7710011957
2016-11-05,DEN,DET,214.9125,91.5,102.181120223,102.380335809,0.199215585275,102.181120223,102.539063801,0.357943577226
2016-11-05,DET,DEN,238.131666667,101.583333333,102.380335809,102.181120223,-0.199215585275,102.539063801,102.181120223,-0.357943577226
2016-11-05,HOU,ATL,234.365,106.25,108.804642331,107.971690349,-0.832951981925,109.40396731,108.564131954,-0.839835356312
2016-11-05,IND,CHI,205.9725,96.75,112.733495976,114.348350323,1.61485434695,112.37910667,115.356627273,2.97752060318
2016-11-05,LAC,SAS,240.2825,102.5,102.379490808,106.906808893,4.52731808489,101.579161641,109.108625469,7.52946382749
2016-11-05,MIL,SAC,229.2585,103.95,108.820392701,81.2993920024,-27.5210006984,108.820392701,81.0809345955,-27.7394581054
