Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Oklahoma City Thunder,9,209,97,103
Oct 29,Atlanta Hawks,8,202,72,104
Nov 1,Orlando Magic,5,198.5,101,103
Nov 2,Charlotte Hornets,13,197,93,109
Nov 5,Cleveland Cavaliers,12,210,101,102
Nov 7,Utah Jazz,5,189,84,109
Nov 9,Indiana Pacers,11.5,212.5,115,122
Nov 11,Indiana Pacers,5.5,213,109,105
Nov 12,Atlanta Hawks,14.5,207,96,117
Nov 14,Houston Rockets,11.5,216,88,115
Nov 16,Washington Wizards,7,203.5,109,102
Nov 17,Minnesota Timberwolves,11.5,211,86,110
Nov 19,Phoenix Suns,2,211,120,105
Nov 21,Miami Heat,4.5,201.5,101,94
Nov 23,Memphis Grizzlies,6,195.5,99,104
Nov 25,Chicago Bulls,9.5,205,89,105
Nov 27,Cleveland Cavaliers,11.5,210,108,112
Nov 28,Toronto Raptors,15,206.5,95,122
Dec 2,Orlando Magic,PK,198.5,88,105
Dec 3,Boston Celtics,10,207.5,106,107
Dec 5,Denver Nuggets,4,210,98,106
Dec 6,Memphis Grizzlies,7.5,194.5,91,96
Dec 8,New Orleans Pelicans,6.5,205,99,88
Dec 11,Detroit Pistons,12,198,97,79
Dec 14,Toronto Raptors,8,205,114,123
Dec 16,Los Angeles Lakers,-1,210.5,89,100
Dec 18,Brooklyn Nets,-1.5,215.5,108,107
Dec 20,New Orleans Pelicans,3.5,206,93,108
Dec 23,Phoenix Suns,6,212.5,116,123
Dec 26,Sacramento Kings,8.5,205.5,100,102
Dec 29,Utah Jazz,14.5,196.5,83,100
Dec 30,Denver Nuggets,10,213.5,124,122
Jan 3,Minnesota Timberwolves,4.5,205.5,93,91
Jan 6,Boston Celtics,11,212.5,106,110
Jan 8,Brooklyn Nets,1,216,105,95
Jan 11,New York Knicks,2,211.5,98,97
Jan 13,Charlotte Hornets,5,208,102,93
Jan 14,Washington Wizards,10,210.5,93,109
Jan 16,Milwaukee Bucks,8.5,207.5,113,104
Jan 18,Toronto Raptors,6,215.5,94,89
Jan 20,Portland Trail Blazers,2.5,209.5,93,92
Jan 21,Atlanta Hawks,10.5,199.5,93,110
Jan 24,Los Angeles Clippers,4.5,203.5,121,110
Jan 25,Milwaukee Bucks,11,207.5,114,109
Jan 27,Houston Rockets,7,221,118,123
Jan 29,Chicago Bulls,7,205.5,108,121
Jan 30,Sacramento Kings,3,207,122,119
Feb 1,Dallas Mavericks,7.5,206,95,113
Feb 2,San Antonio Spurs,17,214.5,86,102
Feb 4,Miami Heat,9,209,102,125
Feb 6,Detroit Pistons,9,211.5,96,113
Feb 8,San Antonio Spurs,12,207.5,103,111
Feb 9,Orlando Magic,6.5,209,112,111
Feb 11,Miami Heat,2.5,208.5,117,109
Feb 13,Charlotte Hornets,8,213.5,105,99
Feb 15,Boston Celtics,10,219,108,116
Feb 24,Washington Wizards,9.5,217.5,120,112
Feb 25,New York Knicks,6.5,220,109,110
Feb 27,Golden State Warriors,14,228,108,119
Mar 1,Miami Heat,9.5,212.5,98,125
Mar 3,New York Knicks,2,217,105,102
Mar 4,Detroit Pistons,5.5,213,106,136
Mar 6,Milwaukee Bucks,5.5,212,98,112
Mar 9,Portland Trail Blazers,9.5,221,108,114
Mar 11,Los Angeles Clippers,14.5,215,100,112
Mar 12,Los Angeles Lakers,4.5,223,118,116
Mar 14,Golden State Warriors,17,221,104,106
Mar 17,Dallas Mavericks,5,205,116,74
Mar 19,Boston Celtics,5,203,105,99
Mar 20,Orlando Magic,6,218.5,109,112
Mar 22,Oklahoma City Thunder,11.5,219,97,122
Mar 24,Chicago Bulls,6.5,211.5,117,107
Mar 26,Indiana Pacers,9,213.5,94,107
Mar 28,Brooklyn Nets,4,224.5,106,101
Mar 29,Atlanta Hawks,2.5,212.5,92,99
Mar 31,Cleveland Cavaliers,12.5,216.5,105,122
Apr 2,Toronto Raptors,11.5,211.5,105,113
Apr 4,Brooklyn Nets,2,221.5,118,141
Apr 6,Chicago Bulls,6,209,90,102
Apr 8,Milwaukee Bucks,7.5,209,82,90
Apr 10,Indiana Pacers,8.5,211.5,111,120
Apr 12,New York Knicks,3,209.5,113,114
