Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Charlotte Hornets,1.5,194.5,96,107
Oct 29,Brooklyn Nets,-8,205,110,108
Oct 30,Detroit Pistons,7.5,197.5,83,98
Nov 1,New Orleans Pelicans,3.5,204.5,117,113
Nov 3,Indiana Pacers,3,211,125,107
Nov 5,Sacramento Kings,-3.5,202,117,91
Nov 6,Dallas Mavericks,2.5,199,75,86
Nov 10,New Orleans Pelicans,-5.5,207.5,106,112
Nov 12,Memphis Grizzlies,-3,202,106,96
Nov 16,Atlanta Hawks,5.5,210.5,100,107
Nov 17,Miami Heat,4,202,73,96
Nov 19,Golden State Warriors,9,218,121,124
Nov 21,Orlando Magic,-6.5,200.5,93,89
Nov 25,Toronto Raptors,3.5,207.5,99,105
Nov 27,Orlando Magic,1.5,196.5,104,96
Nov 29,Cleveland Cavaliers,7.5,213.5,118,101
Dec 1,Brooklyn Nets,-5.5,215,111,93
Dec 3,Brooklyn Nets,-10,214.5,112,103
Dec 5,San Antonio Spurs,6.5,203,96,97
Dec 7,Portland Trail Blazers,-1.5,214.5,115,107
Dec 9,Atlanta Hawks,-3,205.5,110,114
Dec 10,Washington Wizards,4,210,105,110
Dec 12,Toronto Raptors,8,213,100,122
Dec 15,Chicago Bulls,PK,206.5,108,97
Dec 16,Chicago Bulls,5.5,204,95,69
Dec 20,Cleveland Cavaliers,3.5,212.5,108,114
Dec 21,Cleveland Cavaliers,6.5,207.5,102,113
Dec 23,Washington Wizards,-3,214.5,123,96
Dec 26,Washington Wizards,3.5,213,102,107
Dec 28,Detroit Pistons,3.5,203.5,119,94
Dec 30,Minnesota Timberwolves,1.5,209,99,116
Dec 31,Chicago Bulls,3,204,116,96
Jan 2,Oklahoma City Thunder,-1.5,213.5,98,94
Jan 4,New York Knicks,-3.5,213,105,104
Jan 6,New York Knicks,-5,213.5,111,116
Jan 8,Washington Wizards,PK,211.5,101,107
Jan 10,San Antonio Spurs,10,203.5,109,107
Jan 13,Miami Heat,-7.5,205,116,108
Jan 15,Atlanta Hawks,4,205.5,98,111
Jan 16,Philadelphia 76ers,-8.5,207.5,104,113
Jan 18,Houston Rockets,6.5,226,92,111
Jan 20,Orlando Magic,-3.5,211.5,96,112
Jan 21,Miami Heat,-2,205.5,97,109
Jan 23,Houston Rockets,5,226.5,127,114
Jan 25,Philadelphia 76ers,-11,207.5,109,114
Jan 27,Toronto Raptors,5.5,213.5,86,102
Jan 28,Boston Celtics,-2.5,217,108,112
Feb 1,Utah Jazz,7.5,197.5,88,104
Feb 3,Denver Nuggets,3,224,117,121
Feb 4,Phoenix Suns,-1.5,221,137,112
Feb 8,Miami Heat,-4,208,88,106
Feb 10,Los Angeles Lakers,-5.5,218,114,122
Feb 11,Indiana Pacers,6,211,116,100
Feb 13,Detroit Pistons,-2.5,209.5,102,89
Feb 15,Brooklyn Nets,-5,218.5,129,125
Feb 24,Utah Jazz,3.5,202.5,95,109
Feb 26,Phoenix Suns,-6,223.5,100,96
Feb 27,Cleveland Cavaliers,9.5,219,95,102
Mar 1,Denver Nuggets,-4.5,223.5,98,110
Mar 3,Los Angeles Clippers,5.5,210.5,112,101
Mar 4,Toronto Raptors,PK,203,101,94
Mar 6,Philadelphia 76ers,-5.5,212,112,98
Mar 8,New York Knicks,-6.5,208.5,104,93
Mar 10,Indiana Pacers,-2,204,99,85
Mar 11,Minnesota Timberwolves,-3,203,102,95
Mar 13,Memphis Grizzlies,4,199,93,113
Mar 15,Los Angeles Clippers,7.5,206.5,97,96
Mar 17,Los Angeles Lakers,-8,213,107,103
Mar 18,Golden State Warriors,10.5,214.5,92,117
Mar 21,Portland Trail Blazers,4,207.5,93,90
Mar 22,Sacramento Kings,-5.5,202.5,116,98
Mar 24,Atlanta Hawks,-6.5,201.5,100,97
Mar 26,Chicago Bulls,-6.5,201.5,94,109
Mar 28,Charlotte Hornets,4,199.5,118,108
Mar 29,Boston Celtics,7.5,209.5,103,100
Mar 31,Detroit Pistons,-7,197,108,105
Apr 2,Dallas Mavericks,-6.5,195,105,109
Apr 4,Oklahoma City Thunder,6,210,79,110
Apr 6,Indiana Pacers,4.5,203.5,89,104
Apr 8,Philadelphia 76ers,-7.5,209,90,82
Apr 10,Charlotte Hornets,-6.5,197.5,89,79
Apr 12,Boston Celtics,13.5,206,94,112
Apr 15,Toronto Raptors,7.5,197.5,97,83
Apr 18,Toronto Raptors,8,194.5,100,106
Apr 20,Toronto Raptors,-2,197,104,77
Apr 22,Toronto Raptors,-2.5,194,76,87
Apr 24,Toronto Raptors,6,193,93,118
Apr 27,Toronto Raptors,-1.5,196.5,89,92
