Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 27,Boston Celtics,-1,209,105,99
Oct 29,Indiana Pacers,-3.5,210,118,101
Oct 31,Brooklyn Nets,-6,209.5,118,88
Nov 2,Boston Celtics,3,207.5,100,107
Nov 4,New York Knicks,-7.5,209.5,104,117
Nov 5,Indiana Pacers,3.5,210,94,111
Nov 7,Orlando Magic,-7,199.5,112,80
Nov 9,Atlanta Hawks,3.5,202.5,107,115
Nov 10,Miami Heat,1,201,98,95
Nov 12,Washington Wizards,-10,199.5,106,95
Nov 15,Portland Trail Blazers,4.5,210.5,113,88
Nov 17,Utah Jazz,2.5,192.5,85,77
Nov 19,Los Angeles Clippers,8,203.5,95,102
Nov 20,Los Angeles Lakers,2.5,209.5,118,110
Nov 22,Denver Nuggets,-2,207.5,107,110
Nov 25,Philadelphia 76ers,-9.5,205,105,89
Nov 30,Los Angeles Lakers,-10.5,209.5,90,96
Dec 2,Cleveland Cavaliers,2,209.5,111,105
Dec 3,Dallas Mavericks,-3.5,190.5,82,107
Dec 5,Portland Trail Blazers,-4,212.5,110,112
Dec 6,Detroit Pistons,5.5,201,91,102
Dec 8,San Antonio Spurs,3.5,201,95,91
Dec 10,Miami Heat,-9.5,201,105,100
Dec 13,Minnesota Timberwolves,-5.5,207.5,94,99
Dec 15,Milwaukee Bucks,PK,206.5,97,108
Dec 16,Milwaukee Bucks,-5.5,204,69,95
Dec 19,Detroit Pistons,-2.5,196.5,113,82
Dec 21,Washington Wizards,-4,209.5,97,107
Dec 23,Charlotte Hornets,4.5,205,91,103
Dec 25,San Antonio Spurs,8.5,199,100,119
Dec 26,Indiana Pacers,-2,206,90,85
Dec 28,Brooklyn Nets,-9.5,213.5,101,99
Dec 30,Indiana Pacers,4,202.5,101,111
Dec 31,Milwaukee Bucks,-3,204,96,116
Jan 2,Charlotte Hornets,1.5,199.5,118,111
Jan 4,Cleveland Cavaliers,4,204,106,94
Jan 7,Toronto Raptors,1.5,207,123,118
Jan 9,Oklahoma City Thunder,PK,209.5,94,109
Jan 10,Washington Wizards,11.5,204,99,101
Jan 12,New York Knicks,3,207.5,89,104
Jan 14,New Orleans Pelicans,-3.5,206.5,107,99
Jan 15,Memphis Grizzlies,8.5,193,108,104
Jan 17,Dallas Mavericks,-4.5,197.5,98,99
Jan 20,Atlanta Hawks,4,204,93,102
Jan 21,Sacramento Kings,-6.5,205,102,99
Jan 24,Orlando Magic,-3,204.5,100,92
Jan 25,Atlanta Hawks,1.5,203.5,114,119
Jan 27,Miami Heat,-7,204.5,88,100
Jan 29,Philadelphia 76ers,-7,205.5,121,108
Feb 1,Oklahoma City Thunder,2.5,207,128,100
Feb 3,Houston Rockets,10,222,117,121
Feb 6,Sacramento Kings,4,206,112,107
Feb 8,Golden State Warriors,18.5,223,92,123
Feb 10,Phoenix Suns,-3.5,219,97,115
Feb 12,Minnesota Timberwolves,7,205,89,117
Feb 14,Toronto Raptors,4,210,105,94
Feb 16,Boston Celtics,1,214,104,103
Feb 24,Phoenix Suns,-6,219.5,128,121
Feb 25,Cleveland Cavaliers,6,210,117,99
Feb 28,Denver Nuggets,-2.5,222.5,107,125
Mar 2,Golden State Warriors,7.5,217.5,94,87
Mar 4,Los Angeles Clippers,3,210.5,91,101
Mar 6,Detroit Pistons,6,204.5,95,109
Mar 8,Orlando Magic,PK,204.5,91,98
Mar 10,Houston Rockets,6,223.5,94,115
Mar 12,Boston Celtics,7.5,207.5,80,100
Mar 13,Charlotte Hornets,7.5,199.5,115,109
Mar 15,Memphis Grizzlies,2.5,202,91,98
Mar 17,Washington Wizards,7.5,212,107,112
Mar 18,Utah Jazz,6.5,192.5,95,86
Mar 21,Toronto Raptors,7.5,197.5,120,122
Mar 22,Detroit Pistons,2,200.5,117,95
Mar 24,Philadelphia 76ers,-6.5,211.5,107,117
Mar 26,Milwaukee Bucks,6.5,201.5,109,94
Mar 30,Cleveland Cavaliers,5.5,212,99,93
Apr 1,Atlanta Hawks,-5.5,202,106,104
Apr 2,New Orleans Pelicans,8.5,210.5,117,110
Apr 4,New York Knicks,-5,203.5,91,100
Apr 6,Philadelphia 76ers,-6,209,102,90
Apr 8,Brooklyn Nets,-3.5,215,106,107
Apr 10,Orlando Magic,-8,214.5,122,75
Apr 12,Brooklyn Nets,-14.5,212.5,112,73
Apr 16,Boston Celtics,7,207,106,102
Apr 18,Boston Celtics,7.5,206.5,111,97
Apr 21,Boston Celtics,2.5,206,87,104
Apr 23,Boston Celtics,1.5,204,95,104
Apr 26,Boston Celtics,7.5,205.5,97,108
Apr 28,Boston Celtics,3,203,83,105
