Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 25,New York Knicks,-9.5,206,117,88
Oct 28,Toronto Raptors,-2.5,205.5,94,91
Oct 29,Orlando Magic,-11,205,105,99
Nov 1,Houston Rockets,-9.5,217,128,120
Nov 3,Boston Celtics,-10.5,207,128,122
Nov 5,Philadelphia 76ers,-12,210,102,101
Nov 8,Atlanta Hawks,-7.5,208,106,110
Nov 11,Washington Wizards,-7.5,211,105,94
Nov 13,Charlotte Hornets,-7,208,100,93
Nov 15,Toronto Raptors,-6,210,121,117
Nov 16,Indiana Pacers,3,208.5,93,103
Nov 18,Detroit Pistons,-9,203,104,81
Nov 23,Portland Trail Blazers,-11.5,219,137,125
Nov 25,Dallas Mavericks,-13,201.5,128,90
Nov 27,Philadelphia 76ers,-11.5,210,112,108
Nov 29,Milwaukee Bucks,-7.5,213.5,101,118
Dec 1,Los Angeles Clippers,-3.5,215.5,94,113
Dec 2,Chicago Bulls,-2,209.5,105,111
Dec 5,Toronto Raptors,2,214.5,116,112
Dec 7,New York Knicks,-8,213,126,94
Dec 9,Miami Heat,-12,208,114,84
Dec 10,Charlotte Hornets,-7.5,214.5,116,105
Dec 13,Memphis Grizzlies,-14.5,201.5,103,86
Dec 14,Memphis Grizzlies,7,189.5,85,93
Dec 17,Los Angeles Lakers,-15.5,219.5,119,108
Dec 20,Milwaukee Bucks,-3.5,212.5,114,108
Dec 21,Milwaukee Bucks,-6.5,207.5,113,102
Dec 23,Brooklyn Nets,-16.5,225.5,119,99
Dec 25,Golden State Warriors,3.5,219.5,109,108
Dec 26,Detroit Pistons,5.5,204.5,90,106
Dec 29,Boston Celtics,-6,217,124,118
Dec 31,Charlotte Hornets,-1,210.5,121,109
Jan 2,New Orleans Pelicans,-9,218,90,82
Jan 4,Chicago Bulls,-4,204,94,106
Jan 6,Brooklyn Nets,-13,221,116,108
Jan 8,Phoenix Suns,-8.5,221,120,116
Jan 10,Utah Jazz,-1.5,203,92,100
Jan 11,Portland Trail Blazers,-5,222,86,102
Jan 13,Sacramento Kings,-6.5,214.5,120,108
Jan 16,Golden State Warriors,9,227.5,91,126
Jan 19,Phoenix Suns,-11,220,118,103
Jan 21,San Antonio Spurs,-3.5,211.5,115,118
Jan 23,New Orleans Pelicans,-10,216,122,124
Jan 25,Sacramento Kings,-11,216.5,112,116
Jan 27,Brooklyn Nets,-17,226,124,116
Jan 29,Oklahoma City Thunder,-7.5,217.5,107,91
Jan 30,Dallas Mavericks,-4.5,208,97,104
Feb 1,Minnesota Timberwolves,-6.5,216.5,125,97
Feb 4,New York Knicks,-4.5,213.5,111,104
Feb 6,Washington Wizards,-1,219,140,135
Feb 8,Indiana Pacers,-3.5,216,132,117
Feb 9,Oklahoma City Thunder,1,219,109,118
Feb 11,Denver Nuggets,-11.5,232.5,125,109
Feb 14,Minnesota Timberwolves,-4,219.5,116,108
Feb 15,Indiana Pacers,-6,219,113,104
Feb 23,New York Knicks,-10.5,223.5,119,104
Feb 25,Chicago Bulls,-6,210,99,117
Feb 27,Milwaukee Bucks,-9.5,219,102,95
Mar 1,Boston Celtics,2,224.5,99,103
Mar 3,Atlanta Hawks,-3,214.5,135,130
Mar 4,Miami Heat,8.5,209.5,92,120
Mar 6,Miami Heat,-9.5,214.5,98,106
Mar 9,Detroit Pistons,-4.5,215.5,101,106
Mar 11,Orlando Magic,-8.5,215.5,116,104
Mar 12,Houston Rockets,7,236,112,117
Mar 14,Detroit Pistons,-7.5,216,128,96
Mar 16,Utah Jazz,-8,208.5,91,83
Mar 18,Los Angeles Clippers,13.5,213.5,78,108
Mar 19,Los Angeles Lakers,-12,222.5,125,120
Mar 22,Denver Nuggets,-2.5,228,113,126
Mar 24,Charlotte Hornets,-3.5,210.5,112,105
Mar 25,Washington Wizards,-6,224.5,115,127
Mar 27,San Antonio Spurs,5,212,74,103
Mar 30,Chicago Bulls,-5.5,212,93,99
Mar 31,Philadelphia 76ers,-12.5,216.5,122,105
Apr 2,Indiana Pacers,-8,214,135,130
Apr 4,Orlando Magic,-11,223,122,102
Apr 5,Boston Celtics,4,222,114,91
Apr 7,Atlanta Hawks,-15.5,212.5,100,114
Apr 9,Atlanta Hawks,-5,214,125,126
Apr 10,Miami Heat,10.5,204,121,124
Apr 12,Toronto Raptors,4,202,83,98
Apr 15,Indiana Pacers,-9,208.5,109,108
Apr 17,Indiana Pacers,-9,210,117,111
Apr 20,Indiana Pacers,-1.5,210,119,114
Apr 23,Indiana Pacers,-4,214,106,102
May 1,Toronto Raptors,-7,211,116,105
May 3,Toronto Raptors,-7,214.5,125,103
May 5,Toronto Raptors,-3,215,115,94
May 7,Toronto Raptors,-7,210.5,109,102
May 17,Boston Celtics,-4.5,219,117,104
May 19,Boston Celtics,-5.5,219,130,86
May 21,Boston Celtics,-16,214,108,111
May 23,Boston Celtics,-15.5,215.5,112,99
May 25,Boston Celtics,-10,214,135,102
Jun 1,Golden State Warriors,7.5,225,91,113
Jun 4,Golden State Warriors,9,222,113,132
Jun 7,Golden State Warriors,3.5,227,113,118
Jun 9,Golden State Warriors,5,227,137,116
Jun 12,Golden State Warriors,9,231.5,120,129
