Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Brooklyn Nets,-11.5,212,122,117
Oct 27,Chicago Bulls,1,209,99,105
Oct 29,Charlotte Hornets,-2.5,202.5,104,98
Nov 2,Chicago Bulls,-3,207.5,107,100
Nov 3,Cleveland Cavaliers,10.5,207,122,128
Nov 6,Denver Nuggets,-7,212.5,107,123
Nov 9,Washington Wizards,1.5,212,93,118
Nov 11,New York Knicks,-5,215,115,87
Nov 12,Indiana Pacers,-1.5,211.5,105,99
Nov 14,New Orleans Pelicans,-3.5,212,105,106
Nov 16,Dallas Mavericks,-6,199,90,83
Nov 18,Golden State Warriors,8.5,225.5,88,104
Nov 19,Detroit Pistons,2,199,94,92
Nov 21,Minnesota Timberwolves,-2,207.5,99,93
Nov 23,Brooklyn Nets,-7.5,215,111,92
Nov 25,San Antonio Spurs,3.5,200.5,103,109
Nov 28,Miami Heat,-4,201,112,104
Nov 30,Detroit Pistons,-6.5,200.5,114,121
Dec 2,Sacramento Kings,-6,210.5,97,92
Dec 3,Philadelphia 76ers,-10,207.5,107,106
Dec 5,Houston Rockets,5.5,218,106,107
Dec 7,Orlando Magic,-1.5,195.5,117,87
Dec 9,Toronto Raptors,-2.5,207.5,94,101
Dec 11,Oklahoma City Thunder,3,207,96,99
Dec 14,San Antonio Spurs,6.5,196.5,101,108
Dec 16,Charlotte Hornets,-6.5,207.5,96,88
Dec 18,Miami Heat,-4.5,202.5,105,95
Dec 20,Memphis Grizzlies,-2,194.5,112,109
Dec 22,Indiana Pacers,-1.5,209,109,102
Dec 23,Oklahoma City Thunder,-5.5,211.5,112,117
Dec 25,New York Knicks,-2,210,119,114
Dec 27,Memphis Grizzlies,-7.5,198,113,103
Dec 29,Cleveland Cavaliers,6,217,118,124
Dec 30,Miami Heat,-9.5,203,117,114
Jan 3,Utah Jazz,-5.5,200,115,104
Jan 6,Philadelphia 76ers,-11,212.5,110,106
Jan 7,New Orleans Pelicans,-6,212,117,108
Jan 10,Toronto Raptors,5.5,218,106,114
Jan 11,Washington Wizards,-5.5,217.5,117,108
Jan 13,Atlanta Hawks,3.5,212,103,101
Jan 16,Charlotte Hornets,-5.5,217,108,98
Jan 18,New York Knicks,-8.5,218.5,106,117
Jan 21,Portland Trail Blazers,-7.5,217.5,123,127
Jan 24,Washington Wizards,1,217,108,123
Jan 25,Houston Rockets,4,230,120,109
Jan 27,Orlando Magic,-7.5,214,128,98
Jan 28,Milwaukee Bucks,2.5,217,112,108
Jan 30,Detroit Pistons,-5.5,217,113,109
Feb 1,Toronto Raptors,-6,214,109,104
Feb 3,Los Angeles Lakers,-11,222.5,113,107
Feb 5,Los Angeles Clippers,-6,221,107,102
Feb 8,Sacramento Kings,-8.5,212,92,108
Feb 9,Portland Trail Blazers,3,222,120,111
Feb 11,Utah Jazz,6.5,205,112,104
Feb 13,Dallas Mavericks,-2,210.5,111,98
Feb 15,Philadelphia 76ers,-10,219,116,108
Feb 16,Chicago Bulls,-1,214,103,104
Feb 24,Toronto Raptors,1.5,213.5,97,107
Feb 26,Detroit Pistons,-2.5,213.5,104,98
Feb 27,Atlanta Hawks,-4.5,212.5,98,114
Mar 1,Cleveland Cavaliers,-2,224.5,103,99
Mar 3,Los Angeles Lakers,-7.5,219,115,95
Mar 5,Phoenix Suns,-4.5,229,106,109
Mar 6,Los Angeles Clippers,7,218,102,116
Mar 8,Golden State Warriors,8,224,99,86
Mar 10,Denver Nuggets,-2.5,223,99,119
Mar 12,Chicago Bulls,-7.5,207.5,100,80
Mar 15,Minnesota Timberwolves,-5.5,211,117,104
Mar 17,Brooklyn Nets,-8.5,213,98,95
Mar 19,Philadelphia 76ers,-5,203,99,105
Mar 20,Washington Wizards,-4,217,110,102
Mar 22,Indiana Pacers,-6.5,208.5,109,100
Mar 24,Phoenix Suns,-16,218,130,120
Mar 26,Miami Heat,-6,211,112,108
Mar 29,Milwaukee Bucks,-7.5,209.5,100,103
Mar 31,Orlando Magic,-10,216,117,116
Apr 2,New York Knicks,-7.5,206,110,94
Apr 5,Cleveland Cavaliers,-4,222,91,114
Apr 6,Atlanta Hawks,-1.5,209,116,123
Apr 8,Charlotte Hornets,PK,214,121,114
Apr 10,Brooklyn Nets,-11,222.5,114,105
Apr 12,Milwaukee Bucks,-13.5,206,112,94
Apr 16,Chicago Bulls,-7,207,102,106
Apr 18,Chicago Bulls,-7.5,206.5,97,111
Apr 21,Chicago Bulls,-2.5,206,104,87
Apr 23,Chicago Bulls,-1.5,204,104,95
Apr 26,Chicago Bulls,-7.5,205.5,108,97
Apr 28,Chicago Bulls,-3,203,105,83
Apr 30,Washington Wizards,-4.5,216,123,111
May 2,Washington Wizards,-5,218.5,129,119
May 4,Washington Wizards,5.5,218,89,116
May 7,Washington Wizards,5,214.5,102,121
May 10,Washington Wizards,-4,218,123,101
May 12,Washington Wizards,5,215.5,91,92
May 15,Washington Wizards,-5,211,115,105
May 17,Cleveland Cavaliers,4.5,219,104,117
May 19,Cleveland Cavaliers,5.5,219,86,130
May 21,Cleveland Cavaliers,16,214,111,108
May 23,Cleveland Cavaliers,15.5,215.5,99,112
May 25,Cleveland Cavaliers,10,214,102,135
