Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 27,Portland Trail Blazers,-2.5,210,114,106
Oct 30,Utah Jazz,-7.5,190,88,75
Oct 31,Phoenix Suns,-12.5,205,116,98
Nov 2,Oklahoma City Thunder,-7.5,209,83,85
Nov 4,Memphis Grizzlies,-5.5,197.5,99,88
Nov 5,San Antonio Spurs,4.5,196.5,116,92
Nov 7,Detroit Pistons,-8.5,197,114,82
Nov 9,Portland Trail Blazers,-11,211,111,80
Nov 11,Oklahoma City Thunder,-5,206,110,108
Nov 12,Minnesota Timberwolves,-5.5,207.5,119,105
Nov 14,Brooklyn Nets,-16.5,212,127,95
Nov 16,Memphis Grizzlies,-12.5,201,107,111
Nov 18,Sacramento Kings,-8.5,202.5,121,115
Nov 19,Chicago Bulls,-8,203.5,102,95
Nov 21,Toronto Raptors,-9,207.5,123,115
Nov 23,Dallas Mavericks,-10,193,124,104
Nov 25,Detroit Pistons,-6.5,200.5,97,108
Nov 27,Indiana Pacers,-12,206.5,70,91
Nov 29,Brooklyn Nets,-11,212.5,122,127
Dec 1,Cleveland Cavaliers,3.5,215.5,113,94
Dec 2,New Orleans Pelicans,-4,205.5,114,96
Dec 4,Indiana Pacers,-11.5,207,102,111
Dec 7,Golden State Warriors,4,224.5,98,115
Dec 10,New Orleans Pelicans,-15,200,133,105
Dec 12,Portland Trail Blazers,-10,219.5,121,120
Dec 14,Orlando Magic,-8.5,210.5,113,108
Dec 16,Miami Heat,-8,206.5,102,98
Dec 18,Washington Wizards,-5.5,212.5,110,117
Dec 20,Denver Nuggets,-8,218,119,102
Dec 22,San Antonio Spurs,2,205.5,106,101
Dec 23,Dallas Mavericks,-4.5,194.5,88,90
Dec 25,Los Angeles Lakers,-2.5,209.5,102,111
Dec 26,Denver Nuggets,4.5,208.5,102,106
Dec 28,New Orleans Pelicans,-1,209.5,98,102
Dec 30,Houston Rockets,10.5,217,116,140
Dec 31,Oklahoma City Thunder,9,209.5,88,114
Jan 2,Phoenix Suns,-4.5,214,109,98
Jan 4,Memphis Grizzlies,1.5,197,115,106
Jan 6,Sacramento Kings,-2.5,212.5,106,98
Jan 8,Miami Heat,-9,207,98,86
Jan 11,Orlando Magic,-10.5,209,105,96
Jan 14,Los Angeles Lakers,-11.5,219.5,113,97
Jan 16,Oklahoma City Thunder,-8.5,218,120,98
Jan 19,Minnesota Timberwolves,1.5,207.5,101,104
Jan 21,Denver Nuggets,5,222.5,98,123
Jan 23,Atlanta Hawks,7.5,206.5,115,105
Jan 24,Philadelphia 76ers,-4.5,203.5,110,121
Jan 28,Golden State Warriors,13,224.5,98,144
Feb 1,Phoenix Suns,-2.5,220,124,114
Feb 2,Golden State Warriors,8,230,120,133
Feb 5,Boston Celtics,6,221,102,107
Feb 6,Toronto Raptors,7,217.5,109,118
Feb 8,New York Knicks,-1,220,119,115
Feb 11,Charlotte Hornets,2.5,218,107,102
Feb 13,Utah Jazz,8,207,88,72
Feb 15,Atlanta Hawks,-3.5,213.5,99,84
Feb 23,Golden State Warriors,13.5,230,113,123
Feb 24,San Antonio Spurs,2.5,210.5,97,105
Feb 26,Charlotte Hornets,-11,212.5,124,121
Mar 1,Houston Rockets,-2.5,235.5,103,122
Mar 3,Milwaukee Bucks,-5.5,210.5,101,112
Mar 4,Chicago Bulls,-3,210.5,101,91
Mar 6,Boston Celtics,-7,218,116,102
Mar 8,Minnesota Timberwolves,-3.5,211.5,91,107
Mar 9,Memphis Grizzlies,2.5,206.5,114,98
Mar 11,Philadelphia 76ers,-14.5,215,112,100
Mar 13,Utah Jazz,2,202.5,108,114
Mar 15,Milwaukee Bucks,-7.5,206.5,96,97
Mar 16,Denver Nuggets,6,222,114,129
Mar 18,Cleveland Cavaliers,-13.5,213.5,108,78
Mar 20,New York Knicks,-11,215.5,114,105
Mar 21,Los Angeles Lakers,-10,223,133,109
Mar 23,Dallas Mavericks,-5.5,204.5,95,97
Mar 25,Utah Jazz,-5,200,108,95
Mar 26,Sacramento Kings,-13,211,97,98
Mar 29,Washington Wizards,-6.5,219,133,124
Mar 30,Phoenix Suns,-10,222,124,118
Apr 1,Los Angeles Lakers,-15,220.5,115,104
Apr 5,Dallas Mavericks,-11,204.5,112,101
Apr 8,San Antonio Spurs,1.5,208,98,87
Apr 10,Houston Rockets,-9.5,231,125,96
Apr 12,Sacramento Kings,-18,209.5,115,95
Apr 15,Utah Jazz,-6,198.5,95,97
Apr 18,Utah Jazz,-9,200,99,91
Apr 21,Utah Jazz,-1.5,197.5,111,106
Apr 23,Utah Jazz,5,196,98,105
Apr 25,Utah Jazz,-3,195.5,92,96
Apr 28,Utah Jazz,5.5,195,98,93
Apr 30,Utah Jazz,-3.5,190.5,91,104
