Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Minnesota Timberwolves,1.5,199,102,98
Oct 29,New York Knicks,3,199,104,111
Oct 30,Washington Wizards,3.5,204.5,112,103
Nov 1,Minnesota Timberwolves,7.5,197.5,80,116
Nov 2,New Orleans Pelicans,-5.5,206.5,89,83
Nov 4,Los Angeles Clippers,5.5,197.5,88,99
Nov 6,Portland Trail Blazers,PK,204,94,100
Nov 8,Denver Nuggets,-3.5,202,108,107
Nov 12,Milwaukee Bucks,3,202,96,106
Nov 14,Utah Jazz,6,189.5,102,96
Nov 16,Los Angeles Clippers,12.5,201,111,107
Nov 18,Dallas Mavericks,-3.5,185.5,80,64
Nov 19,Minnesota Timberwolves,1,200,93,71
Nov 21,Charlotte Hornets,5.5,198,105,90
Nov 23,Philadelphia 76ers,-6,195.5,104,99
Nov 25,Miami Heat,-5,185,81,90
Nov 26,Miami Heat,-1.5,187,110,107
Nov 28,Charlotte Hornets,1.5,197.5,85,104
Nov 30,Toronto Raptors,13,195,105,120
Dec 1,Orlando Magic,4,190.5,95,94
Dec 3,Los Angeles Lakers,-2.5,198,103,100
Dec 5,New Orleans Pelicans,4.5,196,110,108
Dec 6,Philadelphia 76ers,-7.5,194.5,96,91
Dec 8,Portland Trail Blazers,2.5,205,88,86
Dec 10,Golden State Warriors,13,211.5,110,89
Dec 13,Cleveland Cavaliers,14.5,201.5,86,103
Dec 14,Cleveland Cavaliers,-7,189.5,93,85
Dec 16,Sacramento Kings,-5,193,92,96
Dec 18,Utah Jazz,1.5,185.5,73,82
Dec 20,Boston Celtics,2,194.5,109,112
Dec 21,Detroit Pistons,6,188.5,98,86
Dec 23,Houston Rockets,3.5,205.5,115,109
Dec 26,Orlando Magic,-3,193,102,112
Dec 27,Boston Celtics,7.5,198,103,113
Dec 29,Oklahoma City Thunder,-1,197.5,114,80
Dec 31,Sacramento Kings,-2,195.5,112,98
Jan 3,Los Angeles Lakers,-5,207,102,116
Jan 4,Los Angeles Clippers,-1.5,197,106,115
Jan 6,Golden State Warriors,14,216,128,119
Jan 8,Utah Jazz,-2.5,187.5,88,79
Jan 11,Oklahoma City Thunder,4.5,204,95,103
Jan 13,Houston Rockets,7.5,216,110,105
Jan 15,Chicago Bulls,-8.5,193,104,108
Jan 18,Washington Wizards,2,208,101,104
Jan 20,Sacramento Kings,-8,200,107,91
Jan 21,Houston Rockets,PK,215.5,95,119
Jan 25,Toronto Raptors,-5,201,101,99
Jan 27,Portland Trail Blazers,PK,206,109,112
Jan 28,Utah Jazz,7.5,191,102,95
Jan 30,Phoenix Suns,-4,207.5,115,96
Feb 1,Denver Nuggets,-4,212,119,99
Feb 3,Oklahoma City Thunder,-1,204.5,102,114
Feb 4,Minnesota Timberwolves,4.5,203.5,107,99
Feb 6,San Antonio Spurs,-1,200.5,89,74
Feb 8,Phoenix Suns,-7.5,211.5,110,91
Feb 10,Golden State Warriors,7.5,216,107,122
Feb 13,Brooklyn Nets,-8.5,211,112,103
Feb 15,New Orleans Pelicans,-8,205,91,95
Feb 24,Indiana Pacers,PK,204,92,102
Feb 26,Denver Nuggets,2,217,105,98
Feb 28,Phoenix Suns,-9,211.5,130,112
Mar 3,Dallas Mavericks,-2.5,190,100,104
Mar 4,Houston Rockets,8.5,222,108,123
Mar 6,Brooklyn Nets,-10.5,213,109,122
Mar 9,Los Angeles Clippers,-2.5,206.5,98,114
Mar 11,Atlanta Hawks,-6.5,206.5,90,107
Mar 13,Milwaukee Bucks,-4,199,113,93
Mar 15,Chicago Bulls,-2.5,202,98,91
Mar 16,Atlanta Hawks,4,202,103,91
Mar 18,San Antonio Spurs,4,196,104,96
Mar 21,New Orleans Pelicans,3,208,82,95
Mar 23,San Antonio Spurs,8,197.5,90,97
Mar 26,Golden State Warriors,11.5,209,94,106
Mar 27,Sacramento Kings,-7,198.5,90,91
Mar 29,Indiana Pacers,-4,196,110,97
Mar 31,Dallas Mavericks,-3.5,191.5,99,90
Apr 2,Los Angeles Lakers,-7,205.5,103,108
Apr 4,San Antonio Spurs,9,195.5,89,95
Apr 5,Oklahoma City Thunder,2.5,198.5,100,103
Apr 7,New York Knicks,-12.5,195.5,101,88
Apr 9,Detroit Pistons,-5.5,193.5,90,103
Apr 12,Dallas Mavericks,-8.5,189,93,100
Apr 15,San Antonio Spurs,9.5,190.5,82,111
Apr 17,San Antonio Spurs,10.5,189,82,96
Apr 20,San Antonio Spurs,3.5,188,105,94
Apr 22,San Antonio Spurs,5.5,187,110,108
Apr 25,San Antonio Spurs,10.5,188.5,103,116
Apr 27,San Antonio Spurs,5.5,190.5,96,103
