Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 27,Washington Wizards,-4,202.5,114,99
Oct 29,Philadelphia 76ers,-8,202,104,72
Oct 31,Sacramento Kings,-7,203.5,106,95
Nov 2,Los Angeles Lakers,-12,206,116,123
Nov 4,Washington Wizards,1.5,205.5,92,95
Nov 5,Houston Rockets,-3,218,112,97
Nov 8,Cleveland Cavaliers,7.5,208,110,106
Nov 9,Chicago Bulls,-3.5,202.5,115,107
Nov 12,Philadelphia 76ers,-14.5,207,117,96
Nov 15,Miami Heat,-7,199,93,90
Nov 16,Milwaukee Bucks,-5.5,210.5,107,100
Nov 18,Charlotte Hornets,2,208,96,100
Nov 20,New York Knicks,-4.5,208.5,94,104
Nov 22,New Orleans Pelicans,-8,209.5,94,112
Nov 23,Indiana Pacers,-1,204.5,96,85
Nov 25,Utah Jazz,3.5,195.5,68,95
Nov 27,Los Angeles Lakers,-6,209.5,94,109
Nov 28,Golden State Warriors,14,218,100,105
Nov 30,Phoenix Suns,-4,211,107,109
Dec 2,Detroit Pistons,-1.5,199,85,121
Dec 3,Toronto Raptors,8.5,207,84,128
Dec 5,Oklahoma City Thunder,-4,212.5,99,102
Dec 7,Miami Heat,-9,203.5,103,95
Dec 9,Milwaukee Bucks,3,205.5,114,110
Dec 13,Orlando Magic,-8.5,201.5,120,131
Dec 16,Toronto Raptors,7,214.5,125,121
Dec 17,Charlotte Hornets,-2.5,208.5,99,107
Dec 19,Oklahoma City Thunder,3,211.5,110,108
Dec 21,Minnesota Timberwolves,-4,216,84,92
Dec 23,Denver Nuggets,5.5,217,109,108
Dec 26,Minnesota Timberwolves,-2,208.5,90,104
Dec 28,New York Knicks,-5,211,102,98
Dec 30,Detroit Pistons,-2.5,199.5,105,98
Jan 1,San Antonio Spurs,5,199.5,114,112
Jan 4,Orlando Magic,-2,207,111,92
Jan 5,New Orleans Pelicans,2,208.5,99,94
Jan 7,Dallas Mavericks,-1.5,197,97,82
Jan 10,Brooklyn Nets,-8.5,216.5,117,97
Jan 13,Boston Celtics,-3.5,212,101,103
Jan 15,Milwaukee Bucks,-4,205.5,111,98
Jan 16,New York Knicks,-2.5,210,108,107
Jan 18,Detroit Pistons,-2.5,200.5,95,118
Jan 20,Chicago Bulls,-4,204,102,93
Jan 21,Philadelphia 76ers,-10.5,199.5,110,93
Jan 23,Los Angeles Clippers,-7.5,206.5,105,115
Jan 25,Chicago Bulls,-1.5,203.5,119,114
Jan 27,Washington Wizards,-3.5,214.5,86,112
Jan 29,New York Knicks,-6,209.5,142,139
Feb 1,Miami Heat,1.5,205.5,93,116
Feb 2,Houston Rockets,9.5,226,113,108
Feb 4,Orlando Magic,-7.5,210,113,86
Feb 6,Utah Jazz,-1,197.5,95,120
Feb 8,Denver Nuggets,-4,224,117,106
Feb 10,Sacramento Kings,-2,209,107,108
Feb 13,Portland Trail Blazers,2,218,109,104
Feb 15,Los Angeles Clippers,3.5,213.5,84,99
Feb 24,Miami Heat,-3,206.5,90,108
Feb 25,Orlando Magic,-4,210,86,105
Feb 27,Boston Celtics,4.5,212.5,114,98
Mar 1,Dallas Mavericks,-6,195.5,100,95
Mar 3,Cleveland Cavaliers,3,214.5,130,135
Mar 5,Indiana Pacers,-3,209,96,97
Mar 6,Golden State Warriors,5.5,217.5,111,119
Mar 8,Brooklyn Nets,-10,220,110,105
Mar 10,Toronto Raptors,-3,203.5,105,99
Mar 11,Memphis Grizzlies,6.5,206.5,107,90
Mar 13,San Antonio Spurs,7,203.5,99,107
Mar 16,Memphis Grizzlies,-4,202,91,103
Mar 18,Portland Trail Blazers,-2,214.5,97,113
Mar 20,Charlotte Hornets,6,205.5,90,105
Mar 22,Washington Wizards,7.5,215.5,100,104
Mar 24,Milwaukee Bucks,6.5,201.5,97,100
Mar 26,Brooklyn Nets,-6.5,217,92,107
Mar 28,Phoenix Suns,-10,217.5,95,91
Mar 29,Philadelphia 76ers,-2.5,212.5,99,92
Apr 1,Chicago Bulls,5.5,202,104,106
Apr 2,Brooklyn Nets,-3,216,82,91
Apr 6,Boston Celtics,1.5,209,123,116
Apr 7,Cleveland Cavaliers,15.5,212.5,114,100
Apr 9,Cleveland Cavaliers,5,214,126,125
Apr 11,Charlotte Hornets,-8,203.5,103,76
Apr 12,Indiana Pacers,15,200.5,86,104
Apr 16,Washington Wizards,5.5,209.5,107,114
Apr 19,Washington Wizards,6,211.5,101,109
Apr 22,Washington Wizards,-2.5,211,116,98
Apr 24,Washington Wizards,-2.5,212.5,111,101
Apr 26,Washington Wizards,6.5,212,99,103
Apr 28,Washington Wizards,-3,208.5,99,115
