Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Orlando Magic,3,199,108,96
Oct 28,Charlotte Hornets,1,197,91,97
Oct 30,San Antonio Spurs,6.5,194,99,106
Nov 1,Sacramento Kings,-3.5,199.5,108,96
Nov 4,Toronto Raptors,7,202.5,87,96
Nov 7,Oklahoma City Thunder,5.5,203,85,97
Nov 10,Chicago Bulls,-1,201,95,98
Nov 12,Utah Jazz,1.5,186.5,91,102
Nov 14,San Antonio Spurs,11,193.5,90,94
Nov 15,Atlanta Hawks,7,199,90,93
Nov 17,Milwaukee Bucks,-4,202,96,73
Nov 19,Washington Wizards,4.5,198.5,114,111
Nov 21,Philadelphia 76ers,-4.5,201.5,94,101
Nov 23,Detroit Pistons,5,188.5,84,107
Nov 25,Memphis Grizzlies,5,185,90,81
Nov 26,Memphis Grizzlies,1.5,187,107,110
Nov 28,Boston Celtics,4,201,104,112
Nov 30,Denver Nuggets,6.5,207.5,106,98
Dec 1,Utah Jazz,7,186.5,111,110
Dec 3,Portland Trail Blazers,6,216,92,99
Dec 6,New York Knicks,-1,205.5,103,114
Dec 7,Atlanta Hawks,9,203.5,95,103
Dec 9,Cleveland Cavaliers,12,208,84,114
Dec 10,Chicago Bulls,9.5,201,100,105
Dec 12,Washington Wizards,1.5,208.5,112,101
Dec 14,Indiana Pacers,1,204,95,89
Dec 16,Los Angeles Clippers,8,206.5,98,102
Dec 18,Boston Celtics,4.5,202.5,95,105
Dec 20,Orlando Magic,-3.5,199,130,136
Dec 22,Los Angeles Lakers,-6,211.5,115,107
Dec 23,New Orleans Pelicans,4.5,205.5,87,91
Dec 27,Oklahoma City Thunder,4.5,203,94,106
Dec 29,Charlotte Hornets,6,204.5,82,91
Dec 30,Boston Celtics,9.5,203,114,117
Jan 1,Detroit Pistons,6.5,198,98,107
Jan 3,Phoenix Suns,5,212.5,90,99
Jan 4,Sacramento Kings,7.5,204,107,102
Jan 6,Los Angeles Lakers,2.5,213.5,100,127
Jan 8,Los Angeles Clippers,9,207,86,98
Jan 10,Golden State Warriors,14.5,218,95,107
Jan 13,Milwaukee Bucks,7.5,205,108,116
Jan 17,Houston Rockets,7.5,221.5,109,103
Jan 19,Dallas Mavericks,-2,200,99,95
Jan 21,Milwaukee Bucks,2,205.5,109,97
Jan 23,Golden State Warriors,11,218.5,105,102
Jan 25,Brooklyn Nets,-2.5,217.5,109,106
Jan 27,Chicago Bulls,7,204.5,100,88
Jan 28,Detroit Pistons,3,202,116,103
Jan 30,Brooklyn Nets,-7.5,218.5,104,96
Feb 1,Atlanta Hawks,-1.5,205.5,116,93
Feb 4,Philadelphia 76ers,-9,209,125,102
Feb 6,Minnesota Timberwolves,1,205.5,115,113
Feb 8,Milwaukee Bucks,4,208,106,88
Feb 10,Brooklyn Nets,-5.5,214,108,99
Feb 11,Philadelphia 76ers,-2.5,208.5,109,117
Feb 13,Orlando Magic,-8,207.5,107,116
Feb 15,Houston Rockets,10,224.5,117,109
Feb 24,Atlanta Hawks,3,206.5,108,90
Feb 25,Indiana Pacers,-4.5,209,113,95
Feb 27,Dallas Mavericks,-1,201.5,89,96
Mar 1,Philadelphia 76ers,-9.5,212.5,125,98
Mar 3,Orlando Magic,-5,210,99,110
Mar 4,Cleveland Cavaliers,-8.5,209.5,120,92
Mar 6,Cleveland Cavaliers,9.5,214.5,106,98
Mar 8,Charlotte Hornets,-4,204,108,101
Mar 11,Toronto Raptors,-6,202.5,104,89
Mar 12,Indiana Pacers,6.5,201,98,102
Mar 15,New Orleans Pelicans,-6.5,203,120,112
Mar 17,Minnesota Timberwolves,-4.5,205,123,105
Mar 19,Portland Trail Blazers,-6,213.5,104,115
Mar 21,Phoenix Suns,-11.5,215,112,97
Mar 23,Toronto Raptors,-4,200,84,101
Mar 26,Boston Celtics,6,211,108,112
Mar 28,Detroit Pistons,-3,201,97,96
Mar 29,New York Knicks,-2.5,207,105,88
Mar 31,New York Knicks,-10.5,203.5,94,98
Apr 2,Denver Nuggets,-3.5,219,113,116
Apr 5,Charlotte Hornets,2.5,204,112,99
Apr 7,Toronto Raptors,4.5,207.5,94,96
Apr 8,Washington Wizards,3.5,216.5,106,103
Apr 10,Cleveland Cavaliers,-10.5,204,124,121
Apr 12,Washington Wizards,-11,206,110,102
