Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Milwaukee Bucks,-1.5,194.5,107,96
Oct 28,Miami Heat,-1,197,97,91
Oct 29,Boston Celtics,2.5,202.5,98,104
Nov 2,Philadelphia 76ers,-13,197,109,93
Nov 4,Brooklyn Nets,-6.5,203,99,95
Nov 7,Indiana Pacers,-3,206,122,100
Nov 9,Utah Jazz,-3,193,104,98
Nov 11,Toronto Raptors,PK,203,111,113
Nov 13,Cleveland Cavaliers,7,208,93,100
Nov 15,Minnesota Timberwolves,-1,205,115,108
Nov 18,Atlanta Hawks,-2,208,100,96
Nov 19,New Orleans Pelicans,-2,205.5,116,121
Nov 21,Memphis Grizzlies,-5.5,198,90,105
Nov 23,San Antonio Spurs,5.5,201,114,119
Nov 25,New York Knicks,-1.5,210.5,111,113
Nov 26,New York Knicks,-5.5,207,107,102
Nov 28,Memphis Grizzlies,-1.5,197.5,104,85
Nov 29,Detroit Pistons,-3.5,200,89,112
Dec 1,Dallas Mavericks,-12,193.5,97,87
Dec 3,Minnesota Timberwolves,-6,210.5,120,125
Dec 5,Dallas Mavericks,-3.5,194,109,101
Dec 7,Detroit Pistons,-5.5,202,87,77
Dec 9,Orlando Magic,-7,203.5,109,88
Dec 10,Cleveland Cavaliers,7.5,214.5,105,116
Dec 12,Indiana Pacers,-1.5,208.5,94,110
Dec 14,Washington Wizards,-2,211,106,109
Dec 16,Boston Celtics,6.5,207.5,88,96
Dec 17,Atlanta Hawks,2.5,208.5,107,99
Dec 20,Los Angeles Lakers,-8.5,212.5,117,113
Dec 23,Chicago Bulls,-4.5,205,103,91
Dec 26,Brooklyn Nets,-6.5,217.5,118,120
Dec 28,Orlando Magic,-4.5,204.5,120,101
Dec 29,Miami Heat,-6,204.5,91,82
Dec 31,Cleveland Cavaliers,1,210.5,109,121
Jan 2,Chicago Bulls,-1.5,199.5,111,118
Jan 4,Oklahoma City Thunder,-2,208.5,123,112
Jan 5,Detroit Pistons,5,208,114,115
Jan 7,San Antonio Spurs,11,209,85,102
Jan 10,Houston Rockets,9,227,114,121
Jan 13,Philadelphia 76ers,-5,208,93,102
Jan 16,Boston Celtics,5.5,217,98,108
Jan 18,Portland Trail Blazers,-5.5,217.5,107,85
Jan 20,Toronto Raptors,-1.5,216,113,78
Jan 21,Brooklyn Nets,-12,222,112,105
Jan 23,Washington Wizards,-6,213,99,109
Jan 25,Golden State Warriors,9.5,223.5,103,113
Jan 27,New York Knicks,-1,211.5,107,110
Jan 28,Sacramento Kings,-7,204.5,106,109
Jan 31,Portland Trail Blazers,4,215,98,115
Feb 1,Golden State Warriors,15,227,111,126
Feb 4,Utah Jazz,8,197.5,98,105
Feb 7,Brooklyn Nets,-10,219.5,111,107
Feb 9,Houston Rockets,2.5,224.5,95,107
Feb 11,Los Angeles Clippers,-2.5,218,102,107
Feb 13,Philadelphia 76ers,-8,213.5,99,105
Feb 15,Toronto Raptors,6,213,85,90
Feb 23,Detroit Pistons,5,208,108,114
Feb 25,Sacramento Kings,-4,208,99,85
Feb 26,Los Angeles Clippers,11,212.5,121,124
Feb 28,Los Angeles Lakers,-5,215,109,104
Mar 2,Phoenix Suns,-3.5,219,103,120
Mar 4,Denver Nuggets,5.5,222,112,102
Mar 6,Indiana Pacers,-4.5,205,100,88
Mar 8,Miami Heat,4,204,101,108
Mar 10,Orlando Magic,-9.5,204,121,81
Mar 11,New Orleans Pelicans,-3.5,204,122,125
Mar 13,Chicago Bulls,-7.5,199.5,109,115
Mar 15,Indiana Pacers,3,203,77,98
Mar 18,Washington Wizards,-4,215.5,98,93
Mar 20,Atlanta Hawks,-6,205.5,105,90
Mar 22,Orlando Magic,-4.5,206.5,109,102
Mar 24,Cleveland Cavaliers,3.5,210.5,105,112
Mar 26,Phoenix Suns,-13,212,120,106
Mar 28,Milwaukee Bucks,-4,199.5,108,118
Mar 29,Toronto Raptors,5.5,202.5,110,106
Mar 31,Denver Nuggets,-2,219.5,122,114
Apr 2,Oklahoma City Thunder,5,211.5,113,101
Apr 4,Washington Wizards,3,219.5,111,118
Apr 5,Miami Heat,-2.5,204,99,112
Apr 8,Boston Celtics,PK,214,114,121
Apr 10,Milwaukee Bucks,6.5,197.5,79,89
Apr 11,Atlanta Hawks,8,203.5,76,103
