Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 25,Portland Trail Blazers,6,192.5,104,113
Oct 28,Los Angeles Lakers,-9,201,96,89
Oct 30,Los Angeles Clippers,7.5,190,75,88
Nov 1,San Antonio Spurs,10,186,106,91
Nov 2,Dallas Mavericks,-3.5,186.5,97,81
Nov 4,San Antonio Spurs,3.5,184,86,100
Nov 6,New York Knicks,-2.5,193,114,109
Nov 7,Philadelphia 76ers,-5,189,109,84
Nov 9,Charlotte Hornets,3,193,98,104
Nov 11,Orlando Magic,-4.5,191,87,74
Nov 12,Miami Heat,-1.5,186.5,102,91
Nov 14,Memphis Grizzlies,-6,189.5,96,102
Nov 17,Chicago Bulls,-2.5,192.5,77,85
Nov 19,Houston Rockets,6.5,200.5,102,111
Nov 20,Denver Nuggets,3.5,197.5,91,105
Nov 23,Denver Nuggets,-7.5,198.5,108,83
Nov 25,Atlanta Hawks,-3.5,195.5,95,68
Nov 28,Minnesota Timberwolves,-3,193.5,112,103
Nov 29,Houston Rockets,1.5,204.5,120,101
Dec 1,Miami Heat,-7,186.5,110,111
Dec 3,Denver Nuggets,-7.5,201,105,98
Dec 5,Los Angeles Lakers,-4.5,198,107,101
Dec 6,Phoenix Suns,-7,204.5,112,105
Dec 8,Golden State Warriors,11.5,208,99,106
Dec 10,Sacramento Kings,-6,196.5,104,84
Dec 14,Oklahoma City Thunder,-7.5,199,109,89
Dec 16,Dallas Mavericks,-11,186,103,100
Dec 18,Memphis Grizzlies,-1.5,185.5,82,73
Dec 20,Golden State Warriors,12.5,210.5,74,104
Dec 21,Sacramento Kings,-8,194,93,94
Dec 23,Toronto Raptors,1,198.5,98,104
Dec 27,Los Angeles Lakers,-5.5,204,102,100
Dec 29,Philadelphia 76ers,-14.5,196.5,100,83
Dec 31,Phoenix Suns,-11.5,207.5,91,86
Jan 2,Brooklyn Nets,-6.5,206,101,89
Jan 3,Boston Celtics,5.5,200,104,115
Jan 5,Toronto Raptors,4.5,197,93,101
Jan 7,Minnesota Timberwolves,-4.5,193,94,92
Jan 8,Memphis Grizzlies,2.5,187.5,79,88
Jan 10,Cleveland Cavaliers,1.5,203,100,92
Jan 13,Detroit Pistons,-11,191,110,77
Jan 14,Orlando Magic,-12,194.5,114,107
Jan 16,Phoenix Suns,-6.5,205,106,101
Jan 20,Dallas Mavericks,-6,188.5,112,107
Jan 21,Indiana Pacers,-7,200,109,100
Jan 23,Oklahoma City Thunder,-5,203,95,97
Jan 24,Denver Nuggets,2,210.5,93,103
Jan 26,Los Angeles Lakers,-14,203,96,88
Jan 28,Memphis Grizzlies,-7.5,191,95,102
Feb 1,Milwaukee Bucks,-7.5,197.5,104,88
Feb 4,Charlotte Hornets,-8,197.5,105,98
Feb 6,Atlanta Hawks,1,197.5,120,95
Feb 8,New Orleans Pelicans,-3.5,199.5,127,94
Feb 9,Dallas Mavericks,-2,193.5,105,112
Feb 11,Boston Celtics,-6.5,205,104,112
Feb 13,Los Angeles Clippers,-8,207,72,88
Feb 15,Portland Trail Blazers,-9,205,111,88
Feb 24,Milwaukee Bucks,-3.5,202.5,109,95
Feb 26,Washington Wizards,2,204,102,92
Feb 28,Oklahoma City Thunder,-2,203,106,109
Mar 1,Minnesota Timberwolves,-6.5,199.5,80,107
Mar 3,Brooklyn Nets,-12.5,206.5,112,97
Mar 5,Sacramento Kings,-10,191.5,110,109
Mar 6,New Orleans Pelicans,-5,196.5,88,83
Mar 8,Houston Rockets,8.5,216,115,108
Mar 11,Oklahoma City Thunder,4.5,207,104,112
Mar 13,Los Angeles Clippers,-2,202.5,114,108
Mar 15,Detroit Pistons,-3,199.5,97,83
Mar 16,Cleveland Cavaliers,8,208.5,83,91
Mar 18,Chicago Bulls,-6.5,192.5,86,95
Mar 20,Indiana Pacers,-2.5,193.5,100,107
Mar 22,New York Knicks,-12,202.5,108,101
Mar 25,Los Angeles Clippers,5,200,95,108
Mar 27,New Orleans Pelicans,-6,196,108,100
Mar 29,Sacramento Kings,-7.5,195.5,112,82
Mar 31,Washington Wizards,-3,208.5,95,88
Apr 2,San Antonio Spurs,5,189,103,109
Apr 4,Portland Trail Blazers,-6,201.5,106,87
Apr 7,Minnesota Timberwolves,-11,197.5,120,113
Apr 8,Portland Trail Blazers,2.5,201.5,86,101
Apr 10,Golden State Warriors,10.5,206,105,99
Apr 12,San Antonio Spurs,-4,192,101,97
Apr 15,Los Angeles Clippers,6,198.5,97,95
Apr 18,Los Angeles Clippers,9,200,91,99
Apr 21,Los Angeles Clippers,1.5,197.5,106,111
Apr 23,Los Angeles Clippers,-5,196,105,98
Apr 25,Los Angeles Clippers,3,195.5,96,92
Apr 28,Los Angeles Clippers,-5.5,195,93,98
Apr 30,Los Angeles Clippers,3.5,190.5,104,91
May 2,Golden State Warriors,13,206.5,94,106
May 4,Golden State Warriors,14,206,104,115
May 6,Golden State Warriors,7,209,91,102
May 8,Golden State Warriors,9,207,95,121
