Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Phoenix Suns,3,211.5,113,94
Oct 27,San Antonio Spurs,7.5,203,94,102
Oct 29,Minnesota Timberwolves,PK,202.5,106,103
Oct 31,Atlanta Hawks,7,203.5,95,106
Nov 1,Miami Heat,3.5,199.5,96,108
Nov 3,Orlando Magic,PK,198.5,94,102
Nov 5,Milwaukee Bucks,3.5,202,91,117
Nov 6,Toronto Raptors,7.5,197.5,96,91
Nov 8,New Orleans Pelicans,-6.5,205,102,94
Nov 10,Los Angeles Lakers,-5.5,211.5,91,101
Nov 11,Portland Trail Blazers,7,208,120,122
Nov 16,San Antonio Spurs,5.5,197.5,105,110
Nov 18,Los Angeles Clippers,8.5,202.5,115,121
Nov 20,Toronto Raptors,3.5,211,102,99
Nov 23,Oklahoma City Thunder,-2,214,116,101
Nov 25,Houston Rockets,3.5,216.5,104,117
Nov 27,Brooklyn Nets,-5,219.5,122,105
Nov 28,Washington Wizards,5,210,95,101
Dec 2,Boston Celtics,6,210.5,92,97
Dec 4,New York Knicks,1.5,209.5,98,106
Dec 7,Dallas Mavericks,-3,196,120,89
Dec 9,New York Knicks,-5.5,210,100,103
Dec 10,Utah Jazz,6,196.5,84,104
Dec 12,Los Angeles Lakers,-8.5,216.5,116,92
Dec 14,Houston Rockets,13.5,213,98,132
Dec 16,Memphis Grizzlies,5,193,96,92
Dec 18,Dallas Mavericks,-1,194,79,99
Dec 20,Portland Trail Blazers,1,217.5,126,121
Dec 21,Utah Jazz,8,194,94,93
Dec 23,Minnesota Timberwolves,5,206.5,109,105
Dec 26,Philadelphia 76ers,-8.5,205.5,102,100
Dec 28,Portland Trail Blazers,2,206.5,89,102
Dec 31,Memphis Grizzlies,2,195.5,98,112
Jan 3,Denver Nuggets,3.5,214.5,120,113
Jan 4,Miami Heat,-7.5,204,102,107
Jan 6,Los Angeles Clippers,2.5,212.5,98,106
Jan 8,Golden State Warriors,12,226,106,117
Jan 10,Detroit Pistons,-3,206,100,94
Jan 13,Cleveland Cavaliers,6.5,214.5,108,120
Jan 15,Oklahoma City Thunder,1.5,213.5,118,122
Jan 18,Indiana Pacers,-2.5,214,100,106
Jan 20,Memphis Grizzlies,8,200,91,107
Jan 21,Chicago Bulls,6.5,205,99,102
Jan 23,Detroit Pistons,7,205.5,109,104
Jan 25,Cleveland Cavaliers,11,216.5,116,112
Jan 27,Indiana Pacers,4.5,211.5,111,115
Jan 28,Charlotte Hornets,7,204.5,109,106
Jan 30,Philadelphia 76ers,-3,207,119,122
Jan 31,Houston Rockets,12,225.5,83,105
Feb 3,Phoenix Suns,-4,218,103,105
Feb 4,Golden State Warriors,14.5,225,109,106
Feb 6,Chicago Bulls,-4,206,107,112
Feb 8,Boston Celtics,8.5,212,108,92
Feb 10,Atlanta Hawks,2,209,108,107
Feb 12,New Orleans Pelicans,-4,214,105,99
Feb 14,Los Angeles Lakers,2.5,218.5,97,96
Feb 15,Golden State Warriors,19,225.5,86,109
Feb 23,Denver Nuggets,6.5,222,116,100
Feb 25,Charlotte Hornets,4,208,85,99
Feb 27,Minnesota Timberwolves,4,209.5,88,102
Mar 1,Brooklyn Nets,-2.5,216,100,109
Mar 5,Utah Jazz,10,191.5,109,110
Mar 6,Denver Nuggets,10.5,215.5,96,108
Mar 8,San Antonio Spurs,11.5,195,104,114
Mar 10,Washington Wizards,8,214.5,122,130
Mar 11,Denver Nuggets,5,217,92,105
Mar 13,Orlando Magic,1.5,206.5,120,115
Mar 15,Phoenix Suns,6,218.5,107,101
Mar 18,Oklahoma City Thunder,12.5,212,94,110
Mar 19,San Antonio Spurs,14.5,202,102,118
Mar 22,Milwaukee Bucks,5.5,202.5,98,116
Mar 24,Golden State Warriors,18.5,214.5,100,114
Mar 26,Los Angeles Clippers,13,211,98,97
Mar 27,Memphis Grizzlies,7,198.5,91,90
Mar 29,Utah Jazz,7.5,195.5,82,112
Mar 31,New Orleans Pelicans,11.5,208,89,117
Apr 1,Minnesota Timberwolves,12.5,207.5,123,117
Apr 4,Dallas Mavericks,2.5,197,98,87
Apr 7,Los Angeles Lakers,2.5,217,94,98
Apr 9,Houston Rockets,9,225.5,128,135
Apr 11,Phoenix Suns,-4.5,219.5,129,104
Apr 12,Los Angeles Clippers,18,209.5,95,115
