Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 25,Cleveland Cavaliers,9.5,206,88,117
Oct 29,Memphis Grizzlies,-3,199,111,104
Nov 1,Detroit Pistons,4,203,89,102
Nov 2,Houston Rockets,PK,218,99,118
Nov 4,Chicago Bulls,7.5,209.5,117,104
Nov 6,Utah Jazz,2.5,193,109,114
Nov 9,Brooklyn Nets,-8,215.5,110,96
Nov 11,Boston Celtics,5,215,87,115
Nov 12,Toronto Raptors,7.5,208.5,107,118
Nov 14,Dallas Mavericks,-4,202.5,93,77
Nov 16,Detroit Pistons,-1.5,201,105,102
Nov 17,Washington Wizards,5,208.5,112,119
Nov 20,Atlanta Hawks,4.5,208.5,104,94
Nov 22,Portland Trail Blazers,-1.5,217,107,103
Nov 25,Charlotte Hornets,1.5,210.5,113,111
Nov 26,Charlotte Hornets,5.5,207,102,107
Nov 28,Oklahoma City Thunder,1,215.5,103,112
Nov 30,Minnesota Timberwolves,3.5,211.5,106,104
Dec 2,Minnesota Timberwolves,2.5,211,118,114
Dec 4,Sacramento Kings,-1.5,209.5,106,98
Dec 6,Miami Heat,1,205.5,114,103
Dec 7,Cleveland Cavaliers,8,213,94,126
Dec 9,Sacramento Kings,5.5,210,103,100
Dec 11,Los Angeles Lakers,-2.5,217,118,112
Dec 13,Phoenix Suns,-2,219,111,113
Dec 15,Golden State Warriors,17.5,222.5,90,103
Dec 17,Denver Nuggets,4,215,114,127
Dec 20,Indiana Pacers,-4.5,210.5,118,111
Dec 22,Orlando Magic,-4.5,210.5,106,95
Dec 25,Boston Celtics,2,210,114,119
Dec 28,Atlanta Hawks,5,211,98,102
Dec 30,New Orleans Pelicans,3.5,215.5,92,104
Dec 31,Houston Rockets,12.5,224.5,122,129
Jan 2,Orlando Magic,-4,210.5,103,115
Jan 4,Milwaukee Bucks,3.5,213,104,105
Jan 6,Milwaukee Bucks,5,213.5,116,111
Jan 7,Indiana Pacers,7,217,109,123
Jan 9,New Orleans Pelicans,-3,215,96,110
Jan 11,Philadelphia 76ers,-2,211.5,97,98
Jan 12,Chicago Bulls,-3,207.5,104,89
Jan 15,Toronto Raptors,10,219,101,116
Jan 16,Atlanta Hawks,2.5,210,107,108
Jan 18,Boston Celtics,8.5,218.5,117,106
Jan 19,Washington Wizards,1,220.5,110,113
Jan 21,Phoenix Suns,-5,224.5,105,107
Jan 23,Indiana Pacers,5.5,217.5,109,103
Jan 25,Dallas Mavericks,3,201,95,103
Jan 27,Charlotte Hornets,1,211.5,110,107
Jan 29,Atlanta Hawks,6,209.5,139,142
Jan 31,Washington Wizards,8.5,215,101,117
Feb 1,Brooklyn Nets,-3,224.5,95,90
Feb 4,Cleveland Cavaliers,4.5,213.5,104,111
Feb 6,Los Angeles Lakers,-5,222.5,107,121
Feb 8,Los Angeles Clippers,1,220,115,119
Feb 10,Denver Nuggets,-2,229,123,131
Feb 12,San Antonio Spurs,9.5,211,94,90
Feb 15,Oklahoma City Thunder,7.5,218,105,116
Feb 23,Cleveland Cavaliers,10.5,223.5,104,119
Feb 25,Philadelphia 76ers,-6.5,220,110,109
Feb 27,Toronto Raptors,3.5,211,91,92
Mar 1,Orlando Magic,2,216,101,90
Mar 3,Philadelphia 76ers,-2,217,102,105
Mar 5,Golden State Warriors,10.5,220,105,112
Mar 6,Orlando Magic,3,207,113,105
Mar 8,Milwaukee Bucks,6.5,208.5,93,104
Mar 11,Detroit Pistons,6,212.5,92,112
Mar 12,Brooklyn Nets,1,221,112,120
Mar 14,Indiana Pacers,3,210.5,87,81
Mar 16,Brooklyn Nets,-5,222,110,121
Mar 20,Los Angeles Clippers,11,215.5,105,114
Mar 22,Utah Jazz,12,202.5,101,108
Mar 23,Portland Trail Blazers,12.5,210.5,95,110
Mar 25,San Antonio Spurs,14.5,203.5,98,106
Mar 27,Detroit Pistons,1,207.5,109,95
Mar 29,Miami Heat,2.5,207,88,105
Mar 31,Miami Heat,10.5,203.5,98,94
Apr 2,Boston Celtics,7.5,206,94,110
Apr 4,Chicago Bulls,5,203.5,100,91
Apr 6,Washington Wizards,6,217.5,103,106
Apr 7,Memphis Grizzlies,12.5,195.5,88,101
Apr 9,Toronto Raptors,9,201,97,110
Apr 12,Philadelphia 76ers,-3,209.5,114,113
