Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Houston Rockets,6,224.5,120,114
Oct 28,Utah Jazz,9,201,89,96
Oct 30,Oklahoma City Thunder,8.5,216,96,113
Nov 1,Indiana Pacers,9,213.5,108,115
Nov 2,Atlanta Hawks,12,206,123,116
Nov 4,Golden State Warriors,11.5,229,117,97
Nov 6,Phoenix Suns,-4,216.5,119,108
Nov 8,Dallas Mavericks,-4,203.5,97,109
Nov 10,Sacramento Kings,5.5,211.5,101,91
Nov 12,New Orleans Pelicans,PK,217,126,99
Nov 13,Minnesota Timberwolves,1,213.5,99,125
Nov 15,Brooklyn Nets,-7,219,125,118
Nov 18,San Antonio Spurs,7.5,209.5,107,116
Nov 20,Chicago Bulls,-2.5,209.5,110,118
Nov 22,Oklahoma City Thunder,3.5,220,111,109
Nov 23,Golden State Warriors,18,230,106,149
Nov 25,Golden State Warriors,14,230.5,85,109
Nov 27,Atlanta Hawks,6,209.5,109,94
Nov 29,New Orleans Pelicans,5.5,218.5,88,105
Nov 30,Chicago Bulls,10.5,209.5,96,90
Dec 2,Toronto Raptors,10,214,80,113
Dec 3,Memphis Grizzlies,2.5,198,100,103
Dec 5,Utah Jazz,4.5,198,101,107
Dec 7,Houston Rockets,13.5,222.5,95,134
Dec 9,Phoenix Suns,-1.5,221.5,115,119
Dec 11,New York Knicks,2.5,217,112,118
Dec 12,Sacramento Kings,8.5,216.5,92,116
Dec 14,Brooklyn Nets,-1,228.5,97,107
Dec 16,Philadelphia 76ers,1,210.5,100,89
Dec 17,Cleveland Cavaliers,15.5,219.5,108,119
Dec 20,Charlotte Hornets,8.5,212.5,113,117
Dec 22,Miami Heat,6,211.5,107,115
Dec 23,Orlando Magic,5,209.5,90,109
Dec 25,Los Angeles Clippers,2.5,209.5,111,102
Dec 27,Utah Jazz,5.5,204,100,102
Dec 29,Dallas Mavericks,-4,205,89,101
Jan 1,Toronto Raptors,8,218.5,114,123
Jan 3,Memphis Grizzlies,5,207,116,102
Jan 5,Portland Trail Blazers,6.5,222,109,118
Jan 6,Miami Heat,-2.5,213.5,127,100
Jan 8,Orlando Magic,-2.5,217,111,95
Jan 10,Portland Trail Blazers,2.5,228.5,87,108
Jan 12,San Antonio Spurs,14,212,94,134
Jan 14,Los Angeles Clippers,11.5,219.5,97,113
Jan 15,Detroit Pistons,2,213,97,102
Jan 17,Denver Nuggets,PK,230,121,127
Jan 20,Indiana Pacers,4,221,108,96
Jan 22,Dallas Mavericks,6,207,73,122
Jan 25,Portland Trail Blazers,8,221,98,105
Jan 26,Utah Jazz,14,203,88,96
Jan 31,Denver Nuggets,1,226.5,120,116
Feb 2,Washington Wizards,10.5,221,108,116
Feb 3,Boston Celtics,11,222.5,107,113
Feb 6,New York Knicks,5,222.5,121,107
Feb 8,Detroit Pistons,6.5,218,102,121
Feb 10,Milwaukee Bucks,5.5,218,122,114
Feb 14,Sacramento Kings,-2.5,218.5,96,97
Feb 15,Phoenix Suns,4,226.5,101,137
Feb 24,Oklahoma City Thunder,10,221.5,93,110
Feb 26,San Antonio Spurs,12,209.5,98,119
Feb 28,Charlotte Hornets,5,215,104,109
Mar 3,Boston Celtics,7.5,219,95,115
Mar 5,New Orleans Pelicans,6.5,217.5,97,105
Mar 7,Dallas Mavericks,9,206.5,111,122
Mar 9,Phoenix Suns,6.5,231.5,122,110
Mar 12,Philadelphia 76ers,-4.5,223,116,118
Mar 13,Denver Nuggets,13,227.5,101,129
Mar 15,Houston Rockets,17.5,235,100,139
Mar 17,Milwaukee Bucks,8,213,103,107
Mar 19,Cleveland Cavaliers,12,222.5,120,125
Mar 21,Los Angeles Clippers,10,223,109,133
Mar 24,Minnesota Timberwolves,6.5,219.5,130,119
Mar 26,Portland Trail Blazers,7,220,81,97
Mar 28,Washington Wizards,9,225,108,119
Mar 30,Minnesota Timberwolves,11,218,104,119
Apr 1,Los Angeles Clippers,15,220.5,104,115
Apr 2,Memphis Grizzlies,7,205.5,108,103
Apr 5,San Antonio Spurs,13.5,208,102,95
Apr 7,Sacramento Kings,-2.5,217,98,94
Apr 9,Minnesota Timberwolves,6,221.5,110,109
Apr 11,New Orleans Pelicans,-2.5,218.5,108,96
Apr 12,Golden State Warriors,13.5,222.5,94,109
