Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Indiana Pacers,5.5,204.5,121,130
Oct 28,Houston Rockets,2,218,98,106
Oct 30,Houston Rockets,4.5,215,92,93
Nov 2,Utah Jazz,3.5,186.5,81,97
Nov 4,Portland Trail Blazers,2.5,208,95,105
Nov 6,Milwaukee Bucks,-2.5,199,86,75
Nov 8,Los Angeles Lakers,4,203.5,109,97
Nov 9,Golden State Warriors,18,206,95,116
Nov 14,New York Knicks,4,202.5,77,93
Nov 16,Boston Celtics,6,199,83,90
Nov 18,Memphis Grizzlies,3.5,185.5,64,80
Nov 19,Orlando Magic,7.5,179.5,87,95
Nov 21,San Antonio Spurs,14,186.5,91,96
Nov 23,Los Angeles Clippers,10,193,104,124
Nov 25,Cleveland Cavaliers,13,201.5,90,128
Nov 27,New Orleans Pelicans,5.5,196.5,91,81
Nov 30,San Antonio Spurs,9,187.5,87,94
Dec 1,Charlotte Hornets,12,193.5,87,97
Dec 3,Chicago Bulls,3.5,190.5,107,82
Dec 5,Charlotte Hornets,3.5,194,101,109
Dec 7,Sacramento Kings,3,196,89,120
Dec 9,Indiana Pacers,3.5,199.5,111,103
Dec 10,Houston Rockets,12.5,209,87,109
Dec 12,Denver Nuggets,2.5,203.5,112,92
Dec 14,Detroit Pistons,5,190,85,95
Dec 16,Utah Jazz,11,186,100,103
Dec 18,Sacramento Kings,1,194,99,79
Dec 19,Denver Nuggets,8,207,107,117
Dec 21,Portland Trail Blazers,6,210,96,95
Dec 23,Los Angeles Clippers,4.5,194.5,90,88
Dec 26,New Orleans Pelicans,4.5,199.5,104,111
Dec 27,Houston Rockets,5,209,107,123
Dec 29,Los Angeles Lakers,4,205,101,89
Dec 30,Golden State Warriors,18,214,99,108
Jan 3,Washington Wizards,PK,202,113,105
Jan 5,Phoenix Suns,-5.5,206,95,102
Jan 7,Atlanta Hawks,1.5,197,82,97
Jan 9,Minnesota Timberwolves,4.5,196.5,92,101
Jan 12,Phoenix Suns,-2,207.5,113,108
Jan 15,Minnesota Timberwolves,PK,197.5,98,87
Jan 17,Chicago Bulls,4.5,197.5,99,98
Jan 19,Miami Heat,2,200,95,99
Jan 20,Utah Jazz,6,188.5,107,112
Jan 22,Los Angeles Lakers,-6,207,122,73
Jan 25,New York Knicks,-3,201,103,95
Jan 26,Oklahoma City Thunder,9,197,98,109
Jan 29,San Antonio Spurs,12.5,195.5,105,101
Jan 30,Cleveland Cavaliers,4.5,208,104,97
Feb 1,Philadelphia 76ers,-7.5,206,113,95
Feb 3,Portland Trail Blazers,6,206,108,104
Feb 6,Denver Nuggets,2.5,214,87,110
Feb 7,Portland Trail Blazers,2.5,207,113,114
Feb 9,Utah Jazz,2,193.5,112,105
Feb 11,Orlando Magic,-6.5,204,112,80
Feb 13,Boston Celtics,2,210.5,98,111
Feb 15,Detroit Pistons,4.5,200.5,91,98
Feb 24,Minnesota Timberwolves,4,204.5,84,97
Feb 25,New Orleans Pelicans,2,204.5,96,83
Feb 27,Miami Heat,1,201.5,96,89
Mar 1,Atlanta Hawks,6,195.5,95,100
Mar 3,Memphis Grizzlies,2.5,190,104,100
Mar 5,Oklahoma City Thunder,-1,207,104,89
Mar 7,Los Angeles Lakers,-9,206.5,122,111
Mar 10,Brooklyn Nets,-10,212,105,96
Mar 11,Phoenix Suns,-5.5,217.5,98,100
Mar 13,Toronto Raptors,5,196,78,100
Mar 15,Washington Wizards,7,207,112,107
Mar 17,Philadelphia 76ers,-5,205,74,116
Mar 19,Brooklyn Nets,-5,207.5,111,104
Mar 21,Golden State Warriors,4.5,208,87,112
Mar 23,Los Angeles Clippers,5.5,204.5,97,95
Mar 25,Toronto Raptors,PK,196,86,94
Mar 27,Oklahoma City Thunder,2,203,91,92
Mar 29,New Orleans Pelicans,6,201.5,118,121
Mar 31,Memphis Grizzlies,3.5,191.5,90,99
Apr 2,Milwaukee Bucks,6.5,195,109,105
Apr 4,Sacramento Kings,-2.5,197,87,98
Apr 5,Los Angeles Clippers,11,204.5,101,112
Apr 7,San Antonio Spurs,-5,189,89,102
Apr 9,Phoenix Suns,2.5,210.5,111,124
Apr 11,Denver Nuggets,-2,214,91,109
Apr 12,Memphis Grizzlies,8.5,189,100,93
