Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,New Orleans Pelicans,1.5,206,107,102
Oct 29,Portland Trail Blazers,1,211.5,113,115
Oct 31,Toronto Raptors,6.5,206.5,102,105
Nov 3,Minnesota Timberwolves,3.5,204.5,102,99
Nov 5,Detroit Pistons,4.5,200,86,103
Nov 6,Boston Celtics,7,212.5,123,107
Nov 8,Memphis Grizzlies,3.5,202,107,108
Nov 10,Golden State Warriors,7,223,101,125
Nov 12,Detroit Pistons,-5.5,202.5,95,106
Nov 13,Portland Trail Blazers,7.5,216.5,105,112
Nov 16,Phoenix Suns,-4.5,220.5,120,104
Nov 18,Toronto Raptors,3.5,213,111,113
Nov 20,Utah Jazz,-3.5,197.5,105,91
Nov 22,Chicago Bulls,2,207.5,110,107
Nov 23,Utah Jazz,7.5,198.5,83,108
Nov 25,Oklahoma City Thunder,2.5,215,129,132
Nov 27,Phoenix Suns,2.5,213.5,120,114
Nov 30,Miami Heat,-6.5,207.5,98,106
Dec 2,Houston Rockets,-3.5,221,110,128
Dec 3,Utah Jazz,7.5,201,98,105
Dec 5,Philadelphia 76ers,-4,210,106,98
Dec 7,Brooklyn Nets,-4.5,221.5,111,116
Dec 8,Washington Wizards,5.5,217.5,85,92
Dec 10,Orlando Magic,-2,205.5,121,113
Dec 12,Dallas Mavericks,-2.5,203.5,92,112
Dec 15,Portland Trail Blazers,-2.5,222,132,120
Dec 17,New York Knicks,-4,215,127,114
Dec 19,Dallas Mavericks,-8,207,117,107
Dec 20,Los Angeles Clippers,8,218,102,119
Dec 23,Atlanta Hawks,-5.5,217,108,109
Dec 26,Los Angeles Clippers,-4.5,208.5,106,102
Dec 28,Minnesota Timberwolves,-4,217,105,103
Dec 30,Philadelphia 76ers,-10,213.5,122,124
Jan 2,Golden State Warriors,15.5,232,119,127
Jan 3,Sacramento Kings,-3.5,214.5,113,120
Jan 5,San Antonio Spurs,7,213.5,99,127
Jan 7,Oklahoma City Thunder,8,221,106,121
Jan 12,Indiana Pacers,4.5,226,140,112
Jan 16,Orlando Magic,-5.5,224,125,112
Jan 17,Los Angeles Lakers,PK,230,127,121
Jan 19,San Antonio Spurs,13,216.5,104,118
Jan 21,Los Angeles Clippers,-5,222.5,123,98
Jan 22,Minnesota Timberwolves,3.5,221,108,111
Jan 24,Utah Jazz,-2,210.5,103,93
Jan 26,Phoenix Suns,-7,232.5,127,120
Jan 28,Phoenix Suns,3.5,228,123,112
Jan 31,Los Angeles Lakers,-1,226.5,116,120
Feb 1,Memphis Grizzlies,4,212,99,119
Feb 3,Milwaukee Bucks,-3,224,121,117
Feb 4,San Antonio Spurs,13,223.5,97,121
Feb 6,Dallas Mavericks,-2.5,214,110,87
Feb 8,Atlanta Hawks,4,224,106,117
Feb 10,New York Knicks,2,229,131,123
Feb 11,Cleveland Cavaliers,11.5,232.5,109,125
Feb 13,Golden State Warriors,12,236.5,132,110
Feb 15,Minnesota Timberwolves,-6.5,226,99,112
Feb 23,Sacramento Kings,-6.5,222,100,116
Feb 24,Brooklyn Nets,-10,234.5,129,109
Feb 26,Memphis Grizzlies,-2,217,98,105
Feb 28,Chicago Bulls,2.5,222.5,125,107
Mar 1,Milwaukee Bucks,4.5,223.5,110,98
Mar 4,Charlotte Hornets,-5.5,222,102,112
Mar 6,Sacramento Kings,-10.5,215.5,108,96
Mar 8,Washington Wizards,1.5,223.5,113,123
Mar 10,Boston Celtics,2.5,223,119,99
Mar 11,Sacramento Kings,-5,217,105,92
Mar 13,Los Angeles Lakers,-13,227.5,129,101
Mar 16,Los Angeles Clippers,-6,222,129,114
Mar 18,Houston Rockets,2.5,241,105,109
Mar 20,Houston Rockets,8,238,124,125
Mar 22,Cleveland Cavaliers,2.5,228,126,113
Mar 24,Indiana Pacers,1.5,216.5,125,117
Mar 26,New Orleans Pelicans,-7.5,226,90,115
Mar 28,Portland Trail Blazers,2,222,113,122
Mar 31,Charlotte Hornets,2,219.5,114,122
Apr 2,Miami Heat,3.5,219,116,113
Apr 4,New Orleans Pelicans,3,228.5,134,131
Apr 5,Houston Rockets,7.5,241.5,104,110
Apr 7,New Orleans Pelicans,-7.5,229.5,122,106
Apr 9,Oklahoma City Thunder,-5,229.5,105,106
Apr 11,Dallas Mavericks,2,214,109,91
Apr 12,Oklahoma City Thunder,6,224.5,111,105
