Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Dallas Mavericks,-5.5,204.5,130,121
Oct 28,Brooklyn Nets,-6,219,94,103
Oct 29,Chicago Bulls,3.5,210,101,118
Nov 1,Los Angeles Lakers,-9,213.5,115,108
Nov 3,Milwaukee Bucks,-3,211,107,125
Nov 5,Chicago Bulls,-3.5,210,111,94
Nov 7,Charlotte Hornets,3,206,100,122
Nov 9,Philadelphia 76ers,-11.5,212.5,122,115
Nov 11,Philadelphia 76ers,-5.5,213,105,109
Nov 12,Boston Celtics,1.5,211.5,99,105
Nov 14,Orlando Magic,-8,206.5,88,69
Nov 16,Cleveland Cavaliers,-3,208.5,103,93
Nov 18,Phoenix Suns,-4,216,96,116
Nov 20,Oklahoma City Thunder,9.5,210.5,115,111
Nov 21,Golden State Warriors,14.5,218.5,83,120
Nov 23,Atlanta Hawks,1,204.5,85,96
Nov 25,Brooklyn Nets,-5.5,213.5,118,97
Nov 27,Los Angeles Clippers,12,206.5,91,70
Nov 30,Portland Trail Blazers,7.5,208,109,131
Dec 4,Los Angeles Clippers,11.5,207,111,102
Dec 5,Golden State Warriors,15,224.5,106,142
Dec 7,Phoenix Suns,-4,216,109,94
Dec 9,Dallas Mavericks,-3.5,199.5,103,111
Dec 10,Portland Trail Blazers,1,217.5,118,111
Dec 12,Charlotte Hornets,1.5,208.5,110,94
Dec 14,Miami Heat,-1,204,89,95
Dec 15,New Orleans Pelicans,2.5,209,95,102
Dec 17,Detroit Pistons,4.5,200.5,105,90
Dec 19,Washington Wizards,-5,211,107,105
Dec 20,New York Knicks,4.5,210.5,111,118
Dec 22,Boston Celtics,1.5,209,102,109
Dec 26,Chicago Bulls,2,206,85,90
Dec 28,Washington Wizards,4,214.5,105,111
Dec 30,Chicago Bulls,-4,202.5,111,101
Jan 1,Orlando Magic,-6,209.5,117,104
Jan 3,Detroit Pistons,5,205,121,116
Jan 5,Brooklyn Nets,-10.5,219,121,109
Jan 7,New York Knicks,-7,217,123,109
Jan 12,Denver Nuggets,-4.5,226,112,140
Jan 16,New Orleans Pelicans,-5,214.5,98,95
Jan 18,Sacramento Kings,2.5,214,106,100
Jan 20,Los Angeles Lakers,-4,221,96,108
Jan 21,Utah Jazz,7,200,100,109
Jan 23,New York Knicks,-5.5,217.5,103,109
Jan 26,Minnesota Timberwolves,3,213,109,103
Jan 27,Sacramento Kings,-4.5,211.5,115,111
Jan 29,Houston Rockets,3.5,229,120,101
Feb 1,Orlando Magic,-2.5,213,98,88
Feb 3,Brooklyn Nets,-6.5,218.5,106,97
Feb 4,Detroit Pistons,-3,209.5,105,84
Feb 6,Oklahoma City Thunder,-5,212,93,90
Feb 8,Cleveland Cavaliers,3.5,216,117,132
Feb 10,Washington Wizards,6,215,107,112
Feb 11,Milwaukee Bucks,-6,211,100,116
Feb 13,San Antonio Spurs,5,208,106,110
Feb 15,Cleveland Cavaliers,6,219,104,113
Feb 16,Washington Wizards,2.5,215.5,98,111
Feb 24,Memphis Grizzlies,PK,204,102,92
Feb 25,Miami Heat,4.5,209,95,113
Feb 27,Houston Rockets,10,230.5,117,108
Mar 1,San Antonio Spurs,10,206.5,99,100
Mar 5,Atlanta Hawks,3,209,97,96
Mar 6,Charlotte Hornets,4.5,205,88,100
Mar 8,Detroit Pistons,-4,208.5,115,98
Mar 10,Milwaukee Bucks,2,204,85,99
Mar 12,Miami Heat,-6.5,201,102,98
Mar 14,New York Knicks,-3,210.5,81,87
Mar 15,Charlotte Hornets,-3,203,98,77
Mar 19,Toronto Raptors,2.5,197,91,116
Mar 20,Utah Jazz,2.5,193.5,107,100
Mar 22,Boston Celtics,6.5,208.5,100,109
Mar 24,Denver Nuggets,-1.5,216.5,117,125
Mar 26,Philadelphia 76ers,-9,213.5,107,94
Mar 28,Minnesota Timberwolves,-4,207.5,114,115
Mar 29,Memphis Grizzlies,4,196,97,110
Mar 31,Toronto Raptors,5,204.5,100,111
Apr 2,Cleveland Cavaliers,8,214,130,135
Apr 4,Toronto Raptors,-3,202.5,108,90
Apr 6,Milwaukee Bucks,-4.5,203.5,104,89
Apr 8,Orlando Magic,-5,212,127,112
Apr 10,Philadelphia 76ers,-8.5,211.5,120,111
Apr 12,Atlanta Hawks,-15,200.5,104,86
Apr 15,Cleveland Cavaliers,9,208.5,108,109
Apr 17,Cleveland Cavaliers,9,210,111,117
Apr 20,Cleveland Cavaliers,1.5,210,114,119
Apr 23,Cleveland Cavaliers,4,214,102,106
