Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Denver Nuggets,-1.5,206,102,107
Oct 28,Golden State Warriors,12,223.5,114,122
Oct 29,San Antonio Spurs,14,203.5,79,98
Nov 1,Milwaukee Bucks,-3.5,204.5,113,117
Nov 2,Memphis Grizzlies,5.5,206.5,83,89
Nov 4,Phoenix Suns,-2.5,210.5,111,112
Nov 7,Golden State Warriors,16.5,221,106,116
Nov 8,Sacramento Kings,6.5,205,94,102
Nov 10,Milwaukee Bucks,5.5,207.5,112,106
Nov 12,Los Angeles Lakers,PK,217,99,126
Nov 14,Boston Celtics,3.5,212,106,105
Nov 16,Orlando Magic,7,199,82,89
Nov 18,Portland Trail Blazers,PK,214.5,113,101
Nov 19,Charlotte Hornets,2,205.5,121,116
Nov 22,Atlanta Hawks,8,209.5,112,94
Nov 23,Minnesota Timberwolves,2.5,210,117,96
Nov 25,Portland Trail Blazers,4,217.5,104,119
Nov 27,Dallas Mavericks,-5.5,196.5,81,91
Nov 29,Los Angeles Lakers,-5.5,218.5,105,88
Dec 2,Los Angeles Clippers,4,205.5,96,114
Dec 4,Oklahoma City Thunder,6,214.5,92,101
Dec 5,Memphis Grizzlies,-4.5,196,108,110
Dec 8,Philadelphia 76ers,-6.5,205,88,99
Dec 10,Los Angeles Clippers,15,200,105,133
Dec 11,Phoenix Suns,2,216,120,119
Dec 13,Golden State Warriors,11,225.5,109,113
Dec 15,Indiana Pacers,-2.5,209,102,95
Dec 16,Houston Rockets,12.5,224.5,100,122
Dec 18,San Antonio Spurs,12,208,100,113
Dec 20,Philadelphia 76ers,-3.5,206,108,93
Dec 21,Oklahoma City Thunder,2,209,110,121
Dec 23,Miami Heat,-4.5,205.5,91,87
Dec 26,Dallas Mavericks,-4.5,199.5,111,104
Dec 28,Los Angeles Clippers,1,209.5,102,98
Dec 30,New York Knicks,-3.5,215.5,104,92
Jan 2,Cleveland Cavaliers,9,218,82,90
Jan 5,Atlanta Hawks,-2,208.5,94,99
Jan 7,Boston Celtics,6,212,108,117
Jan 9,New York Knicks,3,215,110,96
Jan 12,Brooklyn Nets,2.5,214.5,104,95
Jan 14,Chicago Bulls,3.5,206.5,99,107
Jan 16,Indiana Pacers,5,214.5,95,98
Jan 18,Orlando Magic,-5.5,210.5,118,98
Jan 20,Brooklyn Nets,-10,221.5,114,143
Jan 23,Cleveland Cavaliers,10,216,124,122
Jan 25,Oklahoma City Thunder,1.5,217.5,105,114
Jan 27,San Antonio Spurs,7,214,119,103
Jan 29,Washington Wizards,PK,221,94,107
Jan 31,Toronto Raptors,7.5,212.5,106,108
Feb 1,Detroit Pistons,7,210.5,98,118
Feb 4,Washington Wizards,6.5,216.5,91,105
Feb 6,Phoenix Suns,-5.5,222,111,106
Feb 8,Utah Jazz,3.5,199.5,94,127
Feb 10,Minnesota Timberwolves,5,210.5,122,106
Feb 12,Sacramento Kings,4,214,99,105
Feb 13,Phoenix Suns,3.5,222,110,108
Feb 15,Memphis Grizzlies,8,205,95,91
Feb 23,Houston Rockets,3.5,230.5,99,129
Feb 25,Dallas Mavericks,-2,204.5,83,96
Feb 26,Oklahoma City Thunder,6.5,218,110,118
Mar 1,Detroit Pistons,-2.5,209,109,86
Mar 3,San Antonio Spurs,6,207.5,98,101
Mar 5,Los Angeles Lakers,-6.5,217.5,105,97
Mar 6,Utah Jazz,5,196.5,83,88
Mar 8,Toronto Raptors,-3.5,204,87,94
Mar 11,Charlotte Hornets,3.5,204,125,122
Mar 14,Portland Trail Blazers,-3.5,214.5,100,77
Mar 15,Miami Heat,6.5,203,112,120
Mar 17,Houston Rockets,6.5,228.5,128,112
Mar 19,Minnesota Timberwolves,-3.5,208.5,123,109
Mar 21,Memphis Grizzlies,-3,208,95,82
Mar 24,Houston Rockets,8,232,107,117
Mar 26,Denver Nuggets,7.5,226,115,90
Mar 27,Utah Jazz,6,196,100,108
Mar 29,Dallas Mavericks,-6,201.5,121,118
Mar 31,Sacramento Kings,-11.5,208,117,89
Apr 2,Chicago Bulls,-8.5,210.5,110,117
Apr 4,Denver Nuggets,-3,228.5,131,134
Apr 7,Denver Nuggets,7.5,229.5,106,122
Apr 8,Golden State Warriors,17,216.5,101,123
Apr 11,Los Angeles Lakers,2.5,218.5,96,108
Apr 12,Portland Trail Blazers,6.5,202.5,103,100
