Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Toronto Raptors,6.5,197,91,109
Oct 28,Orlando Magic,-4,195,108,82
Oct 30,Milwaukee Bucks,-7.5,197.5,98,83
Nov 1,New York Knicks,-4,203,102,89
Nov 2,Brooklyn Nets,-4,204,101,109
Nov 5,Denver Nuggets,-4.5,200,103,86
Nov 7,Los Angeles Clippers,8.5,197,82,114
Nov 9,Phoenix Suns,-4.5,206,100,107
Nov 11,San Antonio Spurs,9,194,86,96
Nov 12,Denver Nuggets,5.5,202.5,106,95
Nov 14,Oklahoma City Thunder,1,203,104,88
Nov 16,New York Knicks,1.5,201,102,105
Nov 18,Cleveland Cavaliers,9,203,81,104
Nov 19,Boston Celtics,-2,199,92,94
Nov 21,Houston Rockets,2.5,209,96,99
Nov 23,Miami Heat,-5,188.5,107,84
Nov 25,Los Angeles Clippers,6.5,200.5,108,97
Nov 26,Oklahoma City Thunder,4.5,203,88,106
Nov 29,Charlotte Hornets,3.5,200,112,89
Nov 30,Boston Celtics,6.5,200.5,121,114
Dec 2,Atlanta Hawks,1.5,199,121,85
Dec 4,Orlando Magic,-7.5,195.5,92,98
Dec 6,Chicago Bulls,-5.5,201,102,91
Dec 7,Charlotte Hornets,5.5,202,77,87
Dec 9,Minnesota Timberwolves,-3.5,203,117,90
Dec 11,Philadelphia 76ers,-12,198,79,97
Dec 14,Dallas Mavericks,-5,190,95,85
Dec 16,Washington Wizards,-1.5,205,108,122
Dec 17,Indiana Pacers,-4.5,200.5,90,105
Dec 19,Chicago Bulls,2.5,196.5,82,113
Dec 21,Memphis Grizzlies,-6,188.5,86,98
Dec 23,Golden State Warriors,8,214.5,113,119
Dec 26,Cleveland Cavaliers,-5.5,204.5,106,90
Dec 28,Milwaukee Bucks,-3.5,203.5,94,119
Dec 30,Atlanta Hawks,2.5,199.5,98,105
Jan 1,Miami Heat,-6.5,198,107,98
Jan 3,Indiana Pacers,-5,205,116,121
Jan 5,Charlotte Hornets,-5,208,115,114
Jan 8,Portland Trail Blazers,3.5,213.5,125,124
Jan 10,Sacramento Kings,3,206,94,100
Jan 12,Golden State Warriors,13.5,218.5,107,127
Jan 13,Utah Jazz,11,191,77,110
Jan 15,Los Angeles Lakers,-2,213,102,97
Jan 18,Atlanta Hawks,2.5,200.5,118,95
Jan 21,Washington Wizards,-2.5,208,113,112
Jan 23,Sacramento Kings,-7,205.5,104,109
Jan 28,Miami Heat,-3,202,103,116
Jan 30,Boston Celtics,5.5,217,109,113
Feb 1,New Orleans Pelicans,-7,210.5,118,98
Feb 3,Minnesota Timberwolves,-4.5,209.5,116,108
Feb 4,Indiana Pacers,3,209.5,84,105
Feb 6,Philadelphia 76ers,-9,211.5,113,96
Feb 8,Los Angeles Lakers,-6.5,218,121,102
Feb 10,San Antonio Spurs,5,208.5,92,103
Feb 12,Toronto Raptors,6.5,213,102,101
Feb 13,Milwaukee Bucks,2.5,209.5,89,102
Feb 15,Dallas Mavericks,-4.5,200.5,98,91
Feb 23,Charlotte Hornets,-5,208,114,108
Feb 26,Boston Celtics,2.5,213.5,98,104
Feb 28,Portland Trail Blazers,-4,213.5,120,113
Mar 1,New Orleans Pelicans,2.5,209,86,109
Mar 4,Philadelphia 76ers,-5.5,213,136,106
Mar 6,Chicago Bulls,-6,204.5,109,95
Mar 8,Indiana Pacers,4,208.5,98,115
Mar 9,Cleveland Cavaliers,4.5,215.5,106,101
Mar 11,New York Knicks,-6,212.5,112,92
Mar 14,Cleveland Cavaliers,7.5,216,96,128
Mar 15,Utah Jazz,3,199.5,83,97
Mar 17,Toronto Raptors,-3.5,202,75,87
Mar 19,Phoenix Suns,-12.5,209.5,112,95
Mar 21,Brooklyn Nets,-5.5,215,96,98
Mar 22,Chicago Bulls,-2,200.5,95,117
Mar 24,Orlando Magic,-2,207.5,87,115
Mar 27,New York Knicks,-1,207.5,95,109
Mar 28,Miami Heat,3,201,96,97
Mar 30,Brooklyn Nets,-6.5,214,90,89
Mar 31,Milwaukee Bucks,7,197,105,108
Apr 5,Toronto Raptors,3,201.5,102,105
Apr 7,Houston Rockets,11,224,114,109
Apr 9,Memphis Grizzlies,5.5,193.5,103,90
Apr 10,Washington Wizards,-5.5,208.5,101,105
Apr 12,Orlando Magic,1.5,206.5,109,113
