Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Detroit Pistons,-6.5,197,109,91
Oct 28,Cleveland Cavaliers,2.5,205.5,91,94
Oct 31,Denver Nuggets,-6.5,206.5,105,102
Nov 2,Washington Wizards,PK,205,113,103
Nov 4,Miami Heat,-7,202.5,96,87
Nov 6,Sacramento Kings,-7.5,197.5,91,96
Nov 9,Oklahoma City Thunder,3.5,203.5,112,102
Nov 11,Charlotte Hornets,PK,203,113,111
Nov 12,New York Knicks,-7.5,208.5,118,107
Nov 15,Cleveland Cavaliers,6,210,117,121
Nov 16,Golden State Warriors,6,223,121,127
Nov 18,Denver Nuggets,-3.5,213,113,111
Nov 20,Sacramento Kings,-3.5,211,99,102
Nov 21,Los Angeles Clippers,9,207.5,115,123
Nov 23,Houston Rockets,4,216.5,115,102
Nov 25,Milwaukee Bucks,-3.5,207.5,105,99
Nov 28,Philadelphia 76ers,-15,206.5,122,95
Nov 30,Memphis Grizzlies,-13,195,120,105
Dec 2,Los Angeles Lakers,-10,214,113,80
Dec 3,Atlanta Hawks,-8.5,207,128,84
Dec 5,Cleveland Cavaliers,-2,214.5,112,116
Dec 8,Minnesota Timberwolves,-9.5,213.5,124,110
Dec 9,Boston Celtics,2.5,207.5,101,94
Dec 12,Milwaukee Bucks,-8,213,122,100
Dec 14,Philadelphia 76ers,-8,205,123,114
Dec 16,Atlanta Hawks,-7,214.5,121,125
Dec 18,Orlando Magic,-5.5,212,109,79
Dec 20,Brooklyn Nets,-15.5,224,116,104
Dec 23,Utah Jazz,-1,198.5,104,98
Dec 26,Portland Trail Blazers,-8,215.5,95,91
Dec 28,Golden State Warriors,9.5,227.5,111,121
Dec 29,Phoenix Suns,-8.5,223,91,99
Jan 1,Los Angeles Lakers,-8,218.5,123,114
Jan 3,San Antonio Spurs,6,206,82,110
Jan 5,Utah Jazz,-4.5,197,101,93
Jan 7,Chicago Bulls,-1.5,207,118,123
Jan 8,Houston Rockets,2,227.5,122,129
Jan 10,Boston Celtics,-5.5,218,114,106
Jan 13,Brooklyn Nets,-15.5,225,132,113
Jan 15,New York Knicks,-10,219,116,101
Jan 17,Brooklyn Nets,-8.5,224.5,119,109
Jan 18,Philadelphia 76ers,-6,215.5,89,94
Jan 20,Charlotte Hornets,1.5,216,78,113
Jan 22,Phoenix Suns,-12,220,103,115
Jan 24,San Antonio Spurs,-2.5,203,106,108
Jan 25,Memphis Grizzlies,5,201,99,101
Jan 27,Milwaukee Bucks,-5.5,213.5,102,86
Jan 29,Orlando Magic,-11,211.5,113,114
Jan 31,New Orleans Pelicans,-7.5,212.5,108,106
Feb 1,Boston Celtics,6,214,104,109
Feb 3,Orlando Magic,-5,206.5,94,102
Feb 5,Brooklyn Nets,-6.5,216,103,95
Feb 6,Los Angeles Clippers,-7,217.5,118,109
Feb 8,Minnesota Timberwolves,-3,211.5,109,112
Feb 12,Detroit Pistons,-6.5,213,101,102
Feb 14,Chicago Bulls,-4,210,94,105
Feb 15,Charlotte Hornets,-6,213,90,85
Feb 24,Boston Celtics,-1.5,213.5,107,97
Feb 26,Portland Trail Blazers,-5.5,208.5,112,106
Feb 27,New York Knicks,-3.5,211,92,91
Mar 1,Washington Wizards,-4.5,208,96,105
Mar 3,Washington Wizards,5,207.5,114,106
Mar 4,Milwaukee Bucks,PK,203,94,101
Mar 8,New Orleans Pelicans,3.5,204,94,87
Mar 10,Atlanta Hawks,3,203.5,99,105
Mar 11,Miami Heat,6,202.5,89,104
Mar 13,Dallas Mavericks,-5,196,100,78
Mar 16,Oklahoma City Thunder,-2,207.5,102,123
Mar 17,Detroit Pistons,3.5,202,87,75
Mar 19,Indiana Pacers,-2.5,197,116,91
Mar 21,Chicago Bulls,-7.5,197.5,122,120
Mar 23,Miami Heat,4,200,101,84
Mar 25,Dallas Mavericks,PK,196,94,86
Mar 27,Orlando Magic,-7.5,208.5,131,112
Mar 29,Charlotte Hornets,-5.5,202.5,106,110
Mar 31,Indiana Pacers,-5,204.5,111,100
Apr 2,Philadelphia 76ers,-11.5,211.5,113,105
Apr 4,Indiana Pacers,3,202.5,90,108
Apr 5,Detroit Pistons,-3,201.5,105,102
Apr 7,Miami Heat,-4.5,207.5,96,94
Apr 9,New York Knicks,-9,201,110,97
Apr 12,Cleveland Cavaliers,-4,202,98,83
Apr 15,Milwaukee Bucks,-7.5,197.5,83,97
Apr 18,Milwaukee Bucks,-8,194.5,106,100
Apr 20,Milwaukee Bucks,2,197,77,104
Apr 22,Milwaukee Bucks,2.5,194,87,76
Apr 24,Milwaukee Bucks,-6,193,118,93
Apr 27,Milwaukee Bucks,1.5,196.5,92,89
May 1,Cleveland Cavaliers,7,211,105,116
May 3,Cleveland Cavaliers,7,214.5,103,125
May 5,Cleveland Cavaliers,3,215,94,115
May 7,Cleveland Cavaliers,7,210.5,102,109
