Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 25,Golden State Warriors,8.5,211.5,129,100
Oct 27,Sacramento Kings,-7.5,203,102,94
Oct 29,New Orleans Pelicans,-14,203.5,98,79
Oct 30,Miami Heat,-6.5,194,106,99
Nov 1,Utah Jazz,-10,186,91,106
Nov 4,Utah Jazz,-3.5,184,100,86
Nov 5,Los Angeles Clippers,-4.5,196.5,92,116
Nov 9,Houston Rockets,-8.5,212,99,101
Nov 11,Detroit Pistons,-9,194,96,86
Nov 12,Houston Rockets,-1.5,208,106,100
Nov 14,Miami Heat,-11,193.5,94,90
Nov 16,Sacramento Kings,-5.5,197.5,110,105
Nov 18,Los Angeles Lakers,-7.5,209.5,116,107
Nov 21,Dallas Mavericks,-14,186.5,96,91
Nov 23,Charlotte Hornets,-5.5,201,119,114
Nov 25,Boston Celtics,-3.5,200.5,109,103
Nov 26,Washington Wizards,-6,205.5,112,100
Nov 29,Orlando Magic,-12.5,194.5,83,95
Nov 30,Dallas Mavericks,-9,187.5,94,87
Dec 2,Washington Wizards,-9,204,107,105
Dec 5,Milwaukee Bucks,-6.5,203,97,96
Dec 6,Minnesota Timberwolves,-4,205.5,105,91
Dec 8,Chicago Bulls,-3.5,201,91,95
Dec 10,Brooklyn Nets,-16,210,130,101
Dec 14,Boston Celtics,-6.5,196.5,108,101
Dec 15,Phoenix Suns,-8,211,107,92
Dec 18,New Orleans Pelicans,-12,208,113,100
Dec 20,Houston Rockets,PK,214,102,100
Dec 22,Los Angeles Clippers,-2,205.5,101,106
Dec 23,Portland Trail Blazers,-2,211.5,110,90
Dec 25,Chicago Bulls,-8.5,199,119,100
Dec 28,Phoenix Suns,-11.5,214,119,98
Dec 30,Portland Trail Blazers,-10,202,110,94
Jan 1,Atlanta Hawks,-5,199.5,112,114
Jan 3,Toronto Raptors,-6,206,110,82
Jan 5,Denver Nuggets,-7,213.5,127,99
Jan 7,Charlotte Hornets,-11,209,102,85
Jan 10,Milwaukee Bucks,-10,203.5,107,109
Jan 12,Los Angeles Lakers,-14,212,134,94
Jan 14,Phoenix Suns,-12.5,213,105,108
Jan 17,Minnesota Timberwolves,-12.5,202.5,122,114
Jan 19,Denver Nuggets,-13,216.5,118,104
Jan 21,Cleveland Cavaliers,3.5,211.5,118,115
Jan 23,Brooklyn Nets,-8.5,215,112,86
Jan 24,Toronto Raptors,2.5,203,108,106
Jan 27,New Orleans Pelicans,-7,214,103,119
Jan 29,Dallas Mavericks,-12.5,195.5,101,105
Jan 31,Oklahoma City Thunder,-9.5,210.5,108,94
Feb 2,Philadelphia 76ers,-17,214.5,102,86
Feb 4,Denver Nuggets,-13,223.5,121,97
Feb 6,Memphis Grizzlies,1,200.5,74,89
Feb 8,Philadelphia 76ers,-12,207.5,111,103
Feb 10,Detroit Pistons,-5,208.5,103,92
Feb 12,New York Knicks,-9.5,211,90,94
Feb 13,Indiana Pacers,-5,208,110,106
Feb 15,Orlando Magic,-10.5,207,107,79
Feb 24,Los Angeles Clippers,-2.5,210.5,105,97
Feb 26,Los Angeles Lakers,-12,209.5,119,98
Mar 1,Indiana Pacers,-10,206.5,100,99
Mar 3,New Orleans Pelicans,-6,207.5,101,98
Mar 4,Minnesota Timberwolves,-7.5,204.5,97,90
Mar 6,Houston Rockets,-3.5,222,112,110
Mar 8,Sacramento Kings,-11.5,195,114,104
Mar 9,Oklahoma City Thunder,-2.5,209.5,92,102
Mar 11,Golden State Warriors,-10.5,198,107,85
Mar 13,Atlanta Hawks,-7,203.5,107,99
Mar 15,Portland Trail Blazers,-11.5,209,106,110
Mar 18,Memphis Grizzlies,-4,196,96,104
Mar 19,Sacramento Kings,-14.5,202,118,102
Mar 21,Minnesota Timberwolves,-5,205.5,100,93
Mar 23,Memphis Grizzlies,-8,197.5,97,90
Mar 25,New York Knicks,-14.5,203.5,106,98
Mar 27,Cleveland Cavaliers,-5,212,103,74
Mar 29,Golden State Warriors,-4.5,207.5,98,110
Mar 31,Oklahoma City Thunder,-3,208,100,95
Apr 2,Utah Jazz,-5,189,109,103
Apr 4,Memphis Grizzlies,-9,195.5,95,89
Apr 5,Los Angeles Lakers,-13.5,208,95,102
Apr 7,Dallas Mavericks,5,189,102,89
Apr 8,Los Angeles Clippers,-1.5,208,87,98
Apr 10,Portland Trail Blazers,-10.5,193,98,99
Apr 12,Utah Jazz,4,192,97,101
Apr 15,Memphis Grizzlies,-9.5,190.5,111,82
Apr 17,Memphis Grizzlies,-10.5,189,96,82
Apr 20,Memphis Grizzlies,-3.5,188,94,105
Apr 22,Memphis Grizzlies,-5.5,187,108,110
Apr 25,Memphis Grizzlies,-10.5,188.5,116,103
Apr 27,Memphis Grizzlies,-5.5,190.5,103,96
May 1,Houston Rockets,-6,215.5,99,126
May 3,Houston Rockets,-5.5,215,121,96
May 5,Houston Rockets,5.5,215,103,92
May 7,Houston Rockets,5,213.5,104,125
May 9,Houston Rockets,-5.5,216,110,107
May 11,Houston Rockets,9,210.5,114,75
May 14,Golden State Warriors,10,209.5,111,113
May 16,Golden State Warriors,13.5,210,100,136
May 20,Golden State Warriors,9.5,215.5,108,120
May 22,Golden State Warriors,11.5,218.5,115,129
