Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Sacramento Kings,-3,211.5,94,113
Oct 28,Oklahoma City Thunder,8,209,110,113
Oct 30,Golden State Warriors,12,226.5,100,106
Oct 31,Los Angeles Clippers,12.5,205,98,116
Nov 2,Portland Trail Blazers,3,216.5,118,115
Nov 4,New Orleans Pelicans,2.5,210.5,112,111
Nov 6,Los Angeles Lakers,4,216.5,108,119
Nov 8,Portland Trail Blazers,8.5,219.5,121,124
Nov 9,Detroit Pistons,4.5,206,107,100
Nov 12,Brooklyn Nets,-5,219,104,122
Nov 13,Golden State Warriors,16.5,226.5,120,133
Nov 16,Denver Nuggets,4.5,220.5,104,120
Nov 18,Indiana Pacers,4,216,116,96
Nov 19,Philadelphia 76ers,-2,211,105,120
Nov 21,Washington Wizards,7.5,220,101,106
Nov 23,Orlando Magic,4,209.5,92,87
Nov 25,Minnesota Timberwolves,2,214,85,98
Nov 27,Denver Nuggets,-2.5,213.5,114,120
Nov 30,Atlanta Hawks,4,211,109,107
Dec 3,Golden State Warriors,16.5,228,109,138
Dec 6,Utah Jazz,7,204.5,105,112
Dec 7,Indiana Pacers,4,216,94,109
Dec 9,Los Angeles Lakers,1.5,221.5,119,115
Dec 11,New Orleans Pelicans,-2,216,119,120
Dec 13,New York Knicks,2,219,113,111
Dec 15,San Antonio Spurs,8,211,92,107
Dec 17,Oklahoma City Thunder,6.5,215.5,101,114
Dec 19,Minnesota Timberwolves,6,213,108,115
Dec 21,Houston Rockets,6.5,227.5,111,125
Dec 23,Philadelphia 76ers,-6,212.5,123,116
Dec 26,Houston Rockets,13,230,115,131
Dec 28,San Antonio Spurs,11.5,214,98,119
Dec 29,Toronto Raptors,8.5,223,99,91
Dec 31,Utah Jazz,11.5,207.5,86,91
Jan 2,Los Angeles Clippers,4.5,214,98,109
Jan 3,Miami Heat,-5,212.5,99,90
Jan 5,Dallas Mavericks,5.5,206,102,95
Jan 8,Cleveland Cavaliers,8.5,221,116,120
Jan 12,Dallas Mavericks,2,207.5,108,113
Jan 14,San Antonio Spurs,12.5,213,108,105
Jan 16,Utah Jazz,6.5,205,101,106
Jan 19,Cleveland Cavaliers,11,220,103,118
Jan 21,New York Knicks,5,224.5,107,105
Jan 22,Toronto Raptors,12,220,115,103
Jan 24,Minnesota Timberwolves,1.5,215.5,111,112
Jan 26,Denver Nuggets,7,232.5,120,127
Jan 28,Denver Nuggets,-3.5,228,112,123
Jan 30,Memphis Grizzlies,4,207.5,96,115
Feb 1,Los Angeles Clippers,2.5,220,114,124
Feb 3,Sacramento Kings,4,218,105,103
Feb 4,Milwaukee Bucks,1.5,221,112,137
Feb 6,New Orleans Pelicans,5.5,222,106,111
Feb 8,Memphis Grizzlies,7.5,211.5,91,110
Feb 10,Chicago Bulls,3.5,219,115,97
Feb 11,Houston Rockets,16,233.5,102,133
Feb 13,New Orleans Pelicans,-3.5,222,108,110
Feb 15,Los Angeles Lakers,-4,226.5,137,101
Feb 24,Chicago Bulls,6,219.5,121,128
Feb 26,Milwaukee Bucks,6,223.5,96,100
Feb 28,Memphis Grizzlies,9,211.5,112,130
Mar 2,Charlotte Hornets,3.5,219,120,103
Mar 3,Oklahoma City Thunder,5,225.5,118,111
Mar 5,Boston Celtics,4.5,229,109,106
Mar 7,Washington Wizards,5,229,127,131
Mar 9,Los Angeles Lakers,-6.5,231.5,110,122
Mar 11,Dallas Mavericks,5.5,217.5,100,98
Mar 12,Portland Trail Blazers,2,228,101,110
Mar 15,Sacramento Kings,-6,218.5,101,107
Mar 17,Orlando Magic,-2.5,220.5,103,109
Mar 19,Detroit Pistons,12.5,209.5,95,112
Mar 21,Miami Heat,11.5,215,97,112
Mar 23,Brooklyn Nets,5.5,226.5,98,126
Mar 24,Boston Celtics,16,218,120,130
Mar 26,Charlotte Hornets,13,212,106,120
Mar 28,Atlanta Hawks,10,217.5,91,95
Mar 30,Los Angeles Clippers,10,222,118,124
Apr 1,Portland Trail Blazers,11.5,224,117,130
Apr 2,Houston Rockets,7.5,227,116,123
Apr 5,Golden State Warriors,9,228.5,111,120
Apr 7,Oklahoma City Thunder,9,229,120,99
Apr 9,Dallas Mavericks,-2.5,210.5,124,111
Apr 11,Sacramento Kings,4.5,219.5,104,129
