Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Philadelphia 76ers,-9,209,103,97
Oct 28,Phoenix Suns,-8,209,113,110
Oct 30,Los Angeles Lakers,-8.5,216,113,96
Nov 2,Los Angeles Clippers,7.5,209,85,83
Nov 3,Golden State Warriors,12,223,96,122
Nov 5,Minnesota Timberwolves,-4.5,209.5,112,92
Nov 7,Miami Heat,-5.5,203,97,85
Nov 9,Toronto Raptors,-3.5,203.5,102,112
Nov 11,Los Angeles Clippers,5,206,108,110
Nov 13,Orlando Magic,-9.5,204,117,119
Nov 14,Detroit Pistons,-1,203,88,104
Nov 16,Houston Rockets,-2.5,219,105,103
Nov 18,Brooklyn Nets,-9.5,216.5,124,105
Nov 20,Indiana Pacers,-9.5,210.5,111,115
Nov 22,Los Angeles Lakers,-3.5,220,109,111
Nov 23,Sacramento Kings,2,214,101,116
Nov 25,Denver Nuggets,-2.5,215,132,129
Nov 26,Detroit Pistons,-4.5,203,106,88
Nov 28,New York Knicks,-1,215.5,112,103
Nov 30,Washington Wizards,-5.5,216,126,115
Dec 4,New Orleans Pelicans,-6,214.5,101,92
Dec 5,Atlanta Hawks,4,212.5,102,99
Dec 9,Houston Rockets,1.5,224,99,102
Dec 11,Boston Celtics,-3,207,99,96
Dec 13,Portland Trail Blazers,2.5,219,95,114
Dec 14,Utah Jazz,7.5,199,89,109
Dec 17,Phoenix Suns,-6.5,215.5,114,101
Dec 19,Atlanta Hawks,-3,211.5,108,110
Dec 21,New Orleans Pelicans,-2,209,121,110
Dec 23,Boston Celtics,5.5,211.5,117,112
Dec 25,Minnesota Timberwolves,-4,212,112,100
Dec 27,Miami Heat,-4.5,203,106,94
Dec 29,Memphis Grizzlies,1,197.5,80,114
Dec 31,Los Angeles Clippers,-9,209.5,114,88
Jan 2,Milwaukee Bucks,1.5,213.5,94,98
Jan 4,Charlotte Hornets,2,208.5,112,123
Jan 5,Houston Rockets,8,227.5,116,118
Jan 7,Denver Nuggets,-8,221,121,106
Jan 9,Chicago Bulls,PK,209.5,109,94
Jan 11,Memphis Grizzlies,-4.5,204,103,95
Jan 13,Minnesota Timberwolves,-2,208,86,96
Jan 15,Sacramento Kings,-1.5,213.5,122,118
Jan 16,Los Angeles Clippers,8.5,218,98,120
Jan 18,Golden State Warriors,15,231,100,121
Jan 23,Utah Jazz,5,203,97,95
Jan 25,New Orleans Pelicans,-1.5,217.5,114,105
Jan 26,Dallas Mavericks,-9,197,109,98
Jan 29,Cleveland Cavaliers,7.5,217.5,91,107
Jan 31,San Antonio Spurs,9.5,210.5,94,108
Feb 1,Chicago Bulls,-2.5,207,100,128
Feb 3,Memphis Grizzlies,1,204.5,114,102
Feb 5,Portland Trail Blazers,-5,218,105,99
Feb 6,Indiana Pacers,5,212,90,93
Feb 9,Cleveland Cavaliers,-1,219,118,109
Feb 11,Golden State Warriors,8,226.5,114,130
Feb 13,Washington Wizards,5.5,218,98,120
Feb 15,New York Knicks,-7.5,218,116,105
Feb 24,Los Angeles Lakers,-10,221.5,110,93
Feb 26,New Orleans Pelicans,-6.5,218,118,110
Feb 28,Utah Jazz,2,203,109,106
Mar 2,Portland Trail Blazers,-1,222.5,109,114
Mar 3,Phoenix Suns,-5,225.5,111,118
Mar 5,Dallas Mavericks,1,207,89,104
Mar 7,Portland Trail Blazers,-7,222,121,126
Mar 9,San Antonio Spurs,2.5,209.5,102,92
Mar 11,Utah Jazz,-4.5,207,112,104
Mar 14,Brooklyn Nets,-6.5,226,122,104
Mar 16,Toronto Raptors,2,207.5,123,102
Mar 18,Sacramento Kings,-12.5,212,110,94
Mar 20,Golden State Warriors,2,223.5,95,111
Mar 22,Philadelphia 76ers,-11.5,219,122,97
Mar 26,Houston Rockets,6,230.5,125,137
Mar 27,Dallas Mavericks,-2,203,92,91
Mar 29,Orlando Magic,-5,221,114,106
Mar 31,San Antonio Spurs,3,208,95,100
Apr 2,Charlotte Hornets,-5,211.5,101,113
Apr 4,Milwaukee Bucks,-6,210,110,79
Apr 5,Memphis Grizzlies,-2.5,198.5,103,100
Apr 7,Phoenix Suns,-9,229,99,120
Apr 9,Denver Nuggets,5,229.5,106,105
Apr 11,Minnesota Timberwolves,8,208,100,98
Apr 12,Denver Nuggets,-6,224.5,105,111
Apr 16,Houston Rockets,7.5,227.5,87,118
Apr 19,Houston Rockets,7.5,225.5,111,115
Apr 21,Houston Rockets,-2.5,224,115,113
Apr 23,Houston Rockets,-1,223.5,109,113
Apr 25,Houston Rockets,7.5,223.5,99,105
