Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 26,Memphis Grizzlies,-1.5,199,98,102
Oct 29,Sacramento Kings,PK,202.5,103,106
Nov 1,Memphis Grizzlies,-7.5,197.5,116,80
Nov 3,Denver Nuggets,-3.5,204.5,99,102
Nov 5,Oklahoma City Thunder,4.5,209.5,92,112
Nov 8,Brooklyn Nets,-4,209,110,119
Nov 9,Orlando Magic,2.5,201,123,107
Nov 12,Los Angeles Clippers,5.5,207.5,105,119
Nov 13,Los Angeles Lakers,-1,213.5,125,99
Nov 15,Charlotte Hornets,1,205,108,115
Nov 17,Philadelphia 76ers,-11.5,211,110,86
Nov 19,Memphis Grizzlies,-1,200,71,93
Nov 21,Boston Celtics,2,207.5,93,99
Nov 23,New Orleans Pelicans,-2.5,210,96,117
Nov 25,Phoenix Suns,-2,214,98,85
Nov 26,Golden State Warriors,12.5,223.5,102,115
Nov 28,Utah Jazz,3,193.5,103,112
Nov 30,New York Knicks,-3.5,211.5,104,106
Dec 2,New York Knicks,-2.5,211,114,118
Dec 3,Charlotte Hornets,6,210.5,125,120
Dec 6,San Antonio Spurs,4,205.5,91,105
Dec 8,Toronto Raptors,9.5,213.5,110,124
Dec 9,Detroit Pistons,3.5,203,90,117
Dec 11,Golden State Warriors,10.5,226,108,116
Dec 13,Chicago Bulls,5.5,207.5,99,94
Dec 17,Houston Rockets,3,220.5,109,111
Dec 19,Phoenix Suns,-6,213,115,108
Dec 21,Atlanta Hawks,4,216,92,84
Dec 23,Sacramento Kings,-5,206.5,105,109
Dec 25,Oklahoma City Thunder,4,212,100,112
Dec 26,Atlanta Hawks,2,208.5,104,90
Dec 28,Denver Nuggets,4,217,103,105
Dec 30,Milwaukee Bucks,-1.5,209,116,99
Jan 1,Portland Trail Blazers,-6,208.5,89,95
Jan 3,Philadelphia 76ers,-4.5,205.5,91,93
Jan 6,Washington Wizards,5,211.5,105,112
Jan 7,Utah Jazz,4.5,193,92,94
Jan 9,Dallas Mavericks,-4.5,196.5,101,92
Jan 11,Houston Rockets,3.5,218.5,119,105
Jan 13,Oklahoma City Thunder,2,208,96,86
Jan 15,Dallas Mavericks,PK,197.5,87,98
Jan 17,San Antonio Spurs,12.5,202.5,114,122
Jan 19,Los Angeles Clippers,-1.5,207.5,104,101
Jan 22,Denver Nuggets,-3.5,221,111,108
Jan 24,Phoenix Suns,-1.5,215.5,112,111
Jan 26,Indiana Pacers,-3,213,103,109
Jan 28,Brooklyn Nets,-11,221,129,109
Jan 30,Orlando Magic,-8,213,111,105
Feb 1,Cleveland Cavaliers,6.5,216.5,97,125
Feb 3,Detroit Pistons,4.5,209.5,108,116
Feb 4,Memphis Grizzlies,-4.5,203.5,99,107
Feb 6,Miami Heat,-1,205.5,113,115
Feb 8,Toronto Raptors,3,211.5,112,109
Feb 10,New Orleans Pelicans,-5,210.5,106,122
Feb 12,Chicago Bulls,-7,205,117,89
Feb 14,Cleveland Cavaliers,4,219.5,108,116
Feb 15,Denver Nuggets,6.5,226,112,99
Feb 24,Dallas Mavericks,-4,204.5,97,84
Feb 25,Houston Rockets,12.5,229.5,130,142
Feb 27,Sacramento Kings,-4,209.5,102,88
Mar 1,Utah Jazz,6.5,199.5,107,80
Mar 4,San Antonio Spurs,7.5,204.5,90,97
Mar 8,Los Angeles Clippers,3.5,211.5,107,91
Mar 10,Golden State Warriors,5.5,212.5,103,102
Mar 11,Milwaukee Bucks,3,203,95,102
Mar 13,Washington Wizards,-2,214,119,104
Mar 15,Boston Celtics,5.5,211,104,117
Mar 17,Miami Heat,4.5,205,105,123
Mar 19,New Orleans Pelicans,3.5,208.5,109,123
Mar 21,San Antonio Spurs,5,205.5,93,100
Mar 24,Los Angeles Lakers,-6.5,219.5,119,130
Mar 25,Portland Trail Blazers,6,212.5,100,112
Mar 28,Indiana Pacers,4,207.5,115,114
Mar 30,Los Angeles Lakers,-11,218,119,104
Apr 1,Sacramento Kings,-12.5,207.5,117,123
Apr 3,Portland Trail Blazers,-2,216,110,109
Apr 4,Golden State Warriors,14.5,218,107,121
Apr 6,Portland Trail Blazers,5.5,217,98,105
Apr 7,Utah Jazz,11,197.5,113,120
Apr 9,Los Angeles Lakers,-6,221.5,109,110
Apr 11,Oklahoma City Thunder,-8,208,98,100
Apr 12,Houston Rockets,8.5,226.5,118,123
