Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 25,Utah Jazz,-6,192.5,113,104
Oct 27,Los Angeles Clippers,2.5,210,106,114
Oct 29,Denver Nuggets,-1,211.5,115,113
Nov 1,Golden State Warriors,5.5,226,104,127
Nov 2,Phoenix Suns,-3,216.5,115,118
Nov 4,Dallas Mavericks,-2.5,208,105,95
Nov 6,Memphis Grizzlies,PK,204,100,94
Nov 8,Phoenix Suns,-8.5,219.5,124,121
Nov 9,Los Angeles Clippers,11,211,80,111
Nov 11,Sacramento Kings,-7,208,122,120
Nov 13,Denver Nuggets,-7.5,216.5,112,105
Nov 15,Chicago Bulls,-4.5,210.5,88,113
Nov 17,Houston Rockets,5,220.5,109,126
Nov 18,New Orleans Pelicans,PK,214.5,101,113
Nov 20,Brooklyn Nets,-4.5,219.5,129,109
Nov 22,New York Knicks,1.5,217,103,107
Nov 23,Cleveland Cavaliers,11.5,219,125,137
Nov 25,New Orleans Pelicans,-4,217.5,119,104
Nov 27,Houston Rockets,1.5,226.5,114,130
Nov 30,Indiana Pacers,-7.5,208,131,109
Dec 3,Miami Heat,-6,216,99,92
Dec 5,Chicago Bulls,4,212.5,112,110
Dec 7,Milwaukee Bucks,1.5,214.5,107,115
Dec 8,Memphis Grizzlies,-2.5,205,86,88
Dec 10,Indiana Pacers,-1,217.5,111,118
Dec 12,Los Angeles Clippers,10,219.5,120,121
Dec 13,Oklahoma City Thunder,-2.5,219,114,95
Dec 15,Denver Nuggets,2.5,222,120,132
Dec 17,Golden State Warriors,14,234,90,135
Dec 20,Sacramento Kings,-1,217.5,121,126
Dec 21,Dallas Mavericks,-6,210,95,96
Dec 23,San Antonio Spurs,2,211.5,90,110
Dec 26,Toronto Raptors,8,215.5,91,95
Dec 28,Sacramento Kings,-2,206.5,102,89
Dec 30,San Antonio Spurs,10,202,94,110
Jan 1,Minnesota Timberwolves,6,208.5,95,89
Jan 4,Golden State Warriors,16,222.5,117,125
Jan 5,Los Angeles Lakers,-6.5,222,118,109
Jan 8,Detroit Pistons,-3.5,213.5,124,125
Jan 10,Los Angeles Lakers,-2.5,228.5,108,87
Jan 11,Cleveland Cavaliers,5,222,102,86
Jan 13,Orlando Magic,-7,213.5,109,115
Jan 16,Washington Wizards,3.5,219.5,101,120
Jan 18,Charlotte Hornets,5.5,217.5,85,107
Jan 20,Philadelphia 76ers,-2.5,209.5,92,93
Jan 21,Boston Celtics,7.5,217.5,127,123
Jan 25,Los Angeles Lakers,-8,221,105,98
Jan 27,Memphis Grizzlies,PK,206,112,109
Jan 29,Golden State Warriors,6,225.5,111,113
Jan 31,Charlotte Hornets,-4,215,115,98
Feb 3,Dallas Mavericks,-6,206,104,108
Feb 5,Oklahoma City Thunder,5,218,99,105
Feb 7,Dallas Mavericks,-2.5,207,114,113
Feb 9,Boston Celtics,-3,222,111,120
Feb 13,Atlanta Hawks,-2,218,104,109
Feb 15,Utah Jazz,9,205,88,111
Feb 23,Orlando Magic,-2.5,217.5,112,103
Feb 26,Toronto Raptors,5.5,208.5,106,112
Feb 28,Detroit Pistons,4,213.5,113,120
Mar 2,Oklahoma City Thunder,1,222.5,114,109
Mar 4,Brooklyn Nets,-10.5,224,130,116
Mar 7,Oklahoma City Thunder,7,222,126,121
Mar 9,Philadelphia 76ers,-9.5,221,114,108
Mar 11,Washington Wizards,-4.5,222.5,124,125
Mar 12,Phoenix Suns,-2,228,110,101
Mar 14,New Orleans Pelicans,3.5,214.5,77,100
Mar 15,San Antonio Spurs,11.5,209,110,106
Mar 18,Atlanta Hawks,2,214.5,113,97
Mar 19,Miami Heat,6,213.5,115,104
Mar 21,Milwaukee Bucks,-4,207.5,90,93
Mar 23,New York Knicks,-12.5,210.5,110,95
Mar 25,Minnesota Timberwolves,-6,212.5,112,100
Mar 26,Los Angeles Lakers,-7,220,97,81
Mar 28,Denver Nuggets,-2,222,122,113
Mar 30,Houston Rockets,PK,231,117,107
Apr 1,Phoenix Suns,-11.5,224,130,117
Apr 3,Minnesota Timberwolves,2,216,109,110
Apr 4,Utah Jazz,6,201.5,87,106
Apr 6,Minnesota Timberwolves,-5.5,217,105,98
Apr 8,Utah Jazz,-2.5,201.5,101,86
Apr 10,San Antonio Spurs,10.5,193,99,98
Apr 12,New Orleans Pelicans,-6.5,202.5,100,103
Apr 16,Golden State Warriors,15.5,220,109,121
Apr 19,Golden State Warriors,12,219,81,110
Apr 22,Golden State Warriors,5,217.5,113,119
Apr 24,Golden State Warriors,9,222.5,103,128
