Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 25,San Antonio Spurs,-8.5,211.5,100,129
Oct 28,New Orleans Pelicans,-12,223.5,122,114
Oct 30,Phoenix Suns,-12,226.5,106,100
Nov 1,Portland Trail Blazers,-5.5,226,127,104
Nov 3,Oklahoma City Thunder,-12,223,122,96
Nov 4,Los Angeles Lakers,-11.5,229,97,117
Nov 7,New Orleans Pelicans,-16.5,221,116,106
Nov 9,Dallas Mavericks,-18,206,116,95
Nov 10,Denver Nuggets,-7,223,125,101
Nov 13,Phoenix Suns,-16.5,226.5,133,120
Nov 16,Toronto Raptors,-6,223,127,121
Nov 18,Boston Celtics,-8.5,225.5,104,88
Nov 19,Milwaukee Bucks,-9,218,124,121
Nov 21,Indiana Pacers,-14.5,218.5,120,83
Nov 23,Los Angeles Lakers,-18,230,149,106
Nov 25,Los Angeles Lakers,-14,230.5,109,85
Nov 26,Minnesota Timberwolves,-12.5,223.5,115,102
Nov 28,Atlanta Hawks,-14,218,105,100
Dec 1,Houston Rockets,-11.5,232.5,127,132
Dec 3,Phoenix Suns,-16.5,228,138,109
Dec 5,Indiana Pacers,-15,224.5,142,106
Dec 7,Los Angeles Clippers,-4,224.5,115,98
Dec 8,Utah Jazz,-11.5,208,106,99
Dec 10,Memphis Grizzlies,-13,211.5,89,110
Dec 11,Minnesota Timberwolves,-10.5,226,116,108
Dec 13,New Orleans Pelicans,-11,225.5,113,109
Dec 15,New York Knicks,-17.5,222.5,103,90
Dec 17,Portland Trail Blazers,-14,234,135,90
Dec 20,Utah Jazz,-12.5,210.5,104,74
Dec 22,Brooklyn Nets,-13.5,231,117,101
Dec 23,Detroit Pistons,-8,214.5,119,113
Dec 25,Cleveland Cavaliers,-3.5,219.5,108,109
Dec 28,Toronto Raptors,-9.5,227.5,121,111
Dec 30,Dallas Mavericks,-18,214,108,99
Jan 2,Denver Nuggets,-15.5,232,127,119
Jan 4,Portland Trail Blazers,-16,222.5,125,117
Jan 6,Memphis Grizzlies,-14,216,119,128
Jan 8,Sacramento Kings,-12,226,117,106
Jan 10,Miami Heat,-14.5,218,107,95
Jan 12,Detroit Pistons,-13.5,218.5,127,107
Jan 16,Cleveland Cavaliers,-9,227.5,126,91
Jan 18,Oklahoma City Thunder,-15,231,121,100
Jan 20,Houston Rockets,-5.5,242,125,108
Jan 22,Orlando Magic,-14,225,118,98
Jan 23,Miami Heat,-11,218.5,102,105
Jan 25,Charlotte Hornets,-9.5,223.5,113,103
Jan 28,Los Angeles Clippers,-13,224.5,144,98
Jan 29,Portland Trail Blazers,-6,225.5,113,111
Feb 1,Charlotte Hornets,-15,227,126,111
Feb 2,Los Angeles Clippers,-8,230,133,120
Feb 4,Sacramento Kings,-14.5,225,106,109
Feb 8,Chicago Bulls,-18.5,223,123,92
Feb 10,Memphis Grizzlies,-7.5,216,122,107
Feb 11,Oklahoma City Thunder,-8,226.5,130,114
Feb 13,Denver Nuggets,-12,236.5,110,132
Feb 15,Sacramento Kings,-19,225.5,109,86
Feb 23,Los Angeles Clippers,-13.5,230,123,113
Feb 25,Brooklyn Nets,-21,234.5,112,95
Feb 27,Philadelphia 76ers,-14,228,119,108
Feb 28,Washington Wizards,-7,231.5,108,112
Mar 2,Chicago Bulls,-7.5,217.5,87,94
Mar 5,New York Knicks,-10.5,220,112,105
Mar 6,Atlanta Hawks,-5.5,217.5,119,111
Mar 8,Boston Celtics,-8,224,86,99
Mar 10,Minnesota Timberwolves,-5.5,212.5,102,103
Mar 11,San Antonio Spurs,10.5,198,85,107
Mar 14,Philadelphia 76ers,-17,221,106,104
Mar 16,Orlando Magic,-14,220,122,92
Mar 18,Milwaukee Bucks,-10.5,214.5,117,92
Mar 20,Oklahoma City Thunder,-2,223.5,111,95
Mar 21,Dallas Mavericks,-4.5,208,112,87
Mar 24,Sacramento Kings,-18.5,214.5,114,100
Mar 26,Memphis Grizzlies,-11.5,209,106,94
Mar 28,Houston Rockets,1.5,235,113,106
Mar 29,San Antonio Spurs,4.5,207.5,110,98
Mar 31,Houston Rockets,-9,232,107,98
Apr 2,Washington Wizards,-9.5,223.5,139,115
Apr 4,Minnesota Timberwolves,-14.5,218,121,107
Apr 5,Phoenix Suns,-9,228.5,120,111
Apr 8,New Orleans Pelicans,-17,216.5,123,101
Apr 10,Utah Jazz,-10.5,206,99,105
Apr 12,Los Angeles Lakers,-13.5,222.5,109,94
Apr 16,Portland Trail Blazers,-15.5,220,121,109
Apr 19,Portland Trail Blazers,-12,219,110,81
Apr 22,Portland Trail Blazers,-5,217.5,119,113
Apr 24,Portland Trail Blazers,-9,222.5,128,103
May 2,Utah Jazz,-13,206.5,106,94
May 4,Utah Jazz,-14,206,115,104
May 6,Utah Jazz,-7,209,102,91
May 8,Utah Jazz,-9,207,121,95
May 14,San Antonio Spurs,-10,209.5,113,111
May 16,San Antonio Spurs,-13.5,210,136,100
May 20,San Antonio Spurs,-9.5,215.5,120,108
May 22,San Antonio Spurs,-11.5,218.5,129,115
Jun 1,Cleveland Cavaliers,-7.5,225,113,91
Jun 4,Cleveland Cavaliers,-9,222,132,113
Jun 7,Cleveland Cavaliers,-3.5,227,118,113
Jun 9,Cleveland Cavaliers,-5,227,116,137
Jun 12,Cleveland Cavaliers,-9,231.5,129,120
