Date,Opponent,Spread,Over_Under,Team_Score,Opponent_Score
Oct 27,Atlanta Hawks,4,202.5,99,114
Oct 30,Memphis Grizzlies,-3.5,204.5,103,112
Nov 2,Toronto Raptors,PK,205,103,113
Nov 4,Atlanta Hawks,-1.5,205.5,95,92
Nov 5,Orlando Magic,6,201,86,88
Nov 7,Houston Rockets,-1,218,106,114
Nov 9,Boston Celtics,-1.5,212,118,93
Nov 11,Cleveland Cavaliers,7.5,211,94,105
Nov 12,Chicago Bulls,10,199.5,95,106
Nov 16,Philadelphia 76ers,-7,203.5,102,109
Nov 17,New York Knicks,-5,208.5,119,112
Nov 19,Miami Heat,-4.5,198.5,111,114
Nov 21,Phoenix Suns,-7.5,220,106,101
Nov 25,Orlando Magic,-2,198.5,94,91
Nov 26,San Antonio Spurs,6,205.5,100,112
Nov 28,Sacramento Kings,-5,210,101,95
Nov 30,Oklahoma City Thunder,5.5,216,115,126
Dec 2,San Antonio Spurs,9,204,105,107
Dec 5,Brooklyn Nets,-6.5,218.5,118,113
Dec 6,Orlando Magic,-2.5,200.5,116,124
Dec 8,Denver Nuggets,-5.5,217.5,92,85
Dec 10,Milwaukee Bucks,-4,210,110,105
Dec 12,Miami Heat,-1.5,208.5,101,112
Dec 14,Charlotte Hornets,2,211,109,106
Dec 16,Detroit Pistons,1.5,205,122,108
Dec 18,Los Angeles Clippers,5.5,212.5,117,110
Dec 19,Indiana Pacers,5,211,105,107
Dec 21,Chicago Bulls,4,209.5,107,97
Dec 23,Milwaukee Bucks,3,214.5,96,123
Dec 26,Milwaukee Bucks,-3.5,213,107,102
Dec 28,Indiana Pacers,-4,214.5,111,105
Dec 30,Brooklyn Nets,-7.5,219.5,118,95
Jan 2,Houston Rockets,7.5,230.5,91,101
Jan 3,Dallas Mavericks,PK,202,105,113
Jan 6,Minnesota Timberwolves,-5,211.5,112,105
Jan 8,Milwaukee Bucks,PK,211.5,107,101
Jan 10,Chicago Bulls,-11.5,204,101,99
Jan 11,Boston Celtics,5.5,217.5,108,117
Jan 14,Philadelphia 76ers,-10,210.5,109,93
Jan 16,Portland Trail Blazers,-3.5,219.5,120,101
Jan 18,Memphis Grizzlies,-2,208,104,101
Jan 19,New York Knicks,-1,220.5,113,110
Jan 21,Detroit Pistons,2.5,208,112,113
Jan 23,Charlotte Hornets,6,213,109,99
Jan 24,Boston Celtics,-1,217,123,108
Jan 27,Atlanta Hawks,3.5,214.5,112,86
Jan 29,New Orleans Pelicans,PK,221,107,94
Jan 31,New York Knicks,-8.5,215,117,101
Feb 2,Los Angeles Lakers,-10.5,221,116,108
Feb 4,New Orleans Pelicans,-6.5,216.5,105,91
Feb 6,Cleveland Cavaliers,1,219,135,140
Feb 8,Brooklyn Nets,-10,222,114,110
Feb 10,Indiana Pacers,-6,215,112,107
Feb 13,Oklahoma City Thunder,-5.5,218,120,98
Feb 16,Indiana Pacers,-2.5,215.5,111,98
Feb 24,Philadelphia 76ers,-9.5,217.5,112,120
Feb 26,Utah Jazz,-2,204,92,102
Feb 28,Golden State Warriors,7,231.5,112,108
Mar 1,Toronto Raptors,4.5,208,105,96
Mar 3,Toronto Raptors,-5,207.5,106,114
Mar 5,Orlando Magic,-12.5,217,115,114
Mar 7,Phoenix Suns,-5,229,131,127
Mar 8,Denver Nuggets,-1.5,223.5,123,113
Mar 10,Sacramento Kings,-8,214.5,130,122
Mar 11,Portland Trail Blazers,4.5,222.5,125,124
Mar 13,Minnesota Timberwolves,2,214,104,119
Mar 15,Dallas Mavericks,-7,207,107,112
Mar 17,Chicago Bulls,-7.5,212,112,107
Mar 18,Charlotte Hornets,4,215.5,93,98
Mar 20,Boston Celtics,4,217,102,110
Mar 22,Atlanta Hawks,-7.5,215.5,104,100
Mar 24,Brooklyn Nets,-10.5,221,129,108
Mar 25,Cleveland Cavaliers,6,224.5,127,115
Mar 28,Los Angeles Lakers,-9,225,119,108
Mar 29,Los Angeles Clippers,6.5,219,124,133
Mar 31,Utah Jazz,3,208.5,88,95
Apr 2,Golden State Warriors,9.5,223.5,115,139
Apr 4,Charlotte Hornets,-3,219.5,118,111
Apr 6,New York Knicks,-6,217.5,106,103
Apr 8,Miami Heat,-3.5,216.5,103,106
Apr 10,Detroit Pistons,5.5,208.5,105,101
Apr 12,Miami Heat,11,206,102,110
Apr 16,Atlanta Hawks,-5.5,209.5,114,107
Apr 19,Atlanta Hawks,-6,211.5,109,101
Apr 22,Atlanta Hawks,2.5,211,98,116
Apr 24,Atlanta Hawks,2.5,212.5,101,111
Apr 26,Atlanta Hawks,-6.5,212,103,99
Apr 28,Atlanta Hawks,3,208.5,115,99
Apr 30,Boston Celtics,4.5,216,111,123
May 2,Boston Celtics,5,218.5,119,129
May 4,Boston Celtics,-5.5,218,116,89
May 7,Boston Celtics,-5,214.5,121,102
May 10,Boston Celtics,4,218,101,123
May 12,Boston Celtics,-5,215.5,92,91
May 15,Boston Celtics,5,211,105,115
